Plot ID,1345,,Sampler(s),"MO, TT, MK, GH",,,,,Date ,20190701,,,,,,,,,
Notes,"1919 PSEMEN IN 2018 HAD NO BSPROUTS- CHANGE IN DB /  FOR 1949 CHECK 2018 DB TO SEE IF THERE'S A {ILLEGIBLE MARGIN} SAME FOR 1956, #2246 '18 DBH POSSIBLY INCLUDES P.O. ",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
D1,TR,1945,,,QUEGAR,1,0,1,1,2,,,,17.4,,,,,
D1,TR,1947,,,QUEAGRI,1,1,1,1,2,,,,9.1,86.3,2,,,
D1,TR,1946,,,QUEAGRI,0,1,0,0,0,,,,NA,74.2,3,,,
D1,TR,1950,,,HETARB,0,1,0,0,0,,,,1.41,123.8,14,,,
D1,TR,1954,,,HETARB,0,1,0,0,0,,,,NA,79.6,8,,,
D1,TR,1954.1,,,HETARB,0,0,0,0,0,,,,NA,,,,,
D1,TR,1954.2,,,HETARB,0,1,0,0,0,,,,NA,174.3,24,,,
D1,TR,1951,,,HETARB,0,1,0,0,0,,,,NA,124.4,5,,,
D1,TR,1951.1,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
D1,TR,1951.2,,,HETARB,0,1,0,0,0,,,,NA,124.2,7,,,
D1,TR,1951.3,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
D1,TR,1951.4,,,HETARB,0,1,0,0,0,,,,NA,136.4,14,,,TAG ON BSPROUT/ OG GONE
D1,SA,1953,,,QUEAGRI,0,0,,,,NA,1.47,0,,,,1,,NOT FOUND IN 2018
D1,SA,1948,,,HETARB,0,1,,,,NA,0.34,,,46.2,0,,,BD OF BSPROUT
D2,TR,1952,,,QUEGAR,1,0,1,1,3,,,,19.6,,,,,DID NOT DIE IN FIRE- NOTE
D2,SA,1949,,,QUEAGRI,0,1,,,,,1.23,,,42,0,,,1.23 is bd of OG - NOT FOUND IN 2018/ BD OF OG {BDSPRT BD=? Illegible scan }/ was typo dup 1946- mkqc2022
D3,TR,1955,,,QUEGAR,1,0,1,1,3,,,,25.2,,,,,
D3,TR,1957,,,ARCMAN,0,0,0,0,0,,,,,,,,,
D3,TR,1957.1,,,ARCMAN,0,0,0,0,0,,,,,,,,,NOT FOUND
D3,SA,1956,,,BACPIL,0,1,,,,,0.35,0,,37,0,,,. 35 is bd of bsprt ; BD OF OG @ 1 CM = 1.11 {ILLEGIBLE SCAN}
D4,SA,1935,,,HETARB,0,1,,,,,0.37,,,48.8,0,,,
D4,TR,1919,,,PSEMEN,0,0,0,0,0,,,,,,,1,,
D4,TR,1944.1,,,ARCMAN,0,0,0,0,0,,,,,,,,,
D4,TR,1944.2,,,ARCMAN,0,0,0,0,0,,,,5.2,,,1,,BRANCH BRO{KEN ?...}
D4,TR,1944.3,,,ARCMAN,0,0,0,0,0,,,,,,,,,
D4,TR,1944.4,,,ARCMAN,0,0,0,0,0,,,,,,,,,
D4,TR,1944.5,,,ARCMAN,0,0,0,0,0,,,,,,,,,
D4,SA,5587,,,HETARB,1,0,,,,,0.58,0,,91.6,NA,,,
A3,TR,2259,,,ARCMAN,0,0,0,0,0,,,,NA,,,,,
A3,TR,2259.1,,,ARCMAN,0,0,0,0,0,,,,5.9,,,,,
A3,TR,2259.2,,,ARCMAN,0,0,0,0,0,,,,NA,,,1,,DEAD
A3,TR,2259.3,,,ARCMAN,0,0,0,0,0,,,,NA,,,1,,DEAD
A3,TR,2277,,,ARCMAN,0,0,0,0,0,,,,NA,,,,,
A3,SA,2278,,,UMBCAL,1,0,,,,123.7,0.78,6,,,,,,RESPROUT BD
A3,TR,2274,,,UMBCAL,0,1,0,0,0,,,,NA,140.6,4,,,
A3,TR,2258,,,PSEMEN,1,0,0,1,4,,,,17.3,,,,,
A3,SA,2276,10,99,UMBCAL,0,1,,,,NA,0.92,NA,,103.9,2,,,RESPROUT BD
A4,TR,2279,,,HETARB,0,1,0,0,0,,,,NA,235.2,18,,,
A4,TR,2279.1,,,HETARB,0,0,0,0,0,,,,1.79,,,1,,DEAD
A4,TR,2279.2,,,HETARB,0,0,0,0,0,,,,NA,,,1,,DEAD
A4,TR,2279.3,,,HETARB,0,1,0,0,0,,,,NA,247.9,12,,,
A4,TR,2279.4,,,HETARB,0,0,0,0,0,,,,NA,,,1,,DEAD
A4,TR,2279.5,,,HETARB,0,1,0,0,0,,,,NA,224,14,,,
A4,TR,2279.6,,,HETARB,0,0,0,0,0,,,,NA,,,1,,DEAD
A4,TR,2279.7,,,HETARB,0,1,0,0,0,,,,NA,165.6,10,,,
A4,TR,2279.8,,,HETARB,0,1,0,0,0,,,,NA,113,8,,,
A4,TR,2279.9,,,HETARB,0,1,0,0,0,,,,NA,207,15,,,
A4,TR,2279.01,,,HETARB,0,0,0,0,0,,,,NA,,,1,,POINT TEN/ DEAD
A4,TR,2279.11,,,HETARB,0,0,0,0,0,,,,NA,,,1,,DEAD
A4,TR,2279.12,,,HETARB,0,0,0,0,0,,,,NA,,,1,,DEAD
A4,TR,2279.13,,,HETARB,0,0,0,0,0,,,,NA,,,1,,DEAD
A4,TR,2279.14,,,HETARB,0,0,0,0,0,,,,NA,,,1,,DEAD
A4,TR,2279.15,,,HETARB,0,0,0,0,0,,,,NA,,,1,,DEAD
A4,TR,2279.16,,,HETARB,0,0,0,0,0,,,,NA,,,1,,DEAD
A4,TR,2279.17,,,HETARB,0,0,0,0,0,,,,NA,,,,,
