Plot ID,PPW1336,,Sampler(s),"MO, TT, GH",,,,,Date ,20190716,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
A2,SA,5721,,,UMBCAL,0,1,,,,,0.63,0,,45.1,0,,,BD OF BSPRT
A2,TR,2901,,,QUEAGRI,0,0,0,0,0,,,,,,,,,
A3,TR,2902,,,QUEGAR,1,0,1,1,4,,,,37.4,,,,,
A3,TR,2902.1,,,QUEGAR,1,0,1,1,3,,,,31.8,,,,,CHANGE SP. IN '18 DB- (DONE- MKQC2022)
A3,TR,2903,,,QUEAGRI,1,0,1,1,4,,,,22.6,,,,,
A3,TR,2905,,,QUEAGRI,1,1,1,1,2,,,,10,NA,0,,,
A3,SA,2906,,,PSEMEN,0,0,,,,,1.8,NA,,,,,,
A4,TR,2911,,,QUEAGRI,1,0,1,1,5,,,,39,,,,,
A4,TR,2910,,,QUEAGRI,1,1,1,1,4,,,,14.4,NA,0,,,
A4,TR,2910.1,,,QUEAGRI,1,0,1,0,1,,,,1.47,,,,,CHANGE SP. IN '18 DB
B4,TR,2913,,,QUEGAR,0,0,0,0,0,,,,,,,,,DEAD ON GROUND
A4,TR,2909,,,QUEGAR,1,0,1,1,4,,,,24,,,,,
A4,TR,2908,,,QUEAGRI,0,0,0,0,0,,,,,,,,,was misrecoreded as quegar- mkqc2022
A4,TR,2908.1,,,QUEAGRI,0,0,0,0,0,,,,,,,1,,was misrecoreded as quegar- mkqc2022
A4,TR,2908.2,,,QUEAGRI,0,0,0,0,0,,,,,,,1,,was misrecoreded as quegar- mkqc2022
A4,TR,2908.3,,,QUEAGRI,0,0,0,0,0,,,,,,,1,,was misrecoreded as quegar- mkqc2022
A4,TR,2907,,,UMBCAL,0,0,0,0,0,,,,,,,1,,CHANGE SP. IN '18 DB- (fixedmkqc22)
B4,TR,2912,,,QUEGAR,1,0,1,1,4,,,,38.5,,,,,
B3,SA,2914,,,PSEMEN,0,0,,,,,,NA,,,,1,,
B1,TR,2917,,,QUEAGRI,0,1,0,0,0,,,,,63.4,1,,,
B1,TR,2917.1,,,QUEAGRI,0,0,0,0,0,,,,,,,,,
B1,SA,5699,,,UMBCAL,1,0,,,,69.9,0.61,3,,,,,,BD OF BSPRT
B1,TR,2916,,,QUEGAR,0,0,0,0,0,,,,,,,,,
B1,TR,2915,,,QUEAGRI,1,1,1,1,2,,,,29.3,NA,0,,,
B1,TR,2915.1,,,QUEAGRI,1,0,1,1,3,,,,20.9,,,,,
C1,TR,2918,,,QUEGAR,0,1,0,0,0,,,,24.8,75.9,3,,,
C1,TR,2919,,,QUEAGRI,1,0,1,1,4,,,,31.4,,,,,
C1,TR,2920,,,QUEGAR,1,0,1,1,3,,,,27.6,,,,,
C1,SA,5720,,,UMBCAL,1,0,,,,55.5,0.75,4,,,,,,BD OF BSPRT
D1,SA,5717,,,UMBCAL,1,0,,,,52.7,0.65,5,,,,,,BD OF BSPRT
D1,SA,5719,,,UMBCAL,1,0,,,,85.9,0.85,4,,,,,,BD OF BSPRT
D1,SA,5718,,,UMBCAL,0,1,,,,,0.43,0,,41.2,0,,,BD OF BSPRT
C2,TR,2921,,,QUEAGRI,1,0,1,0,4,,,,33,,,,,TOP FELL OFF
C3,TR,2922,,,QUEAGRI,0,0,0,0,0,,,,,,,,,ON GROUND
C3,SA,2924,,,UMBCAL,0,0,,,,,,NA,,,,1,,
C3,SA,5591,,,UMBCAL,0,0,,,,,,NA,,,,1,,GONE
C4,SA,2925,,,UMBCAL,1,0,,,,74,0.64,7,,,,,,BD OF BSPRT
D4,TR,2926,,,QUEAGRI,1,0,1,1,4,,,,16.6,,,,,
D3,TR,2927,,,QUEAGRI,1,1,1,1,3,,,,15.5,85.5,4,,,
