Plot ID,PPW1313,,Sampler(s),"MO, GH, MF",,,,,Date ,20190617,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
D4,TR,1752,,,QUEKEL,0,0,0,0,0,,,,NA,,,,,DETACHED AT BASE
D4,SA,1771,,,HETARB,0,1,,,,NA,0.65,7,,106.0,,,,BD OF BSPRT
D4,SA,1776,,,ARBMEN,0,0,,,,NA,NA,,,,,,,DEAD IN '18
D4,SA,5609,,,ARBMEN,0,1,,,,NA,0.8,0,,42.0,,,,
D4,SA,1763,,,ARBMEN,0,1,,,,NA,1.06,0,,20.1,,,,
D4,SA,1772,,,ARBMEN,0,0,,,,NA,NA,NA,,,,,,DEAD IN '18
D4,TS,1767,,,ARBMEN,0,1,,,,NA,2.21,0,,33.5,0,,,
C4,TR,1753,,,ARBMEN,1,1,1,0,1,,,,21.3,88.2,10,,,
C4,TR,1749,,,ARBMEN,1,1,1,1,1,,,,18.8,133.3,9,,,
C4,TR,1747,,,ARBMEN,1,1,1,1,3,,,,19.4,106.7,8,,,
C4,TR,1747.1,,,ARBMEN,0,0,0,0,0,,,,6.0,,,,,
C4,TR,1746,,,ARBMEN,0,1,0,0,0,,,,NA,98.2,5,,,DEAD IN '18
B4,SA,1738,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,DEAD IN '18
B4,SA,1737,,,HETARB,1,0,,,,54.3,0.61,4,,,,,,OG DEAD
B4,SA,1736,,,HETARB,1,0,,,,101,0.62,9,,,,,,OG DEAD
A4,SA,1735,,,UMBCAL,1,0,,,,68.2,0.82,11,,,,,,OG DEAD
A4,SA,1734,,,HETARB,0,1,,,,NA,1.16,0,,37.6,,,,DEAD IN '18
A3,TR,1732,,,ARBMEN,1,0,1,1,3,,,,30.3,,,,,
A3,TR,1732.1,,,ARBMEN,1,0,1,1,3,,,,17.4,,,,,
A3,TR,1732.2,,,ARBMEN,1,1,1,1,3,,,,21.5,102.7,2,,,
A3,TR,1732.3,,,ARBMEN,1,1,1,1,4,,,,39.1,78.5,2,,,
A3,TR,1732.4,,,ARBMEN,0,0,,,,,,,28.4,,,,,
A3,TR,1732.5,,,ARBMEN,1,1,1,1,2,,,,25.1,138.2,2,,,
B3,TR,1741,,,QUEAGRI,1,0,1,1,5,,,,71.4,,,,,
B3,TR,1740,,,ARBMEN,1,1,1,1,2,,,,8.7,101.8,12,,,
B3,TR,1739,,,HETARB,0,1,0,0,0,,,,NA,107.9,8,,,
B3,SA,1742,,,HETARB,0,1,,,,NA,0.45,0,,44.6,,,,BD OF BSPRT
B3,SA,1743,,,HETARB,0,0,,,,NA,NA,NA,,,,,,
C3,SA,1770,,,HETARB,1,0,,,,127.5,0.72,13,,,,,,
C3,TR,1769,,,HETARB,0,1,0,0,0,,,,NA,92.6,8,,,
C3,TS,1769.1,,,HETARB,0,0,,,,,,,,,,,,
C3,TS,1769.2,,,HETARB,0,0,,,,,,,,,,,,
C3,TS,1769.3,,,HETARB,0,0,,,,,,,,,,,,
C3,TS,1769.4,,,HETARB,0,0,,,,,,,,,,,,
C3,TR,1762,,,HETARB,0,1,0,0,0,,,,NA,141.3,12,,,TAG GONE/ NOT FOUND IN '18
C3,TS,1762.1,,,HETARB,0,0,,,,,,,,,,,,TAG GONE
C3,TS,1762.2,,,HETARB,0,0,,,,,,,,,,,,TAG GONE
C3,SA,1761,,,HETARB,0,0,,,,NA,NA,NA,,,,,,
D3,TR,1765,,,ARBMEN,1,1,0,1,3,,,,13.9,NA,0,,,
D3,TR,1765.1,,,ARBMEN,1,0,1,1,2,,,,5.6,,,,,
D3,TR,1766,,,QUEKEL,1,0,1,1,4,,,,33.4,,,,,
D3,TR,1775,,,ARBMEN,0,1,0,0,0,,,,,130.2,2,,,
D3,SA,1774,,,HETARB,1,0,,,,60.6,0.5,,,,,,,OG DEAD
D3,SA,6416,250,250,ARBMEN,0,1,,,,NA,0.71,0,,42.0,,,,OG DEAD/ NEW SA
D3,SA,1773,,,ARBMEN,0,0,,,,NA,NA,,,,,1,,
D3,SA,1750,,,ARBMEN,0,1,,,,NA,0.5,0,,36.8,,,,OG DEAD/ BD OF BSPRT
D2,SA,5610,,,HETARB,0,0,,,,NA,NA,NA,,,,1,,
D2,SA,1758,,,HETARB,0,0,,,,NA,NA,NA,,,,1,,
D1,TR,1768,,,QUEAGRI,1,1,1,1,2,,,,16.0,74.8,2,,,
D1,SA,1776,,,UMBCAL,1,0,,,,52.2,0.74,9,,,,,,BD OF BSPRT
C2,TR,1748,,,ARBMEN,1,0,1,1,3,,,,64.7,,,,,
C2,TR,1748.1,,,ARBMEN,1,0,1,1,2,,,,35.2,,,,,
C2,TR,1748.2,,,ARBMEN,0,0,1,1,1,,,,9.8,,,,,
C2,TR,1751,,,QUEKEL,0,0,0,0,0,,,,NA,,,,,SNAG
C2,TR,1759,,,UMBCAL,0,1,0,0,0,,,,NA,119.2,7,,,
C2,SA,1760,,,HETARB,0,0,,,,NA,NA,NA,,,,1,,
C1,TR,1756,,,HETARB,0,1,0,0,0,,,,NA,121.8,12,,,
C1,TS,1756.1,,,HETARB,0,0,,,,NA,NA,,,,,,,
C1,TS,1756.2,,,HETARB,0,0,,,,NA,NA,,,,,,,
C1,TS,1756.3,,,HETARB,0,0,,,,NA,NA,,,,,,,
C1,TS,1756.4,,,HETARB,0,0,,,,NA,NA,,,,,,,
C1,TS,1756.5,,,HETARB,0,0,,,,NA,NA,,,,,,,
C1,TS,1756.6,,,HETARB,0,0,,,,NA,NA,,,,,,,
C1,SA,1755,,,HETARB,0,0,,,,NA,NA,NA,,,,1,,
B1,TR,1745,,,QUEKEL,1,1,1,1,3,,,,9.3,152.4,5,,,
B1,TR,1754,,,HETARB,0,1,0,0,0,,,,NA,139.9,7,,,
A1,TR,1722,,,PSEMEN,0,0,0,0,0,,,,,,,1,,
A1,TR,1723,,,HETARB,0,1,0,0,0,,,,6.8,146.5,5,,,
A1,TR,1723.1,,,HETARB,0,1,0,0,0,,,,NA,189.3,7,,,
A1,TR,1723.2,,,HETARB,0,0,0,0,0,,,,NA,,,,,
