Plot ID,PPW1342,,Sampler(s),"MO, GH, MK",,,,,Date ,20190724,,,,,,,,,
Notes,2338 IS 2333 IN '18/ WILLOWS ARE RED OR ARROYO,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
D4,TR,2334,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,0.2338
D4,TR,2335,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,
D4,TR,2336,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,
D4,TR,2331,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,
D4,SA,6105,,,BACPIL,1,0,,,,142.6,1.97,3,,,,,,
D4,SA,6103,,,BACPIL,1,0,,,,186.8,1.96,0,,,,,,
D4,SA,6121,,,BACPIL,1,0,,,,147.5,1.71,0,,,,,,
D4,SA,6104,,,BACPIL,1,0,,,,170.6,1.47,3,,,,,,
D4,SA,6495,55,468,BACPIL,1,0,,,,112.2,1.13,4,,,,,,NEW SA
D4,SA,6496,100,314,BACPIL,1,0,,,,110.3,0.91,2,,,,,,NEW SA
C4,TR,2318,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,
C4,TR,2319,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,
C4,SA,2320,,,TORCAL,0,0,,,,NA,NA,NA,,,,1,,
C4,SA,6497,15,315,BACPIL,1,0,,,,107.7,0.64,1,,,,,,NEW SA
B4,TR,2307,,,PSEMEN,0,0,0,0,0,,,,41,,,,,DEAD
B4,TR,2308,,,PSEMEN,0,0,0,0,0,,,,22.3,,,,,
B4,SA,6125,,,BACPIL,1,0,,,,145,2.08,3,,,,,,
B4,SA,6124,,,BACPIL,1,0,,,,147.2,1.43,3,,,,,,
B4,SA,6498,230,60,BACPIL,1,0,,,,165.9,1.59,4,,,,,,NEW SA
B4,SA,6499,290,100,BACPIL,1,0,,,,104.3,0.77,0,,,,,,NEW SA
B4,SA,6500,240,260,BACPIL,1,0,,,,134,1.62,1,,,,,,NEW SA
A4,TR,2306,,,PSEMEN,0,0,0,0,0,,,,31.9,,,,,DEAD
A4,SA,6123,,,BACPIL,1,0,,,,169.5,2.29,2,,,,,,
A4,SA,6122,,,BACPIL,1,0,,,,177.6,2.44,2,,,,,,
A4,SA,6601,245,255,BACPIL,1,0,,,,55.4,0.36,4,,,,,,NEW SA
A4,SA,6602,250,1,SAL SP.,1,0,,,,78,0.36,0,,,,,,RED OR ARROYO WILLOW
A3,TR,2305,,,PSEMEN,0,0,0,0,0,,,,63.1,,,,,
A3,SA,6603,180,368,BACPIL,1,0,,,,148.6,2.02,4,,,,,,NEW SA
A3,SA,6119,,,BACPIL,1,0,,,,142,1.92,3,,,,,,
A3,SA,6117,,,BACPIL,1,0,,,,170.1,2.33,1,,,,,,
A3,SA,6116,50,240,BACPIL,1,0,,,,145.2,2.52,0,,,,,,
A3,SA,6604,30,310,BACPIL,1,0,,,,136.6,1.22,0,,,,,,NEW SA
A3,SA,6605,206,50,ARCMAN,1,0,,,,71.6,0.75,2,,,,,,NEW SA
A3,TR,2304,386,50,PSEMEN,0,0,0,0,0,,,,46.9,,,,,
A3,SA,6612,1,360,BACPIL,1,0,,,,165.7,1.32,1,,,,,,NEW SA
A3,SA,6606,356,125,BACPIL,1,0,,,,165.5,1.98,1,,,,,,NEW SA
A3,SA,6613,100,170,BACPIL,1,0,,,,187.8,2.33,1,,,,,,NEW SA
A3,SA,6607,326,140,BACPIL,1,0,,,,132.2,0.97,1,,,,,,NEW SA
A3,SA,6614,206,290,BACPIL,1,0,,,,199.5,1.73,0,,,,,,NEW SA
B3,TR,2309,,,PSEMEN,0,0,0,0,0,,,,57.3,,,,,
B3,SA,6120,,,BACPIL,1,0,,,,171.7,1.98,5,,,,,,
B3,SA,6501,318,332,BACPIL,1,0,,,,180.1,2.04,2,,,,,,NEW SA
B3,SA,6615,95,195,BACPIL,1,0,,,,200.2,1.62,7,,,,,,
B3,SA,6502,250,232,BACPIL,1,0,,,,134.6,1.16,6,,,,,,
B2,TR,2310,,,NOTDEN,0,1,0,0,0,,,,8.7,174.6,38,,,
A2,TR,2302,,,UMBCAL,0,1,0,0,0,,,,,173,25,,,NO DBH ON OG/ SNAG/ TAG LOOP ON BSPRT
B2,SA,6503,190,340,BACPIL,1,0,,,,147.1,1.58,1,,,,,,NEW SA
B2,SA,6114,,,BACPIL,1,0,,,,235,2.73,4,,,,,,
B2,SA,6115,,,BACPIL,1,0,,,,107.2,3.16,4,,,,,,
B2,SA,6616,320,125,BACPIL,1,0,,,,137.3,1.3,5,,,,,,NEW SA
C2,SA,6110,,,BACPIL,1,0,,,,173.5,2.2,4,,,,,,
B2,SA,6504,440,380,BACPIL,1,0,,,,168.3,1.84,2,,,,,,NEW SA
C3,TR,2316,,,PSEMEN,0,0,0,0,0,,,,58.5,,,,,
C3,TR,2317,,,NOTDEN,0,1,0,0,0,,,,7.3,218.4,19,,,
C3,TS,2317.1,,,NOTDEN,0,0,,,,NA,NA,,,,,,,GONE
C3,TR,2315,,,PSEMEN,0,0,0,0,0,,,,30.8,,,,,
C2,SA,6505,160,350,BACPIL,1,0,,,,107.8,1.53,0,,,,,,NEW SA
C3,SA,6617,62,470,BACPIL,1,0,,,,102.3,1.04,2,,,,,,NEW SA
C3,SA,6608,231,302,BACPIL,1,0,,,,129.4,0.94,2,,,,,,NEW SA
C3,SA,6609,410,452,BACPIL,1,0,,,,78.3,0.76,0,,,,,,NEW SA
C2,SA,6108,,,BACPIL,1,0,,,,187.4,2.23,7,,,,,,
C2,SA,6109,,,BACPIL,1,0,,,,212.6,2.8,2,,,,,,
D3,TR,2341,,,PSEMEN,0,0,0,0,0,,,,70.3,,,,,
D3,TR,2342,,,QUEAGRI,0,1,0,0,0,,,,11.2,103.5,36,,,
D3,TR,2342.1,,,QUEAGRI,0,0,0,0,0,,,,NA,,,1,,
D2,TR,2344,,,PSEMEN,0,0,0,0,0,,,,17.7,,,,,
D2,SA,6506,168,436,BACPIL,1,0,,,,128.8,1.38,1,,,,,,
D2,SA,6101,,,BACPIL,1,0,,,,157.5,1.94,0,,,,,,
D3,SA,2343,,,NOTDEN,1,0,,,,135.5,0.87,4,,,,,,
D3,SA,6507,,,BACPIL,1,0,,,,128.6,1.6,2,,,,,,
D2,TR,2345,,,PSEMEN,0,0,0,0,0,,,,95.3,,,,,
D2,TR,2346,,,QUEAGRI,0,1,0,0,0,,,,16.1,100.6,19,,,
D2,TS,2346.1,,,QUEAGRI,0,0,,,,,,,,,,,,GONE/ NO TAG
D3,SA,6610,175,315,BACPIL,1,0,,,,93.1,0.75,4,,,,,,NEW SA
D3,SA,6611,305,485,BACPIL,1,0,,,,111,0.95,0,,,,,,NEW SA
D2,SA,6102,,,UMBCAL,1,0,,,,75.6,0.72,3,,,,,,BD OF BSPRT
D1,SA,2348,,,NOTDEN,0,1,,,,,1.1,1,,101.6,1,,,BD OF BSPRT/ NO BD OF OG/ *
D3,SA,6523,285,395,BACPIL,1,0,,,,95.8,0.7,0,,,,,,
C1,SA,6106,,,BACPIL,1,0,,,,174.3,1.67,6,,,,,,
C1,SA,6107,,,BACPIL,1,0,,,,170,1.62,3,,,,,,was typo 6017- mkqc2022
D1,SA,2347,,,UMBCAL,0,0,,,,NA,NA,NA,,,,1,,
C1,SA,6524,128,20,BACPIL,1,0,,,,130.8,1.11,2,,,,,,NEW SA
C1,SA,6519,195,385,BACPIL,1,0,,,,150.2,1.63,0,,,,,,NEW SA
B1,SA,2312,,,PSEMEN,0,0,0,0,0,,,,77.3,,,,,
B1,TR,2314,,,PSEMEN,0,0,0,0,0,,,,24,,,,,
B1,TR,2313,,,PSEMEN,0,0,0,0,0,,,,14.5,,,,,
B1,SA,6112,,,BACPIL,1,0,,,,197.2,2.26,7,,,,,,
A1,TR,1996,,,PSEMEN,0,0,0,0,0,,,,85,,,,,
B1,SA,6508,160,110,BACPIL,1,0,,,,87.5,0.85,3,,,,,,NEW SA
A1,SA,6111,,,BACPIL,1,0,,,,182.5,1.76,12,,,,,,
A1,SA,6520,65,350,BACPIL,1,0,,,,169.3,1.78,7,,,,,,NEW SA
A2,SA,6118,,,BACPIL,1,0,,,,184.6,2.82,1,,,,,,
A1,SA,6521,15,470,SAL_SP,1,0,,,,66.5,0.32,0,,,,,,SALIX SP. (RED O{?ILLEGIBLE SCAN)
A2,SA,2301.1,,,NOTDEN,0,1,0,0,0,,,,2.42,201.5,14,,,.0 DEAD/ BSPROUT IN '18
A1,SA,6522,145,470,BACPIL,1,0,,,,151.3,1,6,,,,,,NEW SA
A2,TR,2303,,,PSEMEN,0,0,0,0,0,,,,41.3,,,,,
A2,SA,6113,,,BACPIL,1,0,,,,201.2,2.67,1,,,,,,
A2,SA,6509,65,240,BACPIL,1,0,,,,131.2,0.93,4,,,,,,NEW SA
A2,SA,6510,115,120,BACPIL,1,0,,,,168.9,1.41,3,,,,,,NEW SA
D2,SA,6511,120,12,BACPIL,1,0,,,,109.8,1.34,0,,,,,,
A1,SA,1997,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,NOT FOUND
A1,SA,1998,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,NOT FOUND
A2,TR,2302,,,UMBCAL,0,0,0,0,0,,,,NA,,,,,NOT FOUND
B2,SA,2311,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,NOT FOUND
C4,TR,2321,,,PSEMEN,0,0,0,0,0,,,,NA,,,,,NOT FOUND
C4,SA,2322,,,PSEMEN,0,0,,,,,,,,,,,,NOT FOUND
D1,SA,2349,,,TORCAL,0,0,,,,NA,NA,NA,,,,,,NOT FOUND
D3,SA,2340,,,PSEMEN,0,0,,,,NA,NA,NA,,,,,,NOT FOUND
D4,SA,2324,,,PSEMEN,0,0,,,,NA,NA,NA,,,,,,NOT FOUND
D4,TR,2325,,,PSEMEN,0,0,0,0,0,,,,NA,,,,,NOT FOUND
D4,SA,2326,,,PSEMEN,0,0,,,,NA,NA,NA,,,,,,NOT FOUND
D4,SA,2327,,,PSEMEN,0,0,,,,NA,NA,NA,,,,,,NOT FOUND
D4,SA,2329,,,PSEMEN,0,0,,,,NA,NA,NA,,,,,,NOT FOUND
