Plot ID,1348,,Sampler(s),"MO, TT, MK, CVH",,,,,Date ,20190808/ 20190809,,,,,,,,,
Notes,FOREST YOGURT/ POWDERY MILDEW- ADD TO PLOT DATA,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
D1,TR,3263.1,,,HETARB,0,0,0,0,0,,,,,,,1,,
D1,TR,3195.1,,,HETARB,0,0,0,0,0,,,,,,,1,,
D1,TR,3195.2,,,HETARB,0,0,0,0,0,,,,,,,1,,
D2,TS,3252.5,,,HETARB,0,0,,,,,,,,,,,,WRONG # 3242.5 IN '18 DB (FIXED!)
C2,TR,3202,,,PSEMEN,0,0,0,0,0,,,,,,,,,
C2,SA,3042,,,PSEMEN,0,0,,,,,,,,,,1,,
D3,SA,3184,,,PSEMEN,0,0,,,,,0.65,,,,,1,,
A2,SA,3107,,,AMOCAL,0,0,,,,NA,,NA,,,,,,NOT FOUND
A2,SA,3151,,,AMOCAL,0,0,,,,NA,,NA,,,,,,NOT FOUND
A2,SA,3071,,,AMOCAL,0,0,,,,NA,,NA,,,,,,NOT FOUND
A2,SA,3068,,,AMOCAL,0,0,,,,NA,NA,NA,,,,,,NOT FOUND
A2,SA,3069,,,AMOCAL,0,0,,,,NA,NA,NA,,,,,,NOT FOUND
A3,SA,3115,,,HETARB,0,0,,,,NA,NA,NA,,,,,,
A4,SA,3080,,,AMOCAL,0,0,,,,NA,NA,NA,,,,1,,
B4,SA,3088,,,AMOCAL,0,0,,,,NA,NA,NA,,,,,,DEAD/ GONE/ TAG NOT FOUND
B4,SA,3139,,,AMOCAL,0,0,,,,NA,NA,NA,,,,,,DEAD/ GONE/ TAG NOT FOUND
C4,SA,3221,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
C1,SA,3167,,,PSEMEN,0,0,,,,,,,,,,1,,
D1,SA,3263.3,,,HETARB,0,0,,,,,,,,,,,,WAS NOT FOUND
D1,SA,3263.6,,,HETARB,0,0,,,,,,,,,,1,,
D2,SA,3208,,,PSEMEN,0,0,,,,,2.23,,,,,1,,
C2,SA,3209,,,UMBCAL,0,0,,,,,,,,,,,,
D3,SA,3243,,,UMBCAL,0,0,,,,,,,,,,1,,
A2,SA,3065,,,QUEAGRI,0,1,,,,NA,0.34,NA,,43.5,0,,,BD OF BSPRT
A3,SA,3074,,,UMBCAL,0,1,,,,NA,0.38,NA,,39.6,0,,,BD OF BSPRT
A3,SA,3075,,,UMBCAL,0,1,,,,NA,0.41,NA,,47.5,0,,,BD OF BSPRT
A3,SA,3161,,,AMOCAL,0,1,,,,NA,0.58,NA,,,,,,BD OF BSPRT
A4,SA,3125,,,AMOCAL,0,1,,,,NA,0.67,6,,73,,,,BD OF BSPRT
A4,SA,6880,136,227,AMOCAL,0,1,,,,90.8,1.3,5,,,,,,BSPTBD = .65
A4,SA,6881,170,227,AMOCAL,0,1,,,,117.8,0.84,5,,,,,,BSPTBD = .58
C4,SA,3178,,,UMBCAL,0,1,,,,NA,,NA,0.33,29.5,,,,BD OF BSPRT
C4,SA,6188,,,UMBCAL,0,1,,,,NA,0.46,NA,,34.2,,,,BD OF BSPRT
D1,SA,3263,,,HETARB,0,1,,,,,,,,105.6,1,,,
D1,SA,3263.2,,,HETARB,0,1,,,,,,,,105.3,11,,,
D1,SA,3263.4,,,HETARB,0,1,,,,,,,,108.5,7,,,
D1,SA,3263.5,,,HETARB,0,1,,,,,,,,52.4,1,,,
D1,SA,3195,,,HETARB,0,1,,,,,,,,133.8,38,,,
D1,SA,3195.3,,,HETARB,0,1,,,,,,,,123.5,27,,,
A2,SA,6164,,,AMOCAL,1,0,,,,86.5,0.52,13,,,,,,BD OF BSPRT
A2,SA,6165,,,AMOCAL,1,0,,,,90.2,0.51,9,,,,,,
A2,SA,3106,,,AMOCAL,1,0,,,,104.5,0.58,19,,,,,,BD OF BSPRT
A2,SA,6166,,,AMOCAL,1,0,,,,104.1,0.55,23,,,,,,BD OF BSPRT
A2,SA,3070,,,AMOCAL,1,0,,,,97.1,0.48,65,,,,,,
A2,SA,6178,,,AMOCAL,1,0,,,,106.2,0.56,5,,,,,,
A2,SA,3104,,,AMOCAL,1,0,,,,149.9,0.92,24,,,,,,NOT ON LIST
A3,SA,3073,,,AMOCAL,1,0,,,,95.2,0.59,22,,,,,,BD OF BSPRT
A3,SA,3117,,,AMOCAL,1,0,,,,110.4,0.7,17,,,,,,BD OF BSPRT
A3,SA,3076,,,AMOCAL,1,0,,,,154.5,0.98,33,,,,,,BD OF BSPRT
A4,SA,3079,,,AMOCAL,1,0,,,,110,0.91,7,,,,,,BD OF BSPRT
