Plot ID,1331,,Sampler(s),"MO, GH, MF",,,,,Date ,20190624,,,,,,,,,
Notes,deleting dead umbcal sa in b2- was 5607- but that's in 1330. I think tag was never put out and it was a new dead sa in 2018- should have been a 999 anyway,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
A1,TR,2661,,,PSEMEN,0,0,0,0,0,,,,,,,1,,
A1,TR,2660,,,PSEMEN,0,0,0,0,0,,,,,,,1,,
A1,SA,2662,,,UMBCAL,1,0,,,,62,0.73,3,,,,,,RESPROUT BD
A2,TR,2667,,,QUEGAR,1,0,1,1,4,,,,45.9,,,,,PO IN DBH
A2,TR,2666,,,PSEMEN,0,0,0,0,0,,,,,,,1,,
A2,TR,2664,,,QUEAGRI,1,0,1,1,4,,,,22.9,,,,,
A2,SA,2665,,,UMBCAL,0,0,,,,,,,,,,1,,
B1,TR,2705,,,PSEMEN,0,0,0,0,0,,,,,,,1,,
B1,SA,5603,,,ARBMEN,0,0,,,,,,,,,,1,,
B1,SA,2681,,,PSEMEN,0,0,,,,,,,,,,1,,
B1,TR,2682,,,QUEAGRI,0,1,0,0,0,,,,9.3,42.7,0,,,
B1,TR,2682.1,,,QUEAGRI,0,0,0,0,0,,,,,,,1,,"DEAD AND GONE, TAG GONE"
B1,SA,2683,,,UMBCAL,0,0,,,,,,,,,,1,,
B1,SA,2663,,,QUEAGRI,0,0,,,,,,,,,,1,,"DEAD AND GONE, TAG {MISSING?}"
B1,TR,2680,,,QUEAGRI,1,1,1,1,4,,,,31.2,26.6,0,,,
B1,TR,2679,,,QUEAGRI,1,0,1,1,4,,,,25.3,,,,,
B1,TR,2685,,,QUEAGRI,1,1,1,1,3,,,,25.3,37,0,,,
B1,TR,2684,,,PSEMEN,1,0,0,1,3,,,,16.2,,,,,
B1,SA,5605,,,UMBCAL,0,0,,,,,,,,,,1,,
B1,SA,5604,,,UMBCAL,0,0,,,,,,,,,,,,"SHOULD HAVE BEEN 999, dead and gone- is tag still there?"
B2,TR,2673,,,PSEMEN,1,0,0,1,4,,,,18,,,,,
B2,TR,2678,,,QUEGAR,0,1,0,0,0,,,,,89.2,2,,,
B2,SA,2674,,,PSEMEN,0,0,,,,,,,,,,1,,
B2,SA,2672,,,UMBCAL,0,0,,,,,,,,,,1,,
B2,SA,2675,,,UMBCAL,0,0,,,,,,,,,,1,,
B3,SA,2670,,,UMBCAL,0,0,,,,,,,,,,1,,
B3,SA,2671,,,UMBCAL,0,0,,,,,,,,,,1,,
B4,TR,2668,,,QUEAGRI,1,0,1,1,4,,,,34.8,,,,,
B4,TR,2669,,,PSEMEN,0,0,0,0,0,,,,,,,1,,
C4,TR,5606,,,PSEMEN,1,0,0,1,4,,,,49.1,,,,,
C4,SA,2703,,,UMBCAL,0,0,,,,,,,,,,,,
C4,TR,2708,,,PSEMEN,0,0,0,0,0,,,,,,,1,,
C4,TR,2707,,,HETARB,0,0,0,0,0,,,,,,,,,
C4,TR,2707.1,,,HETARB,0,1,0,0,0,,,,,104,9,,,
C4,TR,2707.4,,,HETARB,0,0,0,0,0,,,,,,,,,"NO TAG, WIRE REMOVED"
C4,SA,2706,,,UMBCAL,0,0,,,,,,,,,,1,,was misrecorded as arbmen- mkqc2022
C3,TR,2695,,,QUEAGRI,1,0,1,1,4,,,,30.8,,,,,
C3,TR,2701,,,PSEMEN,1,0,0,1,4,,,,48.5,,,,,
C3,SA,2696,,,UMBCAL,0,0,,,,,,,,,,1,,
C3,TR,2693,,,PSEMEN,1,0,0,1,4,,,,47.1,,,,,
C3,SA,2697,,,UMBCAL,0,0,,,,,,,,,,1,,
C3,SA,2699,,,UMBCAL,0,0,,,,,,,,,,1,,
C3,SA,2698,,,UMBCAL,0,0,,,,,,,,,,,,TAG NOT FOUND
C3,SA,2702,,,UMBCAL,0,0,,,,,,,,,,,,TAG NOT FOUND
C2,TR,2689,,,PSEMEN,1,0,0,1,3,,,,32.2,,,,,
C2,TR,2691,,,HETARB,0,1,0,0,0,,,,,130.4,7,,,
C2,TR,2691.1,,,HETARB,0,1,0,0,0,,,,,106.3,11,,,
C2,TR,2691.2,,,HETARB,0,0,0,0,0,,,,,,,1,,
C1,TR,2688,,,PSEMEN,0,0,0,0,0,,,,,,,1,,
D1,SA,2719,,,UMBCAL,1,0,,,,97.2,0.87,1,,,,,,RESPROUT BD
D1,SA,2720,,,PSEMEN,0,0,,,,,,,,,,1,,
D1,TR,2717,,,PSEMEN,1,0,0,1,3,,,,27.8,,,,,
D1,SA,2715,,,UMBCAL,0,0,,,,,,,,,,1,,
D1,SA,2716,,,QUEAGRI,0,0,,,,,,,,,,,,TAG NOT FOUND
D1,SA,2718,,,UMBCAL,0,0,,,,,,,,,,,,TAG NOT FOUND
D2,TR,2690,,,QUEAGRI,0,0,0,0,0,,,,,,,1,,
D2,SA,2711,,,PSEMEN,0,0,,,,,,,,,,,,"TAG NOT FOUND, FALLEN BRANCH ON X/Y"
D2,TR,2714,,,PSEMEN,0,0,0,0,0,,,,,,,1,,
D3,SA,2709,,,ARBMEN,0,0,,,,,,,,,,,,
D3,SA,2710,,,UMBCAL,0,0,,,,,,,,,,1,,
