Plot ID,1319,,Sampler(s),"MO, GH",,,,,Date ,20190626,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
C1,SA,5622,,,QUEGAR,0,1,,,,NA,0.27,0,,25.4,,,,BD OF RESPROUT
C1,SA,5623,,,UMBCAL,0,1,,,,NA,0.24,0,,24.2,,,,BD OF RESPROUT
A1,SA,2862,,,QUEAGRI,1,0,,,,51.2,0.4,3,,,,,,BD OF RESPROUT
A1,SA,2863,,,QUEAGRI,0,1,,,,NA,0.33,0,,43.4,,,,BD OF RESPROUT
A1,SA,2865,,,QUEAGRI,0,1,,,,NA,0.38,0,,40,,,,BD OF RESPROUT
A1,SA,5600,,,QUEAGRI,0,1,,,,NA,0.35,0,,24.6,,,,BD OF RESPROUT
C2,SA,5620,,,PSEMEN,0,0,,,,,,,,,,1,,
C2,SA,5621,,,PSEMEN,0,0,,,,,,,,,,1,,
A1,TR,2860,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,
A1,TR,2859,,,PSEMEN,1,0,0,1,4,,,,6.9,,,,,POSSIBLE EPICORMIC
A1,TR,2861,,,PSEMEN,1,0,0,1,4,,,,4.3,,,,,
A1,TR,2864,,,UMBCAL,1,1,0,1,4,,,,11.3,NA,0,,1,
A1,TR,2864.1,,,UMBCAL,1,1,0,1,3,,,,10.4,NA,0,,,
A1,TR,2864.2,,,UMBCAL,1,1,0,1,3,,,,12.8,NA,0,,,
A1,TR,2864.3,,,UMBCAL,1,0,0,1,5,,,,9.7,,,,,
A1,TR,2864.4,,,UMBCAL,1,0,0,1,4,,,,7,,,,,
A1,TR,2864.5,,,UMBCAL,0,0,0,0,0,,,,NA,,,1,,
A2,TR,2866,,,UMBCAL,1,1,0,1,4,,,,26.7,81.4,2,,,18 DBH SHOULD 26 NOT 7{?}
A2,TR,2866.1,,,UMBCAL,1,0,0,1,4,,,,20.2,,,,1,
A2,TR,2868,,,PSEMEN,1,0,0,1,3,,,,3,,,,,
A2,TR,2869,,,QUEGAR,1,0,1,1,4,,,,21.7,,,,,
A2,TR,2867,,,UMBCAL,1,1,1,1,4,,,,18.2,NA,0,,1,
A2,TR,2867.1,,,UMBCAL,1,1,1,1,4,,,,14.8,NA,0,,,
A2,TR,2870,,,QUEAGRI,1,0,1,1,3,,,,23.8,,,,,
C2,TR,2877,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,
D3,TR,2880,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,
B3,TR,2876,,,QUEGAR,1,0,1,1,3,,,,40.5,,,,,"LOW DBH, NOT ON LIST"
A3,TR,2871,,,QUEAGRI,1,0,1,1,4,,,,35.5,,,,,
B4,TR,2874,,,PSEMEN,0,0,0,0,0,,,,NA,,,,,
B4,TR,2873,,,UMBCAL,1,1,0,1,4,,,,30.9,64.2,4,,,
B4,TR,2873.1,,,UMBCAL,1,1,1,1,3,,,,29.1,71.1,2,,,
B4,TR,2873.2,,,UMBCAL,1,0,1,1,2,,,,7.7,,,,,
B4,TR,2875,,,UMBCAL,1,1,1,1,4,,,,16.2,63.4,6,,,
B4,TR,2875.1,,,UMBCAL,1,0,1,0,1,,,,11.2,,,,,
B4,TR,2875.2,,,UMBCAL,0,1,0,0,0,,,,NA,72.2,4,,,
B4,TR,2875.3,,,UMBCAL,0,1,0,0,0,,,,NA,65.9,5,,,
C4,TR,2878,,,PSEMEN,0,0,0,0,0,,,,NA,,,,,
D4,TR,2879,,,UMBCAL,1,1,1,1,4,,,,14,NA,0,,,
D4,TR,2879.1,,,UMBCAL,1,1,1,1,3,,,,5.2,63.3,1,,,
A2,TS,2866.2,,,UMBCAL,0,0,,,,NA,NA,NA,,,,1,,
A3,TS,2872,,,QUEAGRI,0,0,,,,NA,NA,,,,,,,
