Plot ID,1323,,Sampler(s),"GH, MF, MO",,,,,Date ,20190614,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
A2,TR,1907,,,QUEAGRI,1,0,1,1,3,,,,19.2,,,,,
A2,TR,1909,,,QUEAGRI,1,0,1,1,4,,,,29.9,,,,,
A2,TR,1909.1,,,QUEAGRI,1,0,1,1,4,,,,23.4,,,,,
B2,TR,1931,,,QUEAGRI,1,0,0,1,4,,,,38,,,,,
B2,TR,1924,,,QUEDOU,1,0,0,1,4,,,,19.8,,,,,
B2,TR,1925,,,QUEDOU,1,0,1,1,4,,,,26.2,,,,,
C2,TR,1964,,,QUEAGRI,1,0,1,1,4,,,,41.9,,,,,
C2,TR,1964.1,,,QUEAGRI,1,0,1,1,4,,,,34.2,,,,,
C2,TR,1964.2,,,QUEAGRI,1,0,1,1,4,,,,24.5,,,,,
D1,TR,1965,,,QUEDOU,1,0,1,1,4,,,,31.3,,,,,
C3,TR,1923,,,QUEAGRI,1,0,1,1,4,,,,24.9,,,,,
C3,TR,1922,,,QUEDOU,1,0,1,1,3,,,,39.6,,,,,
