Plot ID,PPW1851,,Sampler(s),"MO, MK, TT",,,,,Date ,20190813,,,,,,,,,
Notes,TREES DONT FALL ON TUESDAYS <3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
A4,SA,6316,,,QUEAGRI,1,0,,,,79.2,0.82,2,,,,,,BD OF BSPRT/ WRONG QUAD IN '18
A4,SA,6272,,,UMBCAL,1,0,,,,149.2,2.27,3,,,,,,BD OF BSPRT
B4,TR,6278,,,UMBCAL,0,1,0,0,0,,,,,197.6,22,,,BD OF BSPRT
B4,SA,6282,,,QUEAGRI,1,0,,,,53,0.57,7,,,,,,BD OF BSPRT
B4,SA,6279,,,QUEAGRI,1,0,,,,95.6,1.21,5,,,,,,
B4,SA,6280,,,UMBCAL,1,0,,,,122.1,2.08,8,,,,,,BD OF BSPRT
B4,SA,6281,,,UMBCAL,1,0,,,,182.4,2.89,4,,,,,,BD OF BSPRT
B4,SA,6283,,,QUEAGRI,1,0,,,,91.1,1.13,11,,,,,,BD OF BSPRT
B4,TR,6284,,,ARBMEN,0,1,0,0,0,,,,,234.9,15,,,
C4,TR,6319,,,ARBMEN,0,1,0,0,0,,,,,347.5,11,,,
C4,TR,6325,,,ARBMEN,0,0,0,0,0,,,,,,,1,,
C4,TR,6318,,,UMBCAL,0,1,0,0,0,,,,,222.5,11,,,
D4,TR,6291,,,ARBMEN,0,1,0,0,0,,,,,176.5,9,,,
D4,TR,6293,,,ARBMEN,0,1,0,0,0,,,,,255.5,15,,,
D4,TR,6295,,,ARBMEN,0,1,0,0,0,,,,,252.4,14,,,
D4,TR,6295.1,,,ARBMEN,0,1,0,0,0,,,,,301,12,,,
D4,TR,6298,,,ARBMEN,0,1,0,0,0,,,,,191.7,3,,,
D4,SA,6292,,,BACPIL,1,0,,,,148.5,3.06,4,,,,,,
D4,SA,6928,275,125,BACPIL,1,0,,,,121.7,1.55,6,,,,,,
D4,TR,6296,,,UMBCAL,0,1,0,0,0,,,,,216,21,,,
D4,TR,6297,,,QUEAGRI,0,1,0,0,0,,,,,162.5,1,,,
D4,SA,6294,,,QUEAGRI,1,0,,,,116.8,1.11,4,,,,,,BD OF BSPRT
D3,SA,6301,,,QUEAGRI,1,0,,,,65,1.04,5,,,,,,BD OF BSPRT
D3,SA,6929,495,475,UMBCAL,1,0,,,,149.1,2.17,9,,,,,,OG DEAD SA IN '18 W RSPRT BD @ {?ILLEGIBLE SCAN}
D3,TR,6302,,,UMBCAL,0,1,0,0,0,,,,,275.2,24,,,
D3,TR,6303,,,UMBCAL,0,1,0,0,0,,,,,197.6,21,,,
D3,SA,6299,,,QUEAGRI,1,0,,,,86.4,1.34,8,,,,,,BD OF BSPRT
D3,TR,6300,,,ARBMEN,0,1,0,0,0,,,,,210,12,,,
D3,SA,6946,305,235,BACPIL,1,0,,,,116.5,1.09,2,,,,,,
D3,TR,6305,,,UMBCAL,0,1,0,0,0,,,,,107.6,6,,,
D3,TR,6304,,,ARBMEN,0,1,0,0,0,,,,,132.5,5,,,
C3,SA,6309,,,QUEAGRI,1,0,,,,73.2,0.49,7,,,,,,BD OF BSPRT
C3,SA,6947,330,15,BACPIL,1,0,,,,138.5,2.45,7,,,,,,
C3,SA,6315,,,QUEAGRI,1,0,,,,113,1.05,11,,,,,,BD OF BSPRT
C3,TR,6317,,,UMBCAL,0,1,0,0,0,,,,,278.3,43,,,
C3,SA,6310,,,QUEAGRI,1,0,,,,95.4,0.63,11,,,,,,BD OF BSPRT
C3,SA,6313,,,QUEAGRI,1,0,,,,98.2,0.62,5,,,,,,BD OF BSPRT
C3,TR,6314,,,QUEAGRI,0,1,0,0,0,,,,,64.4,2,,,
B3,TR,6288,,,UMBCAL,0,1,0,0,0,,,,,185.6,16,,,
B3,TR,6287,,,UMBCAL,0,1,0,0,0,,,,,220.1,31,,,
B3,SA,6285,,,QUEAGRI,1,0,,,,144.7,1.56,10,,,,,,BD OF BSPRT
B3,SA,6289,,,BACPIL,1,0,,,,163.3,2.18,26,,,,,,
B3,SA,6286,,,QUEAGRI,1,0,,,,85.9,1.48,5,,,,,,BD OF BSPRT
A2,TR,6273,,,ARBMEN,0,0,0,0,0,,,,,,,,,
A2,TR,6274,,,UMBCAL,0,1,0,0,0,,,,,235.2,14,,,
B2,TR,6290,,,UMBCAL,0,1,0,0,0,,,,,176.6,20,,,
C2,TR,6312,,,UMBCAL,0,1,0,0,0,,,,,257.2,10,,,
C2,SA,6311,,,BACPIL,1,0,,,,116.3,1.03,3,,,,,,
B1,SA,6948,300,315,BACPIL,1,0,,,,128,1.86,4,,,,,,
C1,TR,6323,,,QUEAGRI,1,1,1,0,1,,,,35.9,153.7,8,,,
C1,TR,6324,,,UMBCAL,0,1,0,0,0,,,,,94.4,8,,,
B1,TR,6322,,,SAMNIG,1,0,0,1,5,,,,1.17,,,,,
B1,TR,6322.1,,,SAMNIG,1,0,0,1,5,,,,1.01,,,,,
B1,TS,6322.2,,,SAMNIG,1,0,,,,95.6,1.02,3,,,,,,
D1,SA,6307,,,BACPIL,1,0,,,,136.8,1.92,12,,,,,,
D1,TR,6306,,,QUEAGRI,0,0,0,0,0,,,,,,,,,
D1,TR,6308,,,UMBCAL,0,1,0,0,0,,,,,292.7,13,,,
B1,SA,6321,,,BACPIL,1,0,,,,116.6,1.11,4,,,,,,
B1,SA,6949,360,1,BACPIL,1,0,,,,71,0.69,6,,,,,,
B1,TR,6320,,,UMBCAL,0,1,0,0,0,,,,,249,13,,,
