Plot ID,1341,,Sampler(s),"MO, MK, TT, GH",,,,,Date ,20190604,,,,,,,,,
Notes,TAG 1980 FOUND ON GROUND ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
A1,TR,2499,,,QUEAGRI,0,1,0,0,0,,,,21.7,NA,0,,,
A1,SA,2498,,,UMBCAL,0,0,,,,,,,,,,,,
A2,TR,1929,,,PSEMEN,1,0,0,1,2,,,,57.7,,,,,
A2,TR,1930,,,PSEMEN,1,0,0,1,2,,,,100.8,,,,,
A3,SA,1928,,,UMBCAL,1,0,,,,53.3,0.79,5,,,,,,
A4,TR,1927,,,QUEAGRI,1,1,1,0,1,,,,27.6,102.1,7,,,
B4,TS,1994,,,QUEAGRI,1,0,,,,98.9,0.91,19,,,,,,SEVERAL NEW SPROUTS OFF STEM{? ILLEGIBLE SCAN}
B3,SA,1969,,,UMBCAL,1,0,,,,51.7,0.58,2,,,,,,
B2,SA,6199,30,460,BACPIL,1,0,,,,56,0.65,1,,,,,,NEW SA
B2,SA,6200,165,356,BACPIL,1,0,,,,50.5,0.48,1,,,,,,
B2,SA,6326,500,161,BACPIL,1,0,,,,136.9,0.97,0,,,,,,
B1,SA,6327,,,BACPIL,1,0,,,,88.5,0.84,5,,,,,,
B1,TR,1972,,,QUEAGRI,1,1,1,1,2,,,,27.3,NA,0,,,
B1,TR,1972.1,,,QUEAGRI,1,0,0,0,0,,,,3,,,,,
B1,SA,1970,,,NOTDEN,1,0,,,,126.6,1.21,5,,,,,,
B1,SA,6347,115,205,BACPIL,1,0,,,,96,0.83,4,,,,,,
C1,SA,6328,499,40,BACPIL,1,0,,,,94.6,1.73,4,,,,,,
D1,SA,1992,,,PSEMEN,0,0,,,,,,,,,,,,NOT FOUND
D1,SA,6329,192,450,BACPIL,1,0,,,,96.1,0.69,5,,,,,,
D1,SA,6330,262,460,BACPIL,1,0,,,,103.1,1.43,3,,,,,,
D1,SA,6331,200,340,BACPIL,1,0,,,,103.4,1.76,2,,,,,,
D2,SA,1989,,,UMBCAL,1,0,,,,74.5,1.06,9,,,,,,
C4,TR,1988,,,QUEAGRI,1,1,1,0,1,,,,20.9,75.9,1,,,
C4,TR,1986,,,PSEMEN,0,0,0,0,0,,,,50.4,,,,,
C4,TR,1983,,,QUEAGRI,0,1,0,0,0,,,,15.4,88,4,,,
C4,SA,1987,,,PSEMEN,0,0,,,,,,,,,,,,NOT FOUND/DEAD GONE
C4,SA,1984,,,PSEMEN,0,0,,,,,,,,,,,,NOT FOUND/DEAD GONE
C3,TR,1968,,,QUEAGRI,1,1,1,1,2,,,,33,NA,0,,,
C3,TR,1986.1,,,QUEAGRI,0,0,0,0,0,,,,20,,,,,
C3,TR,1979,,,QUEAGRI,0,1,0,0,0,,,,22,NA,0,,,
C3,TR,1978,,,QUEAGRI,0,1,0,0,0,,,,27.1,NA,0,,,
C3,TS,1981,,,QUEAGRI,0,0,,,,,,,,,,1,,DEAD
C2,TR,1975,,,UMBCAL,0,1,0,0,0,,,,6.8,112.5,19,,,
C2,TR,1974,,,UMBCAL,0,1,0,0,0,,,,3,73.1,9,,,
C2,SA,1926,,,UMBCAL,0,0,,,,,,,,,,,,STILL DEAD
D1,SA,6332,190,105,BACPIL,1,0,,,,81,0.52,2,,,,,,
C2,SA,6333,45,185,BACPIL,1,0,,,,113.4,1.06,3,,,,,,
C2,SA,6334,495,50,BACPIL,1,0,,,,119.3,1.37,4,,,,,,
C2,SA,6335,390,325,BACPIL,1,0,,,,85.6,0.87,7,,,,,,
C3,SA,6336,499,390,BACPIL,1,0,,,,108.2,1.13,7,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
