Plot ID,1339,,Sampler(s),"MO, GH, TT",,,,,Date ,20190718,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
A4,SA,2536,,,UMBCAL,1,0,,,,73,0.86,11,,,,,,BDBSPT/ was typo 2563- mkqc2022
A4,SA,2535,,,UMBCAL,1,0,,,,74.7,0.7,4,,,,,,BDBSPT
A4,SA,2537,,,UMBCAL,1,0,,,,47.9,0.53,NA,,,,,,BDBSPT
A3,SA,5887,,,UMBCAL,1,0,,,,60.8,0.67,1,,,,,,BDBSPT
A2,SA,2533,,,UMBCAL,1,0,,,,77.5,0.84,1,,,,,,BDBSPT
A2,SA,2531,,,UMBCAL,1,0,,,,71.1,0.79,12,,,,,,BDBSPT
A2,SA,2532,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,DEAD
A2,SA,5888,,,UMBCAL,1,0,,,,59.5,0.55,5,,,,,,BDBSPT
A2,SA,5889,290,50,UMBCAL,1,0,,,,56.3,0.71,6,,,,,,"BDBSPT, QUAD CHANGED"
A2,SA,2526,,,UMBCAL,1,0,,,,32.3,0.26,NA,,,,,,BDBSPT
A2,TR,2527,,,QUEAGRI,1,0,1,1,4,,,,65,,,,,
A1,TR,2528,,,QUEAGRI,1,1,1,1,3,,,,39.9,NA,0,,,
A1,SA,2524,,,UMBCAL,1,0,,,,136.9,0.95,22,,,,,,BDBSPT
A1,SA,2525,,,UMBCAL,1,0,,,,76.6,0.48,5,,,,,,BDBSPT
A1,SA,2529,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,
B1,TR,2547,,,UMBCAL,0,1,0,0,0,,,,,243.9,13,,,
B1,SA,5890,,,UMBCAL,1,0,,,,54.2,0.7,3,,,,,,BDBSPT
B2,SA,2530,,,UMBCAL,1,0,,,,121.5,1.06,12,,,,,,BDBSPT
B2,SA,2546,,,UMBCAL,1,0,,,,91.5,0.73,6,,,,,,BDBSPT
B4,SA,2540,,,UMBCAL,1,0,,,,115,1.05,4,,,,,,BDBSPT
B4,TR,2541,,,UMBCAL,0,1,0,0,0,,,,NA,177.7,15,,,
B4,SA,5886,,,UMBCAL,1,0,,,,44,0.54,NA,,,,,,BDBSPT
B4,TR,2543,,,QUEAGRI,1,1,1,1,3,,,,26.9,68.9,3,,,
B4,TR,2543.1,,,QUEAGRI,1,0,1,0,1,,,,9.5,,,,,
B4,TR,2543.2,,,QUEAGRI,1,0,1,1,3,,,,26.5,,,,,
B4,TR,2539,,,UMBCAL,0,1,0,0,0,,,,NA,67.5,2,,,
B4,SA,2563,,,UMBCAL,0,0,,,,NA,NA,NA,,,,1,,
B4,SA,2538,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,
C4,SA,5893,,,ARBMEN,1,0,,,,106.2,1.39,5,,,,,,BDBSPT
C4,SA,5894,,,ARBMEN,1,0,,,,93,1.09,5,,,,,,BDBSPT
C3,TR,2554,100,480,QUEAGRI,1,1,1,1,5,,,,66,NA,0,,,
C3,TR,2554.1,,,QUEAGRI,1,0,1,1,1,,,,1.33,,,,,
C3,TR,2554.2,,,QUEAGRI,0,0,0,0,0,,,,NA,,,1,,
C3,TS,2554.3,,,QUEAGRI,1,0,,,,48.5,0.56,NA,,,,,,
C3,SA,2555,100,470,UMBCAL,0,0,,,,NA,NA,NA,,,,,,
C3,TR,2556,70,480,QUEAGRI,1,0,1,0,1,,,,,,,,,
C3,TR,2556.1,,,QUEAGRI,0,0,0,0,0,,,,,,,,,
C3,TR,2557,,,QUEAGRI,1,0,1,1,5,,,,39.5,,,,,
C3,TR,2557.1,,,QUEAGRI,1,1,1,1,4,,,,26.7,78,2,,,
C3,TR,2557.2,,,QUEAGRI,1,0,1,0,5,,,,37.5,,,,,TOP BROKEN OFF
C3,TR,2557.3,,,QUEAGRI,1,1,1,1,2,,,,33.2,NA,0,,,
C2,SA,2552,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
C2,SA,2553,,,UMBCAL,1,0,,,,65,0.61,1,,,,,,BDBSPT
C1,TR,2551,,,QUEDOU,1,0,1,1,3,,,,29.1,,,,,
C1,TR,2551.1,,,QUEDOU,1,0,0,1,3,,,,23.3,,,,,
C1,TR,2550,,,QUEAGRI,1,1,1,1,3,,,,12.2,,,,,
C1,SA,2549,,,UMBCAL,1,0,,,,79.3,0.69,3,,,,,,BDBSPT
C1,SA,6483,,,UMBCAL,1,0,,,,52.8,0.47,2,,,,,,
D1,SA,5891,,,UMBCAL,1,0,,,,97.1,0.71,3,,,,,,BDBSPT
D1,TR,2562,,,QUEDOU,1,0,1,1,4,,,,21.9,,,,,
D2,TR,2561,,,QUEDOU,1,0,1,1,4,,,,33.5,,,,,
D2,SA,2560,,,UMBCAL,1,0,,,,116.3,0.84,10,,,,,,BDBSPT
D2,SA,2559,,,QUEAGRI,0,1,,,,26.6,0.28,NA,,,,,,BDBSPT9 was dead in 2018- new resprout
D2,SA,5892,,,UMBCAL,1,0,,,,73.9,0.73,1,,,,,,BDBSPT
D2,SA,6484,,,UMBCAL,1,0,,,,61,0.66,4,,,,,,
D2,TR,2558,,,QUEDOU,1,0,1,1,5,,,,,22.9,,,,
A3,TR,2534,,,QUEDOU,0,0,0,0,0,,,,,,,,,
