Plot ID,1320,,Sampler(s),"MO, GH",,,,,Date ,20190719,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
B4,TR,4561,,,UMBCAL,0,0,0,0,0,,,,NA,,,1,,
D1,SA,4733,,,FRACAL,1,0,,,,156.4,1.75,19,,,,,,BD OF BSPRT
D1,TR,4737,,,UMBCAL,0,1,0,0,0,,,,NA,206,5,,,
D1,TR,4738,,,FRACAL,0,1,0,0,0,,,,NA,191.5,10,,,
D1,TR,4738.1,,,FRACAL,0,1,0,0,0,,,,NA,139.1,11,,,
D1,TR,4738.2,,,FRACAL,0,0,0,0,0,,,,NA,,,1,,
D1,TR,4738.3,,,FRACAL,0,0,0,0,0,,,,NA,,,1,,
D1,TR,4738.4,,,FRACAL,0,1,0,0,0,,,,NA,143.8,10,,,
D1,TR,4741,,,UMBCAL,0,1,0,0,0,,,,NA,242.7,15,,,
D1,SA,4736,,,FRACAL,0,0,,,,NA,NA,NA,,,,1,,
D1,SA,4735,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,TAG NOT FOUND
D2,TR,4732,,,UMBCAL,0,0,0,0,0,,,,NA,167.6,5,,,
D2,TR,4699,,,ARBMEN,1,1,1,1,3,,,,41.3,163.5,24,,,
D2,TR,4699.1,,,ARBMEN,0,0,0,0,0,,,,NA,,,,,GONE/TAG NOT FOUND
D2,TR,4727,20,340,ARBMEN,0,1,0,0,0,,,,,58,3,,,
D2,TR,4730,,,QUEWIS,0,0,0,0,0,,,,NA,,,,,GONE/ TAG NOT FOUND
D3,SA,4726,,,FRACAL,1,0,,,,126,1.5,22,,,,,,BD OF BSPRT
D3,TR,4724,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
D3,TR,4725,,,HETARB,0,1,0,0,0,,,,,148.6,7,,,
D3,TR,4725.1,,,HETARB,0,0,0,0,0,,,,,,,1,,
D3,TR,4725.2,,,HETARB,0,0,0,0,0,,,,,,,1,,
D3,TR,4725.3,,,HETARB,0,0,0,0,0,,,,,,,1,,
D3,TR,4725.4,,,HETARB,,0,0,0,0,,,,,,,1,,
D3,TR,4725.5,,,HETARB,0,0,0,0,0,,,,,,,1,,
D3,TS,4725.6,,,HETARB,0,0,,,,NA,NA,NA,,,,,,TAG NOT FOUND
D4,TR,4722,,,UMBCAL,0,1,0,0,0,,,,NA,125.7,6,,,
D4,TR,4722.1,,,UMBCAL,0,0,0,0,0,,,,NA,,,1,,
D4,TR,4713,,,QUEGAR,0,0,0,0,0,,,,19.1,,,,,
D4,SA,4721,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,GONE/ TAG NOT FOUND
C4,SA,4710,,,UMBCAL,1,0,,,,116.1,1.61,4,,,,,,BD OF BSPRT
C4,TR,4707,,,FRACAL,0,1,0,0,0,,,,NA,174.1,11,,,
C4,TR,4706,,,HETARB,0,1,0,0,0,,,,NA,131.2,3,,,
C4,TR,4704,,,HETARB,0,1,0,0,0,,,,NA,106.1,10,,,
C4,TR,4711,,,FRACAL,0,1,0,0,0,,,,NA,163.9,3,,,
C4,TR,4714,,,HETARB,0,1,0,0,0,,,,NA,147.3,27,,,
C4,TR,4714.1,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
C4,TS,4714.2,,,HETARB,0,0,,,,NA,NA,,,,,1,,
C4,TR,4708,,,AMOCAL,0,1,0,0,0,,,,,,13,,,
C4,TR,4708.1,,,AMOCAL,0,0,0,0,0,,,,,,,1,,
C4,TR,4705,,,UMBCAL,0,0,0,0,0,,,,NA,,,1,,
C3,TR,4702,,,HETARB,0,1,0,0,0,,,,NA,157.2,67,,,
C3,TR,4702.1,,,HETARB,0,0,0,0,0,,,,NA,,,,,
C3,TR,4702.2,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
C3,TR,4702.3,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
C3,TS,4702.4,,,HETARB,0,0,,,,NA,NA,,,,,,,NOT FOUND
C3,TR,4718,136,368,QUEGAR,1,1,1,1,4,,,,29.5,118.6,8,,,IN C3 CHANGE SP.
C3,TR,4700,,,HETARB,0,1,0,0,0,,,,NA,,15,,,
C3,TR,4700.1,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
C3,TS,4700.2,,,HETARB,0,0,,,,NA,NA,,,,,1,,
C3,SA,4717,,,HETARB,0,0,,,,NA,NA,NA,,,,1,,
C2,TR,4698,,,UMBCAL,0,1,0,0,0,,,,NA,72,19,,,
C2,SA,6485,25,147,QUEAGRI,1,0,,,,56.5,0.62,0,,,,,,NEW SA
C2,TR,4690,,,HETARB,0,1,0,0,0,,,,NA,58.5,1,,,
C1,TR,4659,,,QUEAGRI,1,0,1,1,3,,,,29.4,,,,,
C1,SA,4684,,,UMBCAL,0,0,,,,NA,NA,NA,,,,1,,
C1,SA,4688,,,UMBCAL,1,0,,,,109,1.04,9,,,,,,BD OF BSPRT
C1,SA,5980,,,UMBCAL,1,0,,,,66.8,0.83,2,,,,,,BD OF BSPRT
C1,SA,5979,,,FRACAL,1,0,,,,84.8,0.65,4,,,,,,
C1,SA,4686,,,HETARB,0,0,,,,NA,NA,NA,,,,1,,
C1,SA,6486,225,42,FRACAL,1,0,,,,55.8,0.44,4,,,,,,NEW SA
B1,TR,4662,,,ARBMEN,0,1,0,0,0,,,,NA,145.9,5,,,
B1,TR,4657,,,HETARB,0,1,0,0,0,,,,NA,121.5,11,,,
B1,TR,4657.1,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
B1,TR,4657.2,,,HETARB,0,1,0,0,0,,,,NA,144,16,,,
B1,TS,4657.3,,,HETARB,0,0,,,,NA,NA,NA,,,,1,,
B1,TR,4655,,,ARBMEN,1,1,1,1,2,,,,32.4,196.2,15,,,
B1,SA,4687,,,UMBCAL,1,0,,,,109,1.07,7,,,,,,BD OF BSPRT
B1,TR,4658,,,FRACAL,0,1,0,0,0,,,,NA,163.8,4,,,
B1,SA,4630,,,HETARB,1,0,,,,79.2,0.69,2,,,,,,BD OF BSPRT
B1,SA,4744,,,HETARB,0,0,,,,NA,NA,NA,,,,1,,
