Plot ID,PPW1332,,Sampler(s),"MO, TT, GH",,,,,Date ,20190711,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
A4,TR,2598,,,QUEGAR,1,0,0,1,4,,,,40.7,,,,,
A3,TR,2597,,,QUEGAR,1,1,1,1,4,,,,25.2,,0,,,
A3,TR,2596,,,QUEGAR,1,0,0,1,5,,,,26,,,,,
A2,TR,2567,,,UMBCAL,1,1,1,1,4,,,,21.5,107.5,21,,,
A2,TR,2594,,,QUEGAR,1,0,0,1,4,,,,28.4,,,,,
A2,TR,2585,,,UMBCAL,1,1,1,1,4,,,,25.2,87.5,5,,,
A2,TR,2595,,,UMBCAL,1,1,0,1,5,,,,19.1,146.6,10,,,
B1,TR,2607,,,QUEGAR,1,0,0,1,4,,,,37.4,,,,,
B1,TR,2606,,,UMBCAL,1,1,0,1,4,,,,25.1,78.3,8,,,
B1,SA,2608,,,UMBCAL,1,0,,,,91.2,1.03,1,,,,,,
C1,TR,2613,,,QUEGAR,1,1,1,1,4,,,,19.9,59,2,,,
C1,TR,2616,,,QUEGAR,1,1,1,1,4,,,,34,,0,,,
C1,TR,2612,,,AESCAL,1,1,1,1,3,,,,14.8,169.3,8,,,
C1,TR,2612.1,,,AESCAL,0,1,0,0,0,,,,,133,7,,,
C1,TR,2612.2,,,AESCAL,1,1,1,1,2,,,,14.3,190.6,10,,,
C1,TS,2612.3,,,AESCAL,0,0,,,,,,,,,,,,TAG NOT FOUND
C1,TR,2612.4,,,AESCAL,0,0,0,0,0,,,,12.2,,,,,BARK COMING OFF
C1,TS,2612.5,,,AESCAL,0,0,,,,,1.13,0,,,,1,,
C1,SA,5684,,,UMBCAL,0,1,,,,,0.11,0,,20.6,,,,typoTR IN '18- fixed mkqc2023/ BD OF BSPRT
D1,TR,2629,,,QUEGAR,1,0,0,1,5,,,,34.5,,,,,
D1,SA,5683,,,UMBCAL,1,0,,,,30.9,0.29,0,,,,,,BD OF BSPRT
D1,SA,5682,,,UMBCAL,1,0,,,,21.8,0.23,0,,,,,,
C4,TR,2617,,,UMBCAL,1,1,1,1,4,,,,12.8,170,6,,1,
C4,SA,2609,,,UMBCAL,1,0,,,,24.7,0.46,0,,,,,,BD OF BSPRT
C4,TR,2618,,,UMBCAL,1,1,1,1,4,,,,16.1,85.5,8,,1,
C4,TR,2619,,,UMBCAL,1,1,1,1,4,,,,17.5,60.6,2,,1,
C4,TR,2621,,,UMBCAL,1,1,1,1,4,,,,17.2,74,1,,,
C4,SA,2610,,,UMBCAL,0,0,,,,,,,,,,,,GONE/ TAG NOT FOUND
D4,TR,2626,,,QUEGAR,1,0,1,1,4,,,,31.4,,,,,
D4,TR,2627,,,QUEGAR,0,1,0,0,0,,,,NA,57.5,1,,,
D4,TR,2611,,,UMBCAL,0,0,0,0,0,,,,NA,,,,,
D4,TR,2611.1,,,UMBCAL,0,1,0,1,0,,,,NA,92.4,3,,,
D4,TR,2625,,,UMBCAL,1,1,1,1,4,,,,15.4,124.5,2,,1,
D3,TR,2624,,,UMBCAL,1,1,0,1,4,,,,13,83.6,4,,1,
D2,TR,2623,,,QUEGAR,1,0,1,1,4,,,,29.8,,,,,
D2,TR,2630,,,QUEGAR,1,0,0,1,4,,,,20.1,,,,,
D2,TR,2622,,,AESCAL,1,1,1,1,3,,,,14.4,144.2,3,,,
D2,TR,2622.1,,,AESCAL,1,1,1,1,2,,,,11.1,74,3,,,
D2,TS,2622.2,,,AESCAL,1,0,,,,,116,1,,,,,,assuming 2 over 50 mans one iunder 10 after ht move- mkqc2022
C2,TR,2628,,,AESCAL,1,1,1,1,4,,,,14,65.6,1,,,NO LEAF ON BASAL
C2,TR,2615,,,QUEGAR,1,0,1,1,4,,,,38.3,,,,,
B2,TR,2614,,,QUEGAR,1,1,1,1,4,,,,24.1,NA,0,,,
B2,TR,2605,,,QUEGAR,1,0,1,1,4,,,,35,,,,,
B3,TR,2604,,,UMBCAL,1,1,1,1,4,,,,16,158,12,,1,
B3,TR,2599,,,QUEGAR,1,0,1,1,4,,,,36.1,,,,,
B3,SA,2603,,,AESCAL,0,1,,,,12,0.11,0,,,,,,"BD OF BSPRT- was dead in 2018, first time resprouter-mkqc2023"
B3,SA,2602,,,UMBCAL,1,0,,,,97.5,0.83,6,,,,,1,BD OF BSPRT
B3,TR,2601,,,QUEGAR,1,0,0,1,4,,,,27.7,,,,,BURL IN DBH
B3,TR,2600,,,UMBCAL,1,1,1,1,5,,,,19.2,94,6,,1,
C3,TR,2600.1,,,UMBCAL,1,0,1,1,4,,,,21.3,,,,1,
C3,TR,2620,,,UMBCAL,1,0,1,1,4,,,,18.9,,,,1,
