Plot ID,PPW1852,,Sampler(s),"MK, MO, GH",,,,,Date ,20190726,,,,,,,,,
Notes,NO SOD/ ARCMAN IN A2 (jUV)..added to seju,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
D1,TR,6216,,,QUEAGRI,0,1,0,0,0,,,,,59.7,1,,,
D1,TR,6217,,,QUEAGRI,0,1,0,0,0,,,,,78,5,,,
D1,TR,6219,,,UMBCAL,0,1,0,0,0,,,,,160.2,9,,,NO SOD
D1,SA,6218,,,UMBCAL,1,0,,,,81.4,1.3,3,,,,,,BD OF BSPRT/ NO SOD
C1,SA,6211,,,UMBCAL,1,0,,,,84,2.28,4,,,,,,BD OF BSPRT/ NO SOD
C1,SA,6210,,,UMBCAL,1,0,,,,87.4,1.15,11,,,,,,BD OF BSPRT/ NO SOD
C1,TR,6207,,,QUEKEL,0,0,0,0,0,,,,,,,,,
C1,SA,6208,,,UMBCAL,1,0,,,,107.6,1.68,5,,,,,,
C1,SA,6209,,,UMBCAL,1,0,,,,98.8,1.24,4,,,,,,BD OF BSPRT/ NO SOD
C1,SA,6214,,,UMBCAL,1,0,,,,84.5,1.14,5,,,,,,
C1,SA,6215,,,UMBCAL,1,0,,,,92.1,1.3,5,,,,,,
C1,TR,6212,,,UMBCAL,0,1,0,0,0,,,,,210,12,,,OG GONE/ TAG @ BASE
C1,SA,6213,,,BACPIL,1,0,,,,150.6,2.3,7,,,,,,
B1,TR,6205,,,QUEKEL,0,1,0,0,0,,,,,98.3,11,,,Q.LOB?/ RECHECK GAR?
B1,SA,6206,,,UMBCAL,1,0,,,,99.7,1.38,7,,,,,,
B1,SA,6203,,,UMBCAL,1,0,,,,77.5,0.93,4,,,,,,
B1,TR,6204,,,QUEKEL,0,1,0,0,0,,,,,288.3,22,,,
B1,TR,6204.1,,,QUEKEL,0,1,0,0,0,,,,,261,8,,,
B1,TR,6204.2,,,QUEKEL,0,1,0,0,0,,,,,146.4,5,,,
B1,TR,6204.3,,,QUEKEL,0,1,0,0,0,,,,,223.8,21,,,
B1,TR,6204.4,,,QUEKEL,0,1,0,0,0,,,,,211.3,9,,,
A1,TR,6202,,,UMBCAL,0,1,0,0,0,,,,,253.9,3,,,
A1,SA,6201,,,UMBCAL,1,0,,,,73.1,0.69,4,,,,,,BD OF BSPRT/ NO SOD
A1,SA,6533,150,385,BACPIL,1,0,,,,87,0.92,0,,,,,,NEW SA
A1,SA,6532,185,430,BACPIL,1,0,,,,77,0.87,3,,,,,,NEW SA
A2,SA,6534,475,460,BACPIL,1,0,,,,139.6,1.04,1,,,,,,NEW SA
A3,TR,6233,,,QUEKEL,0,1,0,0,0,,,,,134.4,18,,,USED TO BE IN B3
A3,SA,6234,,,AMOCAL,1,0,,,,192.7,0.52,7,,,,,,BD OF BSPRT
A3,SA,6535,292,100,BACPIL,1,0,,,,160.7,1.34,5,,,,,,NEW SA
A3,SA,6536,297,180,BACPIL,1,0,,,,136.2,1.2,0,,,,,,NEW SA
A3,SA,6526,432,275,UMBCAL,1,0,,,,96.2,0.99,0,,,,,,NEW SA
A3,TR,6235,,,UMBCAL,0,1,0,0,0,,,,,254.5,12,,,
A3,SA,6537,137,180,UMBCAL,0,1,,,,,1,,,87.5,1,,,BD OF BSPRT
A3,SA,6527,342,391,CEACUN,1,0,,,,96.8,0.49,5,,,,,,
A3,SA,6528,382,431,CEACUN,1,0,,,,93.5,0.78,7,,,,,,NEW SA
A3,SA,6529,287,366,CEACUN,1,0,,,,57.2,0.25,3,,,,,,NEW SA
A3,SA,6538,310,30,BACPIL,1,0,,,,83.9,1.12,4,,,,,,NEW SA
A3,SA,6530,237,296,CEACUN,1,0,,,,87.6,0.41,1,,,,,,NEW SA
A3,SA,6539,217,396,BACPIL,1,0,,,,97.6,1.33,0,,,,,,NEW SA
A4,SA,6545,133,20,CEACUN,1,0,,,,74.4,0.33,8,,,,,,NEW SA
A4,TR,6077,,,UMBCAL,0,1,0,0,0,,,,,474.8,116,,,
A3,SA,6540,167,466,BACPIL,1,0,,,,131.2,1.92,2,,,,,,NEW SA
A3,SA,6541,162,110,BACPIL,1,0,,,,130.5,0.94,4,,,,,,NEW SA
A4,SA,6546,271,185,CEACUN,1,0,,,,88.8,0.59,4,,,,,,NEW SA
A4,SA,6078,,,UMBCAL,1,0,,,,194.9,1.49,5,,,,,,BD OF BSPRT
A4,SA,6542,288,330,CEACUN,1,0,,,,110,0.54,8,,,,,,NEW SA
A4,SA,6547,201,155,CEACUN,1,0,,,,59.5,0.5,4,,,,,,NEW SA
B4,SA,6092,,,BACPIL,1,0,,,,195.5,2.22,4,,,,,,
B4,SA,6543,200,90,UMBCAL,1,0,,,,61.6,0.46,0,,,,,,NEW SA
B4,TR,6079,,,QUEKEL,0,0,0,0,0,,,,,,,,,
B4,TR,6548,225,190,QUEAGR,0,1,0,0,0,,,,,174.6,13,,,OG DEAD TREE
B4,SA,6576,240,300,BACPIL,1,0,,,,111.8,1.18,0,,,,,,NEW SA
B4,SA,6544,290,300,CEACUN,1,0,,,,58,0.43,5,,,,,,NEW SA
B4,SA,6549,472,100,UMBCAL,1,0,,,,73,0.69,4,,,,,1,OG DEAD/ TOO SHORT FOR BD/BDBSPRT/SOD
B4,SA,6577,220,420,CEACUN,1,0,,,,55,0.34,0,,,,,,NEW SA
B4,SA,6550,480,460,SAMNIG,1,0,,,,98.1,0.94,1,,,,,,NEW SA
B3,SA,6222,,,BACPIL,1,0,,,,121.5,1.72,4,,,,,,
B3,TR,6221,,,UMBCAL,0,1,0,0,0,,,,,208.2,22,,,
