Plot ID,1335,,Sampler(s),"MO, MF",,,,,Date ,20190712,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
A1,TR,2544,,,QUEGAR,0,0,0,0,0,,,,28,,,,,
A1,SA,5722,,,UMBCAL,1,0,,,,58.2,0.47,0,,,,,,BD OF BSPRT
A1,SA,5723,,,UMBCAL,1,1,,,,63.1,0.59,1,,,,,,BD OF BSPRT
B1,TR,2571,,,QUEGAR,1,1,0,1,4,,,,29.6,,0,,,
B1,SA,5738,,,UMBCAL,1,0,,,,54.7,0.47,1,,,,,,BD OF BSPRT
B1,SA,2573,,,UMBCAL,1,0,,,,53.6,0.53,1,,,,,,BD OF BSPRT
B1,SA,5736,,,UMBCAL,1,0,,,,53.6,0.51,1,,,,,,BD OF BSPRT
B1,SA,5761,,,UMBCAL,1,0,,,,39.1,0.35,,,,,,,BD OF BSPRT
B1,SA,5773,,,UMBCAL,1,0,,,,44.7,0.43,,,,,,,BD OF BSPRT
B1,SA,2570,,,UMBCAL,1,0,,,,78.8,0.58,3,,,,,,BD OF BSPRT
B1,SA,6412,30,239,UMBCAL,1,0,,,,55,0.65,,,,,,,OG DEAD/ NEW SA
B1,SA,6411,35,39,UMBCAL,1,0,,,,54.5,0.38,,,,,,,OG DEAD/ NEW SA
C1,TR,2577,,,QUEGAR,1,0,1,1,5,,,,32.8,,,,,
C1,TR,2578,,,QUEGAR,1,0,1,1,4,,,,28.1,,,,,
C1,SA,5778,,,UMBCAL,1,0,,,,39.3,0.3,,,,,,,BDSPRT = .3/ OG DEAD BD-.43
C1,SA,5777,,,UMBCAL,1,0,,,,37,0.32,,,,,,,BD OF BSPRT
C1,SA,5776,,,UMBCAL,1,0,,,,45.2,0.39,,,,,,,BD OF BSPRT
C1,SA,2574,,,UMBCAL,1,0,,,,78.2,0.57,0,,,,,,BD OF BSPRT
C1,SA,5779,,,UMBCAL,1,0,,,,40.6,0.43,,,,,,1,BD OF BSPRT
C1,SA,5774,,,UMBCAL,1,0,,,,45,0.53,,,,,,,BD OF BSPRT
C1,SA,5764,,,UMBCAL,1,0,,,,36.5,0.4,,,,,,,BD OF BSPRT
C1,SA,5775,,,UMBCAL,1,0,,,,45.3,0.49,,,,,,,BD OF BSPRT
C1,SA,2579,,,UMBCAL,1,0,,,,43.7,0.27,,,,,,,BD OF BSPRT
C1,SA,2575,,,UMBCAL,0,0,,,,,NA,,,,,,,changed from 2525 mkqc2022
C1,SA,2572,,,UMBCAL,0,0,,,,,NA,,,,,,,TAG NOT FOUND
C1,SA,6430,187,325,UMBCAL,1,0,,,,52.5,0.45,3,,,,,,NEW SA
C1,SA,6431,85,318,UMBCAL,1,0,,,,51.1,0.44,1,,,,,,NEW SA
D1,SA,5771,,,UMBCAL,1,0,,,,56.4,0.43,1,,,,,,BD OF BSPRT
D1,TR,2590,,,AESCAL,1,0,0,1,4,,,,14.4,,,,,
D1,TR,2590.1,,,AESCAL,1,1,0,1,3,,,,14.8,,0,,,
D1,SA,5765,,,UMBCAL,1,0,,,,25,0.26,,,,,,1,BD OF BSPRT
D1,TR,2591,,,QUEGAR,1,0,0,1,5,,,,33.5,,,,,
D1,SA,5767,,,UMBCAL,1,0,,,,49.2,0.63,,,,,,,BD OF BSPRT
D1,SA,5766,,,UMBCAL,1,0,,,,32.2,0.21,,,,,,1,BD OF BSPRT
D1,SA,5768,,,UMBCAL,1,0,,,,75.6,0.6,3,,,,,,BD OF BSPRT
D1,SA,5769,,,UMBCAL,1,0,,,,44,0.59,0,,,,,,EPICORMIC-LIKE GROWTH
D1,SA,5770,,,UMBCAL,1,0,,,,25,0.31,,,,,,,BD OF BSPRT
D1,TR,2592,,,QUEGAR,1,1,1,1,2,,,,29.2,,0,,,was typo 3592- changed in mkqc2022
D1,SA,5756,,,UMBCAL,1,0,,,,35.8,0.51,,,,,,,BD OF BSPRT
D2,TR,2589,,,AESCAL,1,0,1,1,4,,,,21.3,,,,,
D2,TR,2589.1,,,AESCAL,1,1,1,1,3,,,,15.9,,0,,,BSPRT SENESEED
D2,SA,5753,,,UMBCAL,1,0,,,,93.1,0.74,2,,,,,1,BD OF BSPRT
D2,SA,5754,,,UMBCAL,1,0,,,,37.6,0.32,,,,,,,BD OF BSPRT
D2,SA,5755,,,UMBCAL,1,0,,,,64.5,0.75,1,,,,,,BD OF BSPRT
D2,SA,2588,,,UMBCAL,1,0,,,,65.8,0.81,2,,,,,1,
C2,SA,5758,,,UMBCAL,1,0,,,,50,0.43,1,,,,,1,BD OF BSPRT
C2,SA,5757,,,UMBCAL,1,0,,,,45.8,0.48,,,,,,,BD OF BSPRT
C2,SA,5759,,,UMBCAL,1,0,,,,53.5,0.67,1,,,,,,BD OF BSPRT
C2,SA,5760,,,UMBCAL,1,0,,,,48.5,0.44,,,,,,,BD OF BSPRT
C2,SA,5762,,,UMBCAL,1,0,,,,51.5,0.48,2,,,,,,BD OF BSPRT
C2,SA,5763,,,UMBCAL,1,0,,,,51.1,0.4,1,,,,,,BD OF BSPRT
B2,SA,5737,,,UMBCAL,1,0,,,,45.5,0.41,,,,,,,BD OF BSPRT
B2,SA,5733,,,UMBCAL,1,1,,,,43.3,0.88,1,,39.1,0,,,
B2,SA,5732,,,UMBCAL,1,0,,,,55.1,0.59,3,,,,,,BD OF BSPRT
B2,SA,5734,,,UMBCAL,1,0,,,,46,0.52,,,,,,1,BD OF BSPRT
B2,SA,6432,325,,UMBCAL,0,1,,,,,0.93,,,59.6,2,,,OG DEAD/ NEW SA/ BD BSPRT = {?ILLEGIBLE SCAN}
B2,TR,2569,,,QUEGAR,1,0,1,1,5,,,,48.9,,,,,
A2,SA,5725,,,UMBCAL,1,0,,,,50.5,0.42,1,,,,,,BD OF BSPRT
A2,SA,5724,,,UMBCAL,1,0,,,,30.6,0.39,,,,,,,BD OF BSPRT
A2,SA,5726,,,UMBCAL,1,0,,,,46,0.48,,,,,,,BD OF BSPRT
A2,SA,5727,,,UMBCAL,1,0,,,,47.2,0.4,,,,,,1,BD OF BSPRT
