Plot ID,1305,,Sampler(s),"MO, JB",,,,,Date ,20190715,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
A1,TR,1047,,,HETARB,0,1,0,0,0,,,,,264,52,,,
A1,TR,1047.1,,,HETARB,0,0,0,0,0,,,,,,,,,
A1,TS,1047.2,,,HETARB,0,0,0,0,0,,,,,,,,,
A2,TR,1048,,,UMBCAL,0,1,0,0,0,,,,14.6,240.1,18,,1,
A2,TR,1050,,,UMBCAL,0,1,0,0,0,,,,20.5,301.5,11,,1,
A2,TR,1050.1,,,UMBCAL,0,0,0,0,0,,,,18,,,,,
A2,TR,1050.2,,,UMBCAL,0,1,0,0,0,,,,,117.6,7,,,
A2,TR,1050.3,,,UMBCAL,0,1,0,0,0,,,,,260.7,10,,,
A2,TR,1052,,,HETARB,0,0,0,0,0,,,,,,,,,
A2,TR,1052.1,,,HETARB,0,1,0,0,0,,,,,161.2,18,,,
A2,TR,1052.2,,,HETARB,0,0,0,0,0,,,,,,,,,
A2,TR,1052.3,,,HETARB,0,1,0,0,0,,,,,222.1,14,,,
A3,TR,1053,,,QUEAGR,1,0,1,1,4,,,,48.7,,,,,
A3,TR,1054,,,HETARB,0,1,0,0,0,,,,,203.5,5,,,
A3,TR,1054.1,,,HETARB,0,0,0,0,0,,,,,,,,,
A3,TR,1054.2,,,HETARB,0,0,0,0,0,,,,,,,,,
A3,TR,1054.3,,,HETARB,0,1,0,0,0,,,,,170.2,11,,,
A4,TR,1055,,,UMBCAL,1,1,1,1,3,,,,33.4,176,9,,,
A4,TR,1055.1,,,UMBCAL,0,1,0,0,0,,,,,152.2,4,,,
A4,TR,1055.2,,,UMBCAL,0,1,0,0,0,,,,,180.6,4,,,
A4,TR,1055.3,,,UMBCAL,0,1,0,0,0,,,,,188.4,3,,,
A4,TR,1055.5,,,UMBCAL,0,0,0,0,0,,,,,,,,,
A4,SA,5828,380,30,UMBCAL,0,1,,,,,0.4,0,,48.9,,,,BD OF BSPROUT
B4,SA,1057,,,UMBCAL,0,1,,,,,0.52,0,,42.3,,,,BD OF BSPROUT
B4,SA,1058,,,QUEAGR,0,0,,,,,,,,,,1,,
B3,TR,1060,,,UMBCAL,0,1,0,0,0,,,,,126.3,4,,,
B3,TR,1059,,,QUEAGR,1,0,1,1,4,,,,28.7,,,,,
B3,TR,1062,,,QUEAGR,0,0,0,0,0,,,,,,,,,TAG NOT FOUND
B3,TR,1066,,,UMBCAL,0,0,0,0,0,,,,,,,,,
B2,TR,1065,,,UMBCAL,0,0,0,0,0,,,,15.4,,,,,TAG NOT FOUND
B2,TR,1065.1,,,UMBCAL,0,1,0,0,0,,,,,116.8,2,,,
B2,TR,1065.2,,,UMBCAL,0,0,0,0,0,,,,,,,,,
B2,TR,1065.3,,,UMBCAL,0,0,0,0,0,,,,12.8,,,,,
B2,TR,1065.4,,,UMBCAL,0,1,0,0,0,,,,,251,4,,,
B2,TR,1068,,,UMBCAL,0,1,0,0,0,,,,17.8,130.5,2,,,
B2,TR,1068.1,,,UMBCAL,0,0,0,0,0,,,,,,,,,
B2,TR,1067,,,UMBCAL,0,1,0,0,0,,,,,186.3,8,,,TAG CONFIRMED
B2,TR,1067.1,,,UMBCAL,0,1,0,0,0,,,,,143.4,1,,,
B2,TR,1067.2,,,UMBCAL,0,0,0,0,0,,,,,,,,,
B2,TR,1067.3,,,UMBCAL,0,0,0,0,0,,,,,,,,,
B1,TR,1069,,,UMBCAL,0,1,0,0,0,,,,,272.5,22,,,
B1,TR,1069.1,,,UMBCAL,0,1,0,0,0,,,,,82.9,5,,,
B1,TR,1069.2,,,UMBCAL,0,1,0,0,0,,,,,109.1,13,,,
B1,TR,1069.3,,,UMBCAL,0,1,0,0,0,,,,,163,6,,,
B1,TR,1070,,,UMBCAL,0,1,0,0,0,,,,,243.7,17,,,
B1,TR,1072,,,UMBCAL,0,0,0,0,0,,,,,,,1,,
C1,TR,1075,,,QUEAGR,1,0,1,1,4,,,,53.4,,,,,
C1,SA,5874,,,UMBCAL,1,0,,,,53.2,0.67,4,,,,,,BD OF BSPROUT
C1,SA,1079,,,UMBCAL,1,0,,,,65.7,0.6,1,,,,,,BD OF BSPROUT
C1,SA,1080,,,UMBCAL,0,0,,,,,,,,,,1,,
C1,SA,5873,,,UMBCAL,0,1,,,,,0.5,0,,23.5,,,,"BD OIF BSPROUT, OG DEAD"
C1,SA,1083,,,ARBMEN,0,0,,,,,,,,,,,,
C1,SA,1074,,,UMBCAL,0,0,,,,,,,,,,,,
C2,TR,1084,,,QUEAGR,1,0,1,1,4,,,,35.6,,,,,
C3,SA,5875,,,UMBCAL,1,0,,,,64.9,0.66,0,,,,,,
C3,TR,1085,,,QUEAGR,0,1,0,0,0,,,,,108.5,4,,,
C4,TR,1086,,,QUEAGR,0,1,0,0,0,,,,,92.4,6,,,
C4,SA,5876,,,UMBCAL,1,0,,,,78.3,0.98,0,,,,,,
C4,SA,1088,,,QUEAGR,0,0,,,,,,,,,,1,,
C4,TR,1093,,,QUEAGR,0,0,0,0,0,,,,,,,,,
C4,SA,1089,,,UMBCAL,1,0,,,,154.6,1.11,0,,,,,,BD OF BSPROUT
C4,SA,1090,,,UMBCAL,1,0,,,,51.7,0.84,1,,,,,,BD OF BSPROUT
C4,SA,1091,,,UMBCAL,0,0,,,,,,,,,,,,
C4,SA,1087,,,UMBCAL,0,0,,,,,,,,,,,,TAG NOT FOUND
D4,TR,1095,,,QUEAGR,0,1,0,0,0,,,,,80.9,4,,,
D4,TR,1199,,,UMBCAL,0,1,0,0,0,,,,,60.8,3,,,
D4,SA,1098,,,UMBCAL,0,0,,,,,,,,,,1,,
D4,SA,1099,,,UMBCAL,0,0,,,,,,,,,,1,,
D4,SA,5877,,,UMBCAL,0,1,,,,,0.2,0,,26.4,,,,BD OF BSPROUT
D4,TR,1197,,,QUEAGR,0,0,0,0,0,,,,,,,,,HAS DEAD BSPROUT
D4,TR,1100,,,QUEAGR,0,1,0,0,0,,,,,71.9,2,,,
D4,SA,1198,,,QUEAGR,0,1,,,,,0.72,0,,43,,,,"BD OF BSPROUT, 2018 SPECIES INCORRECT"
