Plot ID,1328,,Sampler(s),"MO, GH, TT, MK",,,,,Date ,20190722,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
A1,TR,4617,,,PSEMEN,1,0,0,1,3,,,,5.3,,,,,
A1,TR,4625,,,PSEMEN,0,0,0,0,0,,,,NA,,,,,
A1,TR,4629,,,QUEAGRI,1,1,1,1,4,,,,19.3,NA,0,,,
A1,TR,4628,,,QUEAGRI,0,1,0,0,0,,,,NA,NA,0,,,
A1,TR,4645,,,QUEAGRI,0,1,0,0,0,,,,NA,NA,0,,,
A1,TR,4673,,,QUEAGRI,1,1,1,0,1,,,,12.5,NA,0,,,
A1,TR,4672,,,QUEAGRI,1,0,1,0,1,,,,18,,,,,
A1,TR,4670,,,QUEAGRI,1,0,1,0,1,,,,10.2,,,,,
A1,TS,4681,,,QUEAGRI,0,0,,,,NA,NA,,,,,,,confirmed that no measuremnets recorded ( dead in 2018 so changing from 0/1 to 0/0- mkqc2023)
A1,TR,4671,,,QUEAGRI,1,1,1,0,2,,,,12.5,,,,,no basal data recorded (in 18 either…weird)
A1,TR,4668,,,QUEAGRI,0,0,0,0,0,,,,10,,,,,
A1,TR,4667,,,QUEAGRI,1,0,1,1,4,,,,12.8,,,,,
A1,SA,4623,,,ARBMEN,1,0,,,,63.2,0.52,0,,,,,,BD OF BSPT
A1,TR,4669,,,QUEAGRI,0,0,0,0,0,,,,NA,,,1,,ON GROUND
A1,TR,4666,,,QUEAGRI,0,1,0,0,0,,,,7.4,NA,0,,,
A1,SA,4680,,,QUEAGRI,0,0,,,,NA,NA,NA,,,,1,,
A1,SA,4619,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
A1,SA,4620,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
A1,SA,4627,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
A1,SA,4639,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
A1,SA,4624,,,QUEAGRI,0,0,,,,NA,NA,NA,,,,1,,
B1,TR,4865,,,FRACAL,0,1,0,0,0,,,,NA,121.4,10,,,
B1,TS,4865.1,,,FRACAL,0,0,,,,NA,NA,NA,,,,1,,
B1,TR,4865.2,,,FRACAL,0,0,0,0,0,,,,NA,,,1,,
B1,TR,4870,,,QUEAGRI,1,0,1,1,3,,,,14,,,,,
B1,TR,4867,,,QUEAGRI,0,0,0,0,0,,,,NA,,,,,
B1,TR,4868,,,QUEAGRI,1,0,1,0,1,,,,6.6,,,,,
B1,TR,4869,,,QUEAGRI,0,0,0,0,0,,,,11.1,,,,,
B1,TR,4866,,,UMBCAL,0,1,0,0,0,,,,NA,162.4,4,,,
B1,TR,4872,,,QUEAGRI,1,1,1,1,3,,,,32.2,NA,0,,,
B1,TS,5849,,,QUEAGRI,1,0,,,,52,0.41,,,,,,,BD OF BSPT
B1,TR,4871,,,QUEAGRI,1,0,1,1,4,,,,27,,,,,
B1,TR,4873,,,QUEAGRI,1,1,1,1,1,,,,1.58,NA,0,,,
B1,TR,4874,,,QUEAGRI,0,0,0,0,0,,,,NA,,,1,,
B1,SA,4859,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
B1,SA,4860,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
B1,SA,4861,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
B1,SA,4862,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
B1,SA,4863,,,QUEAGRI,0,0,,,,NA,NA,NA,,,,1,,was psemen- changed to match 2013 db- mkqc2022
B1,SA,4876,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
C1,TR,4878,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,
C1,TR,4879,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,
C1,TR,4877,,,QUEAGRI,0,0,0,0,0,,,,NA,,,,,
C1,TR,4877.1,,,QUEAGRI,0,0,0,0,0,,,,NA,,,1,,
D1,TR,4977,,,QUEAGRI,1,0,1,1,4,,,,32.7,,,,,
D1,TR,4984,,,QUEAGRI,1,0,1,1,3,,,,26.7,,,,,
D1,TR,4978,,,QUEAGRI,1,0,1,1,3,,,,11.4,,,,,
D1,TR,4960,,,FRACAL,0,0,0,0,0,,,,NA,,,1,,
D1,TR,4976,,,QUEAGRI,1,0,1,0,1,,,,10.7,,,,,
D1,SA,4975,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
D1,SA,4959,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
D1,TR,4985,,,QUEAGRI,1,0,1,1,3,,,,21.3,,,,,
D1,SA,5883,,,FRACAL,1,0,,,,21.1,0.2,NA,,,,,,BD OF BSPT 
C2,SA,4880,,,ARBMEN,0,0,,,,NA,NA,NA,,,,1,,
D2,SA,4961,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,deleted an identical dup- sme quad that also said tag pulled- could be someone else but its dead and will never be found if tag was pulled - mkqc2022
D2,SA,4966,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
D2,TR,4979,,,QUEAGRI,1,1,1,0,1,,,,8.5,1,0,,,
D2,TR,4980,,,QUEAGRI,1,0,1,0,1,,,,10.6,,,,,
D2,TR,4981,,,QUEAGRI,1,1,1,1,4,,,,19.8,1,0,,,
D2,TS,5057,,,QUEAGRI,1,0,,,,47.6,0.55,,,,,,,
D2,SA,5797,,,QUEAGRI,1,0,,,,NA,0.28,NA,,17.5,0,,,BDBSPT
D2,SA,5058,,,UMBCAL,1,0,,,,114.7,0.67,2,,,,,,BDBSPT
D2,TR,4971,,,UMBCAL,0,1,0,0,0,,,,,127.6,16,,,
D2,TR,4971.1,,,UMBCAL,0,0,0,0,0,,,,,,,1,,
D2,TR,4971.2,,,UMBCAL,0,0,0,0,0,,,,,,,1,,
D2,SA,4970,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
D2,SA,4964,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
D2,TR,4982,,,QUEAGRI,1,0,1,0,2,,,,11.8,,,,,
D2,SA,4962,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
