Plot ID,PPW1854,,Sampler(s),"MO, GH, MK",,,,,Date ,20190726,,,,,,,,,
Notes,PLOT ID TRANSCRIBED ON ORIGAL DATA SHEET AS 1354/ BAY JUV A4 NOTE CIRCLED AT  TOP OF ORIGINAL DATA SHEET P. 2 OF 3- entered into seju..,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
A4,TR,6062,115,230,QUEAGRI,1,1,1,0,1,,,,28.8,66.4,4,,,poop
A4,TR,6061,130,200,QUEAGRI,1,0,1,0,1,,,,36.9,,,,,
A4,TR,6063,240,460,UMBCAL,0,1,0,0,0,,,,NA,293.5,10,,,NO SOD
A4,TR,6064,450,495,QUEAGRI,0,1,0,0,0,,,,NA,134,14,,,was typo 6084- mkqc 2022
A4,TR,6060,370,35,ARBMEN,0,1,0,0,0,,,,NA,267.2,25,,,
B4,TR,6068,245,20,QUEAGRI,0,1,0,0,0,,,,NA,97.5,14,,,
B4,TR,6067,,,UMBCAL,0,1,0,0,0,,,,NA,256,22,,1,
B4,SA,6065,,,TORCAL,1,0,,,,68.5,0.63,19,,,,,,BD OF BSPRT
B4,TR,6070,,,QUEAGRI,0,1,0,0,0,,,,NA,128,4,,,
B4,TR,6070.1,,,QUEAGRI,0,0,0,0,0,,,,NA,,,,,
B4,SA,6069,,,QUEAGRI,1,0,,,,61.1,0.42,0,,,,,,BD OF BSPRT
B4,SA,6066,,,TORCAL,0,1,,,,0.36,,,,35.8,0,,,BD OF BSPRT
C4,TR,6071,,,UMBCAL,0,1,0,0,0,,,,NA,271,15,,,
D3,TR,6073,,,UMBCAL,0,1,0,0,0,,,,NA,368.9,41,,,
D3,TR,6074,,,UMBCAL,0,1,0,0,0,,,,NA,309.8,17,,,
D3,TR,6075,,,CORCOR,0,1,0,0,0,,,,NA,174.5,30,,,TR NOT SA/ OG GONE
D3,SA,6072,,,UMBCAL,1,0,,,,144.2,1.01,5,,,,,,BD OF BSPRT
D3,SA,6512,15,300,UMBCAL,1,0,,,,58,0.49,3,,,,,,NEW SA
D3,SA,6513,35,350,BACPIL,1,0,,,,80.6,0.86,4,,,,,,NEW SA
C3,TR,6091,,,UMBCAL,0,1,0,0,0,,,,NA,188,4,,,
C3,TR,6089,,,UMBCAL,0,1,0,0,0,,,,NA,379.3,33,,,
C3,TR,6089.1,,,UMBCAL,0,1,0,0,0,,,,NA,381.1,28,,,
C3,TR,6089.2,,,UMBCAL,0,0,0,0,0,,,,NA,,,,,
C3,TR,6090,,,BACPIL,1,0,0,1,5,,2.95,,1.04,,,,,now a tree
B3,SA,6076,,,UMBCAL,1,0,,,,62.3,1.11,6,,,,,,NOW A TR
A3,SA,6086,,,BACPIL,1,0,,,,119.1,1.22,10,,,,,,BD OF BSPRT
B3,SA,6088,,,SAMNIG,1,0,,,,111,1,6,,,,,,
B3,SA,6087,,,BACPIL,1,0,,,,140.7,1.64,9,,,,,,
A3,TR,6085,,,QUEAGRI,0,0,0,0,0,,,,NA,,,,,
A3,TR,6085.1,,,QUEAGRI,0,0,0,0,0,,,,NA,,,,,
A3,SA,6514,260,145,QUEAGRI,1,0,,,,57.2,0.71,1,,,,,,NEW SA
A3,TR,6084,,,QUEAGRI,0,1,0,0,0,,,,NA,122.9,9,,,
A4,SA,6515,140,420,ARCMAN,1,0,,,,50.2,0.4,0,,,,,,NEW SA
A2,SA,6516,165,160,SAMNIG,1,0,,,,98.5,0.81,4,,,,,,NEW SA
A2,TR,6080,,,QUEAGRI,0,1,0,0,0,,,,NA,135.4,3,,,
