Plot ID,PPW1853,,Sampler(s),"MK, GO, GH, TT, MO",,,,,Date ,20910731/ 20190801/ 20190802,,,,,,,,,
Notes,CEACUN HELL    BA-SHAH-REE       THYRSY-BURSY!!!!     DAY...3....HERE......HAVNT LEFT...IN WEEKS....,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
A1,TR,6238,,,UMBCAL,0,1,0,0,0,,,,NA,326,21,,,
A1,TR,6238.1,,,UMBCAL,0,0,0,0,0,,,,NA,,,,,
A1,TR,6237,,,UMBCAL,0,1,0,0,0,,,,NA,385,20,,,
A1,TR,6237.1,,,UMBCAL,0,0,0,0,0,,,,NA,,,,,
A1,TR,6237.2,,,UMBCAL,0,0,0,0,0,,,,NA,,,,,
A1,TR,6237.3,,,UMBCAL,0,0,0,0,0,,,,NA,,,,,
A1,TR,6236,,,UMBCAL,0,1,0,0,0,,,,NA,355.1,26,,,
A1,TR,6236.1,,,UMBCAL,0,0,0,0,0,,,,NA,,,,,
A1,TR,6236.2,,,UMBCAL,0,0,0,0,0,,,,NA,,,,,
A1,SA,6592,125,355,CEACUN,1,0,,,,56.2,0.3,4,,,,,,
A1,SA,6593,35,355,BACPIL,1,0,,,,105,0.79,0,,,,,,
A1,SA,6594,85,295,CEACUN,1,0,,,,60.8,0.38,4,,,,,,
A1,SA,6595,425,70,CEACUN,1,0,,,,64.3,0.38,5,,,,,,was typo 9595
A2,SA,6239,,,BACPIL,1,0,,,,141.8,1.75,3,,,,,,
A2,SA,6596,50,75,CEACUN,1,0,,,,53.7,0.32,6,,,,,,
A2,SA,6597,40,85,CEACUN,1,0,,,,59.2,0.38,6,,,,,,
A2,SA,6598,26,73,CEACUN,1,0,,,,63,0.38,8,,,,,,
A2,SA,6599,156,388,BACPIL,1,0,,,,78.9,0.76,5,,,,,,
A2,SA,6600,166,405,CEACUN,1,0,,,,58.4,0.33,4,,,,,,
A2,SA,6271,,,CEATHY,1,0,,,,55.2,0.42,0,,,,,,
A2,SA,6562,375,130,CEACUN,1,0,,,,60,0.48,5,,,,,,
A2,SA,6618,420,440,CEACUN,1,0,,,,59.1,0.36,4,,,,,,
A2,SA,6563,330,80,BACPIL,1,0,,,,92.1,0.84,0,,,,,,
A2,SA,6619,420,360,CEACUN,1,0,,,,51.3,0.32,2,,,,,,
A2,SA,6564,380,2,BACPIL,1,0,,,,67.8,0.51,3,,,,,,
A2,SA,6620,400,345,BACPIL,1,0,,,,111.5,1.25,2,,,,,,
A2,SA,6565,325,110,CEACUN,1,0,,,,90.9,0.52,8,,,,,,
A2,SA,6566,315,185,BACPIL,1,0,,,,107.3,1.19,0,,,,,,
A2,SA,6621,400,330,CEACUN,1,0,,,,66.1,0.51,4,,,,,,
A2,SA,6622,375,335,CEACUN,1,0,,,,53.1,0.4,4,,,,,,
A2,SA,6567,200,337,CEACUN,1,0,,,,54.5,0.24,3,,,,,,
A2,SA,6623,295,330,CEACUN,1,0,,,,53.5,0.37,1,,,,,,
A2,SA,6624,425,315,CEACUN,1,0,,,,55.3,0.35,2,,,,,,
A2,SA,6568,410,280,CEACUN,1,0,,,,51.1,0.37,1,,,,,,
A2,SA,6625,75,35,CEACUN,1,0,,,,64.5,0.3,5,,,,,,
A2,SA,6626,415,5,CEACUN,1,1,,,,55.8,0.3,4,,,,,,
A2,SA,6627,475,275,CEACUN,0,0,,,,76.3,0.39,5,,,,,,
A3,TR,6240,,,UMBCAL,0,1,0,0,0,,,,NA,331.2,84,,,
A3,TR,6241,,,UMBCAL,0,1,0,0,0,,,,NA,411,25,,1,
A3,TR,6241.1,,,UMBCAL,0,1,0,0,0,,,,NA,415.1,62,,1,
A3,TR,6242,,,QUEKEL,0,1,0,0,0,,,,NA,188.6,9,,,CHANGE SP IN 18 DB- done
A3,SA,6256,,,CEATHY,1,0,,,,109.2,0.4,8,,,,,,
A3,SA,6270,,,CEATHY,1,0,,,,122.4,0.48,6,,,,,,
A3,SA,6628,160,370,BACPIL,1,0,,,,112.5,1.5,3,,,,,,
A3,SA,6629,60,350,CEACUN,1,0,,,,84.4,0.53,4,,,,,,
A3,SA,6569,220,440,CEATHY,1,0,,,,64.7,0.21,19,,,,,,
A3,SA,6630,340,80,CEACUN,1,0,,,,73.5,0.45,4,,,,,,changed from 6530 mkqc2022
A3,SA,6570,220,200,CEACUN,1,0,,,,63.5,0.41,7,,,,,,
A3,SA,6571,300,55,CEACUN,1,0,,,,50.8,0.32,1,,,,,,
A3,SA,6631,360,175,CEACUN,1,0,,,,58,0.29,4,,,,,,
A3,SA,6572,190,220,CEACUN,1,0,,,,56.1,0.4,13,,,,,,
A3,SA,6632,340,200,CEACUN,1,0,,,,55.2,0.46,6,,,,,,
A3,SA,6633,335,310,CEACUN,1,0,,,,71.4,0.4,5,,,,,,
A4,SA,6634,340,35,NOTDEN,1,0,,,,100.1,0.74,2,,,,,,
A4,SA,6573,420,195,CEACUN,1,0,,,,57.5,0.35,1,,,,,,
A4,SA,6574,390,255,CEACUN,1,0,,,,58.4,0.4,1,,,,,,
A4,SA,6243,147,143,BACPIL,1,0,,,,145.5,1.47,1,,,,,,
A4,SA,6575,360,290,CEACUN,1,0,,,,60.6,0.3,3,,,,,,
A4,SA,6635,67,183,CEACUN,1,0,,,,57.2,0.46,10,,,,,,
A4,SA,6636,87,198,CEACUN,1,0,,,,63,0.57,8,,,,,,
A4,SA,6674,375,415,CEACUN,1,0,,,,59.9,0.46,1,,,,,,
A4,SA,6675,360,485,CEACUN,1,0,,,,70.8,0.44,6,,,,,,
A4,SA,6637,52,238,BACPIL,1,0,,,,94.3,1.25,6,,,,,,
A4,SA,6676,175,420,CEACUN,1,0,,,,63,0.34,2,,,,,,
A4,SA,6638,67,98,CEACUN,1,0,,,,53.5,0.32,3,,,,,,
A4,SA,6677,180,296,CEACUN,1,0,,,,57.5,0.5,9,,,,,,
A4,SA,6678,222,236,CEACUN,1,0,,,,60,0.38,6,,,,,,
A4,SA,6639,197,178,CEACUN,1,0,,,,53.6,0.34,9,,,,,,
A4,SA,6679,180,266,BACPIL,1,0,,,,130.4,1.04,2,,,,,,
A4,SA,6640,252,100,CEACUN,1,0,,,,50.4,0.32,5,,,,,,
A4,SA,6680,305,105,BACPIL,1,0,,,,60.2,0.5,0,,,,,,
B4,TR,6255,170,424,UMBCAL,0,1,0,0,0,,,,NA,332.1,26,,,
B4,TR,6255.1,170,424,UMBCAL,0,1,0,0,0,,,,NA,339.2,20,,,
B4,TR,6254,,,ARBMEN,0,1,0,0,0,,,,NA,259.5,17,,,
B4,TR,6254.1,,,ARBMEN,0,0,0,0,0,,,,NA,,,,,
B4,TR,6254.2,,,ARBMEN,0,0,0,0,0,,,,NA,,,,,
B4,TR,6269,,,ARBMEN,0,1,0,0,0,,,,NA,287.3,15,,,
B4,TR,6269.1,,,ARBMEN,0,0,0,0,0,,,,NA,,,,,
B4,SA,6681,150,60,CEACUN,1,0,,,,54.1,0.39,2,,,,,,
B4,SA,6682,235,75,CEACUN,1,0,,,,54.9,0.6,6,,,,,,
B4,SA,6683,265,75,CEACUN,1,0,,,,55.6,0.41,4,,,,,,
A4,SA,6641,499,161,CEACUN,1,0,,,,62.5,0.29,7,,,,,,
B4,SA,6642,10,465,CEACUN,1,0,,,,56.6,0.26,0,,,,,,
B3,SA,6684,240,495,CEACUN,1,0,,,,56.4,0.28,4,,,,,,
B3,SA,6685,270,450,CEACUN,1,0,,,,78.2,0.63,4,,,,,,
B4,SA,6643,12,424,BACPIL,1,0,,,,73,0.38,1,,,,,,
B3,SA,6686,210,470,CEACUN,1,0,,,,62.8,0.42,2,,,,,,
B3,SA,6644,499,440,BACPIL,1,0,,,,104.9,1.16,2,,,,,,
B3,SA,6687,245,330,CEACUN,1,0,,,,55,0.27,6,,,,,,
B3,SA,6645,479,421,BACPIL,1,0,,,,85.2,0.75,5,,,,,,
B3,SA,6688,180,230,CEACUN,1,0,,,,57.4,0.32,1,,,,,,
B3,SA,6689,175,230,CEACUN,1,0,,,,52.3,0.27,4,,,,,,
B3,SA,6646,499,415,CEACUN,1,0,,,,51.5,0.28,3,,,,,,
B3,SA,6690,90,135,CEACUN,1,0,,,,68.8,0.57,1,,,,,,
B3,SA,6691,25,155,CEACUN,1,0,,,,67.3,0.37,1,,,,,,
B3,SA,6692,1,190,CEACUN,1,0,,,,66.5,0.33,4,,,,,,
B3,SA,6647,350,350,CEACUN,1,0,,,,59.9,0.33,6,,,,,,
B3,SA,6648,400,310,CEACUN,1,0,,,,76.1,0.18,10,,,,,,
B3,SA,6649,370,310,CEACUN,1,0,,,,73.2,0.63,7,,,,,,
B3,SA,6693,5,170,CEACUN,1,0,,,,73,0.43,6,,,,,,
B3,SA,6650,450,370,CEACUN,1,0,,,,62.2,0.39,14,,,,,,
B3,SA,6694,165,175,CEACUN,1,0,,,,59.2,0.36,3,,,,,,
B3,SA,6695,170,115,CEACUN,1,0,,,,62.2,0.32,4,,,,,,
B3,SA,6651,210,1,CEACUN,1,0,,,,52.1,0.46,15,,,,,,
B3,SA,6696,195,110,CEACUN,1,0,,,,53,0.39,4,,,,,,
B3,SA,6697,170,110,CEACUN,1,0,,,,54.9,0.32,5,,,,,,
B3,SA,6652,240,31,CEACUN,1,0,,,,57.7,0.3,8,,,,,,
B3,SA,6653,350,1,CEACUN,1,0,,,,61.5,0.35,6,,,,,,
B3,SA,6698,15,65,CEACUN,1,0,,,,54,0.48,4,,,,,,
B3,SA,6699,20,30,CEACUN,1,0,,,,57.2,0.33,1,,,,,,
B3,SA,6654,350,40,CEACUN,1,0,,,,67,0.42,7,,,,,,
B3,SA,6700,485,190,BACPIL,1,0,,,,59.5,0.94,3,,,,,,
B3,SA,6667,490,50,BACPIL,1,0,,,,111.3,1.42,0,,,,,,
B3,SA,6655,355,30,CEACUN,1,0,,,,62.7,0.3,0,,,,,,
