Plot ID,PPW1350,,,,Sampler(s),"MK, MO, CVH/ MO, MK, CVH, GH",,,,,Date ,20190809/ 20190812,,,,,,,
Notes,"4176 NOT FOUND IN '18, NEW TAG MADE & PUT ON UMBCAL OUTSIDE LINE. 2019 PULLED DUPLICATE- REPLACE 2018 DATA WITH OG/ 4094.0 & 4094.1 NOT FOUND",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Height,BD,,,Height ,Count >50,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
A4,TR,4179,,,PSEMEN,1,0,0,1,4,,,,42.3,,,,,
A4,TR,4155,,,PSEMEN,1,0,0,1,4,,,,53.3,,,,,
A4,TR,4192,,,PSEMEN,1,0,0,1,4,,,,32,,,,,
A4,TR,4193,,,PSEMEN,1,0,0,1,4,,,,39.4,,,,,
A4,TR,4199,,,HETARB,0,1,0,0,0,,,,,187.25,28,,,
A4,TR,4199.1,,,HETARB,0,0,0,0,0,,,,,,,1,,
A4,TR,4199.2,,,HETARB,0,0,0,0,0,,,,,,,1,,
A4,TS,4199.3,,,HETARB,0,0,,,,,,,,,,,,
A4,TR,4186,,,PSEMEN,0,0,0,0,0,,,,,,,1,,
A3,SA,4181,,,HETARB,0,1,,,,,,,,51,2,,,*NEEDS NEW TAG (MONDAY)
A3,SA,4181.1,,,HETARB,0,0,,,,,,,,,,1,,
A3,SA,4181.2,,,HETARB,0,0,,,,,,,,,,1,,
A4,SA,4198,,,HETARB,0,1,,,,,,,,98.6,8,,,
A3,SA,4198.1,,,HETARB,0,0,,,,,,,,,,1,,
A3,SA,4198.2,,,HETARB,0,0,,,,,,,,,,1,,
A3,TR,4185,,,PSEMEN,0,0,0,0,0,,,,,,,,,
A3,TR,4197,,,PSEMEN,1,0,0,1,3,,,,13.3,,,,,
A3,SA,4187,,,UMBCAL,0,1,,,,48.2,0.43,2,,,,,,BD OF BSPRT
A3,TR,4168,,,QUEKEL,1,0,1,0,,,,,17.5,,,,,
A3,TR,4168.2,,,QUEKEL,0,0,0,0,0,,,,,,,,,NO TAG
A3,TR,4178,,,PSEMEN,1,0,0,1,3,,,,19.4,184.1,35,,,
B4,TR,4088,,,HETARB,0,1,0,0,0,,,,,,,1,,
B4,TR,4088.1,,,HETARB,0,0,0,0,0,,,,,170.3,3,,,MOVING TAG TO BSPRT
B4,TR,4088.2,,,HETARB,0,1,0,0,0,,,,,,,,,
B3,TR,4090,,,QUEKEL,1,1,1,1,4,,,,21,NA,0,,,
B3,TR,4089,,,QUEKEL,1,1,1,1,4,,,,15,NA,0,,,
B3,TR,4093,,,PSEMEN,1,0,0,1,3,,,,13.1,,,,,
B3,TR,4092,,,PSEMEN,1,0,0,0,3,,,,19.5,,,,,
D4,TR,4290,,,PSEMEN,1,0,0,1,3,,,,29.7,,,,,
D4,TR,4289,,,HETARB,0,1,0,0,0,,,,NA,169.8,14,,,was typo 4298- mkqc2022
D4,TR,4289.1,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
D4,TR,4289.2,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
D4,TR,4289.3,,,HETARB,0,1,0,0,0,,,,NA,139.1,12,,,
D4,TR,4289.4,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
D4,TR,4289.5,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
D4,TR,4289.6,,,HETARB,0,1,0,0,0,,,,NA,124.7,14,,,
D4,TR,4289.7,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
D4,TR,4289.8,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
D4,TR,4289.9,,,HETARB,0,1,0,0,0,,,,NA,145.4,2,,,
D4,TR,4289.11,,,HETARB,0,1,0,0,0,,,,NA,166,6,,,TAG SAYS 10
D4,TR,4291,,,HETARB,0,1,0,0,0,,,,NA,130.2,14,,,
D4,TR,4291.1,,,HETARB,0,0,0,0,0,,,,3.71,,,1,,
D4,TR,4291.2,,,HETARB,0,1,0,0,0,,,,NA,160.6,15,,,
D4,TR,4291.3,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
D4,TS,4291.4,,,HETARB,0,1,,,,NA,NA,NA,,142.3,11,,,
D4,TR,4297,,,QUEGAR,1,1,1,1,4,,,,20.8,84.9,21,,,
