Plot ID,1347,,Sampler(s),"MO, GH",,,,,Date ,20190805,,,,,,,,,
Notes,"PAGES 6- 8   SAMPLERS: MK, MO, TT, CVH    DATE: 20190806",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
A1,TR,2938,,,QUEGAR,1,1,1,1,4,,,,27,NA,0,,,
A1,SA,2934,,,UMBCAL,1,0,,,,220.5,1.36,0,,,,,1,
A1,TR,2935,,,UMBCAL,1,0,0,1,5,,,,2.8,,,,1,
A1,SA,6140,,,AMOCAL,1,0,,,,159.3,0.82,8,,,,,,
A1,TR,2931,,,UMBCAL,1,0,0,1,5,,,,1.39,,,,1,
A1,TR,2930,,,UMBCAL,1,0,0,1,4,,,,9.6,,,,1,
A1,TR,2936,,,UMBCAL,1,0,0,1,5,,,,1.34,,,,1,
A1,SA,2929,,,UMBCAL,1,0,,,,170.6,1.49,1,,,,,1,
A1,SA,2939,,,UMBCAL,1,0,,,,132.4,0.8,3,,,,,1,
A1,SA,2933,,,UMBCAL,1,0,,,,160.7,1.11,1,,,,,1,
A1,SA,2932,,,QUEAGRI,0,0,,,,NA,NA,NA,,,,1,,
A1,TR,2937,,,AMOCAL,0,0,0,0,0,,,,NA,,,,,TAG NOT FOUND- was typo 2937-changed in mkqc2022
A2,SA,2940,,,UMBCAL,1,0,,,,86.2,1.28,0,,,,,1,
A2,TR,2941,,,UMBCAL,1,0,0,1,4,,,,4.24,,,,1,
A2,TR,2941.1,,,UMBCAL,1,0,0,1,5,,,,1.47,,,,1,
A2,TR,6142,,,AMOCAL,1,0,0,1,4,,,,1.25,,,,,
A3,TR,2942,,,QUEGAR,0,1,0,0,0,,,,NA,NA,0,,,changed from 2492 mkqc 2022
A3,SA,2943,,,UMBCAL,1,0,,,,94.9,1.58,2,,,,,1,
A3,TR,2944,,,UMBCAL,1,0,0,1,5,,,,4.73,,,,1,
A3,TR,2944.1,,,UMBCAL,1,0,0,1,4,,,,5.665,,,,1,
A3,TR,2945,,,UMBCAL,1,0,0,1,4,,,,1.42,,,,1,
A3,TR,2945.1,,,UMBCAL,1,1,0,1,5,,,,1.2,74.3,1,,1,
A4,TR,2947,,,QUEGAR,1,1,1,1,3,,,,21.6,59.7,5,,,
A4,TR,2946,,,UMBCAL,1,0,0,1,5,,,,2.78,,,,1,
A4,TR,2948,,,AMOCAL,0,1,0,0,0,,,,NA,170.6,8,,,
A4,SA,6144,,,AMOCAL,1,0,,,,213.5,1.22,3,,,,,,
A4,SA,6143,,,AMOCAL,1,0,,,,218.4,1.12,3,,,,,,
A4,SA,2950,,,UMBCAL,1,0,,,,121.6,1.32,0,,,,,1,
A4,TR,2951,,,UMBCAL,1,0,0,1,5,,,,3.1,,,,1,
A4,SA,6141,,,QUEAGRI,1,0,,,,50.8,0.3,1,,,,,,
A4,SA,6147,,,UMBCAL,1,0,,,,59.2,1.03,0,,,,,1,
B4,SA,6844,,,UMBCAL,1,0,,,,60.5,1.51,0,,,,,1,
B4,SA,2953,,,UMBCAL,1,0,,,,90.3,1.13,0,,,,,1,was typo 2963- mkqc2022
B4,SA,2952,,,UMBCAL,1,0,,,,89.5,1.28,4,,,,,1,
B4,TR,2955,,,UMBCAL,1,0,0,1,4,,,,2.41,,,,1,
B4,SA,6145,,,UMBCAL,1,0,,,,51.9,0.95,1,,,,,1,
B4,SA,2958,,,UMBCAL,1,0,,,,112.5,0.76,1,,,,,1,
B4,SA,2957,,,UMBCAL,1,0,,,,256.1,1.3,0,,,,,1,
B4,SA,6146,,,UMBCAL,1,0,,,,71.6,0.54,1,,,,,1,
B4,SA,2956,,,UMBCAL,1,0,,,,191,0.98,1,,,,,1,
B4,TR,2964,,,AMOCAL,1,0,0,1,4,,,,1.63,,,,,
B4,TR,2964.1,,,AMOCAL,1,0,0,1,5,,,,1,,,,,
B4,SA,2954,,,UMBCAL,1,0,,,,61.5,1.21,5,,,,,1,
B4,SA,3002,,,AMOCAL,0,0,,,,NA,NA,NA,,,,,,TAG NOT FOUND
B3,TR,2963,,,UMBCAL,1,0,1,1,5,,,,8.5,,,,1,
B3,TR,2963.1,,,UMBCAL,1,0,1,1,4,,,,8.4,,,,1,
B3,TR,2963.2,,,UMBCAL,1,0,0,1,3,,,,4.9,,,,1,
B3,TR,2963.3,,,UMBCAL,1,0,0,1,4,,,,3.1,,,,1,
B3,TR,2963.4,,,UMBCAL,1,0,0,1,4,,,,1.46,,,,1,
B3,TR,2963.5,,,UMBCAL,1,0,0,1,5,,,,4.2,,,,1,
B3,TR,2963.6,,,UMBCAL,1,0,0,1,4,,,,2.34,,,,1,
B3,SA,2961,,,UMBCAL,1,0,,,,95,1.3,3,,,,,1,
B3,SA,2965,,,UMBCAL,1,0,,,,72.3,0.69,0,,,,,1,
B3,SA,2966,,,UMBCAL,1,0,,,,174.6,1.19,1,,,,,1,
B3,TR,2967,,,PSEMEN,1,0,0,1,3,,,,73.5,,,,,
B3,SA,2962,,,UMBCAL,1,0,,,,62.5,1.29,2,,,,,1,
B2,TR,2970,,,QUEGAR,0,0,0,0,0,,,,NA,,,,,DBH TOO MUCH TOXDIV- changed from queagri to match other years mkqc2022
B3,SA,2968,,,QUEAGRI,1,0,,,,97.7,0.46,0,,,,,,
B3,SA,6149,,,AMOCAL,1,0,,,,199.2,1.04,6,,,,,,
B3,SA,6845,300,37,AMOCAL,1,0,,,,155,0.85,15,,,,,,NEW SA
B3,SA,6148,,,AMOCAL,1,0,,,,72.3,0.34,3,,,,,,
B3,TR,3014,,,UMBCAL,1,0,1,1,5,,,,4.3,,,,1,
B3,TR,3015,,,UMBCAL,1,1,1,1,5,,,,6.6,170,7,,1,
B3,TR,3015.1,,,UMBCAL,1,0,1,1,1,,,,1.68,,,,1,
B3,SA,6846,45,50,AMOCAL,1,0,,,,75.6,0.55,6,,,,,,NEW SA
B3,SA,6847,45,90,AMOCAL,1,0,,,,55.3,0.33,3,,,,,,NEW SA
B3,SA,6848,60,373,AMOCAL,1,0,,,,76.3,0.28,4,,,,,,NEW SA
B2,TR,2971,,,UMBCAL,1,1,0,1,5,,2.2,,1.04,75,1,,1,NOW ATR
B2,SA,2972,,,UMBCAL,1,0,,,,175.5,1.34,1,,,,,1,
B2,SA,2973,,,UMBCAL,1,0,,,,111.8,1.02,7,,,,,1,
B2,TR,2975,,,UMBCAL,1,0,0,1,4,,,,7.8,,,,1,
B2,TS,2975.1,,,UMBCAL,1,0,,,,117.3,0.61,0,,,,,1,
B2,TR,2978,,,UMBCAL,1,0,0,1,4,,,,5.1,,,,1,
B2,TR,2978.1,,,UMBCAL,0,0,0,0,0,,,,,,,1,,
B2,SA,2977,,,QUEWIZ,1,0,,,,80.4,0.45,2,,,,,,CHANGE SP. IN DB
B2,TR,2976,,,UMBCAL,1,1,1,1,4,,,,3.6,122.5,3,,1,
B2,SA,2969,,,UMBCAL,1,0,,,,73.7,0.89,0,,,,,1,
B2,SA,2974,,,QUEAGRI,0,0,,,,NA,NA,NA,,,,1,,
B2,SA,6849,345,280,AMOCAL,1,0,,,,58.1,0.32,5,,,,,,NEW SA
B2,SA,6850,185,280,AMOCAL,1,0,,,,178.3,0.98,23,,,,,,NEW SA
B3,TR,2960,,,UMBCAL,1,0,1,1,4,,,,1.09,,,,1,
B3,TR,2960.1,,,UMBCAL,1,1,0,1,5,,,,1.46,221.5,1,,1,
B1,TR,2979,,,UMBCAL,1,0,1,1,5,,,,4,,,,1,
B1,TR,2981,,,UMBCAL,1,0,1,1,4,,,,6.5,,,,1,
B1,TR,2982,,,UMBCAL,1,0,1,1,4,,,,1.24,,,,1,
B1,TR,2980,,,PSEMEN,1,0,0,1,2,,,,60.1,,,,,
B1,TR,2985,,,UMBCAL,1,1,0,1,4,,,,9.1,15.8,1,,1,
B1,TS,2985.1,,,UMBCAL,1,0,,,,226,1.21,0,,,,,1,
