Plot ID,1324,,Sampler(s),"MO, MF, GH",,,,,Date ,20190624,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
D1,SA,2738,,,PSEMEN,0,0,,,,,,,,,,1,,
D2,TR,2735,,,QUEKEL,1,0,1,1,4,,,,37.2,,,,,ALL ONE TREE
D2,TR,2736,,,QUEKEL,1,1,0,1,4,,,,25.1,,0,,,ALL ONE TREE
D2,TR,2737,,,QUEKEL,1,1,1,1,2,,,,17.3,,0,,,ALL ONE TREE/ BARK MISSING- misenteres as psememn- mkqc2022
D2,SA,2734,,,PSEMEN,0,0,,,,,,,,,,1,,WAS MISENTERED AS QUEAGRI- MKQC2022
D3,TR,2733,,,QUEAGRI,1,0,1,1,3,,,,13.5,,,,,
D3,TR,2732,,,QUEGAR,0,0,0,0,0,,,,,,,1,,was changed to queagri to match other typos- dead tagpulled in future- but field confirmed ints quegar-mkqc2022
D4,TR,2731,,,QUEAGRI,1,0,0,1,5,,,,13,,,,,
D4,TR,2731.1,,,QUEAGRI,1,0,0,1,4,,,,12.9,,,,,
D4,SA,2730,,,PSEMEN,0,0,,,,,,,,,,1,,
D4,SA,2729,,,PSEMEN,0,0,,,,,,,,,,1,,
C4,SA,2728,,,PSEMEN,0,0,,,,,,,,,,1,,
C3,TR,2727,,,QUEAGRI,1,0,1,1,4,,,,44.6,,,,,
C3,TR,2726,,,QUEGAR,1,0,1,1,4,,,,50.2,,,,,MISSLETOE
A1,SA,2694,,,PSEMEN,0,0,,,,,,,,,,1,,
A1,SA,5602,,,UMBCAL,1,0,,,,56.6,0.62,0,,,,,,BD OF RESPROUT
A1,SA,2713,,,UMBCAL,1,0,,,,69.2,0.8,8,,,,,,BD OF RESPROUT
A1,SA,5601,,,UMBCAL,0,1,,,,41,0.4,0,,,,,,BD OF RESPROUT
A2,TR,2721,,,QUEGAR,1,0,1,1,4,,,,45.5,,,,,
A3,TR,2722,,,ARBMEN,1,1,0,1,3,,,,36.8,55.8,1,,,
A3,TR,2722.1,,,ARBMEN,1,0,0,1,3,,,,26.8,,,,,
A3,TR,2723,,,QUEKEL,1,1,1,1,3,,,,14.3,,0,,,
A4,SA,5608,,,ARBMEN,0,1,,,,30.2,0.33,0,,,,,,BD OF RESPROUT
A4,SA,2724,,,PSEMEN,0,0,,,,,,,,,,1,,
B4,TR,2725,,,QUEKEL,1,0,1,1,4,,,,32,,,,,
