Plot ID,1349,,Sampler(s),"MO, MF, MK",,,,,Date ,20190703,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
C2,TR,4031,,,QUEKEL,1,1,1,1,2,,,,64.2,58.5,1,,,
B3,TR,4029,,,QUEKEL,1,1,1,1,3,,,,94.1,66,4,,,
A2,SA,6453,499,380,BACPIL,1,0,,,,85.5,0.78,2,,,,,,NEW SA
A2,SA,6454,70,460,BACPIL,1,0,,,,74,0.67,4,,,,,,NEW SA
A2,SA,5780,,,UMBCAL,0,1,,,,NA,0.8,NA,,48.7,0,,,RESPROUT BD
A2,SA,5772,,,UMBCAL,0,1,,,,NA,0.58,NA,,43.1,0,,,RESPROUT BD
A1,TR,4016,,,NOTDEN,0,1,0,0,0,,,,18.6,174.4,61,,,
A1,TR,4016.1,,,NOTDEN,0,0,0,0,0,,,,20.4,,,,,
A1,TR,4015,,,QUEAGRI,0,1,0,0,0,,,,7,60.5,1,,,
A3,TR,4020,,,PSEMEN,0,0,0,0,0,,,,37.7,,,,,
A3,SA,6455,70,30,BACPIL,1,0,,,,75.4,1.2,1,,,,,,NEW SA
A3,SA,6456,195,80,BACPIL,1,0,,,,61.6,0.49,1,,,,,,NEW SA
A3,SA,6457,170,80,BACPIL,1,0,,,,46.1,0.41,3,,,,,,"NEW SA, OOPS!"
B3,SA,5781,,,UMBCAL,0,1,,,,NA,0.98,NA,,33,,,,RESPROUT BD
B3,SA,4026,,,UMBCAL,0,1,,,,NA,0.5,NA,,26.3,,,,RESPROUT BD
A1,SA,5785,,,UMBCAL,0,1,,,,NA,0.29,NA,,22.2,,,,RESPROUT BD
A4,TR,4021,,,QUEAGRI,0,1,0,0,0,,,,25.1,106.2,11,,,
A3,SA,6458,10,499,BACPIL,1,0,,,,74.3,0.74,2,,,,,,NEW SA
B4,TR,4023,,,PSEMEN,0,0,0,0,0,,,,26.5,,,,,
B4,SA,4024,,,UMBCAL,1,0,,,,51,0.88,6,,,,,,
B4,SA,5782,,,NOTDEN,1,0,,,,76.8,0.83,14,,,,,,RESPROUT BD
C4,TR,4033,,,QUEAGRI,1,0,1,1,3,,,,51.4,,,,,RESPROUT BD
C4,SA,4032,400,1,UMBCAL,0,1,,,,NA,0.81,NA,,31.7,,,,
C4,SA,6459,353,1,BACPIL,1,0,,,,53.4,0.52,0,,,,,,RESPROUT BD
C3,SA,4035,,,PSEMEN,0,0,,,,NA,NA,NA,,,,,,NEW SA
C3,SA,5783,,,UMBCAL,1,0,,,,58.2,0.65,2,,,,1,,
A1,SA,4019,,,PSEMEN,0,0,,,,NA,NA,NA,,,,,1,RESPROUT BD
C1,SA,4037,,,PSEMEN,0,0,,,,NA,NA,NA,,,,,,NOT FOUND
A4,SA,4022,,,NOTDEN,0,0,,,,NA,NA,NA,,,,,,NOT FOUND
D1,SA,4036,,,NOTDEN,0,0,,,,NA,1.73,NA,,,,1,,
B1,SA,4039,,,UMBCAL,0,0,,,,NA,NA,NA,,,,1,,
C1,SA,6460,270,310,BACPIL,1,0,,,,89.4,0.62,0,,,,,,NEW SA
D3,SA,4034,,,UMBCAL,0,1,,,,NA,1.09,NA,,35.5,0,,,
D3,SA,5784,,,UMBCAL,0,1,,,,NA,0.5,NA,,27.7,0,,,
D2,SA,6461,460,757,BACPIL,1,0,,,,57.6,0.3,1,,,,,,NEW SA
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
