DATE,PLOT,INITALS,SPECIES,A2_cover,A2_pheno,A3_cover,A3_pheno,A4_cover,A4_pheno,B4_cover,B4_pheno,C4_cover,C4_pheno,D4_cover,D4_pheno,D3_cover,D3_pheno,D2_cover,D2_pheno,D1_cover,D1_pheno,C1_cover,C1_pheno,B1_cover,B1_pheno,A1_cover,A1_pheno,NOTES
20230425,1324,"MK,RFB,MS",BRODIA,1,FL,2,FL,1,V,2,FL,2,FL,1,FL,1,FL,1,FL,1,FL,,,,,1,FL,
20230425,1324,"MK,RFB,MS",VICSAT,3,FL,1,FL,,,5,FL,3,FL,4,FL,6,FL,3,FL,5,FL,2,FL,3,FL,2,FL,
20230425,1324,"MK,RFB,MS",TORARV,1,V,1,V,,,1,V,2,V,,,1,V,1,V,1,V,1,V,1,V,1,V,
20230425,1324,"MK,RFB,MS",NEMHET,1,V,1,FL,,,1,FR,1,V,,,2,FL,1,FL,,,1,V,1,FL,1,FL,
20230425,1324,"MK,RFB,MS",BRIMAX,3,FL,,,3,V,,,3,FL,1,FL,4,FL,3,FL,,,3,FL,2,FL,3,FL,
20230425,1324,"MK,RFB,MS",BROSTE,2,FL,,,,,,,3,FL,1,FL,2,FL,1,FL,,,1,FL,5,FL,,,
20230425,1324,"MK,RFB,MS",CAROLI,1,FR,,,,,,,,,,,,,,,,,,,,,,,
20230425,1324,"MK,RFB,MS",SANCRA,1,V,,,1,V,,,2,V,4,V,,,2,V,2,V,2,V,2,V,1,V,
20230425,1324,"MK,RFB,MS",MADGRA,2,V,,,,,,,,,,,,,,,1,V,,,1,V,1,V,
20230425,1324,"MK,RFB,MS",DIC_SP,1,V,,,,,,,,,1,V,,,,,,,,,,,1,V,
20230425,1324,"MK,RFB,MS",TRILAX,1,V,,,,,,,1,V,1,V,,,,,1,V,,,2,V,,,
20230425,1324,"MK,RFB,MS",TOXDIV,,,,,1,V,2,V,2,V,1,V,,,,,2,V,,,,,,,
20230425,1324,"MK,RFB,MS",GALAPA,,,,,2,FL,3,FR,1,FL,3,FL,4,FL,1,FR,2,FR,1,FR,1,FR,1,FR,
20230425,1324,"MK,RFB,MS",GALPOR,,,,,1,V,,,,,,,,,,,,,,,,,,,
20230425,1324,"MK,RFB,MS",AVEBAR,1,FL,,,3,FL,1,V,1,FL,,,1,V,,,,,1,FL,1,FL,1,FL,
20230425,1324,"MK,RFB,MS",CHLPOM,,,,,,,2,V,,,1,V,,,,,1,V,,,,,1,V,
20230425,1324,"MK,RFB,MS",GALCAL,,,,,,,4,V,3,FR,,,,,,,,,,,,,,,
20230425,1324,"MK,RFB,MS",LATVES,,,,,,,,,,,,,,,,,,,,,,,,,
20230425,1324,"MK,RFB,MS",STEMED,,,,,,,,,1,FR,,,,,,,,,,,,,,,
20230425,1324,"MK,RFB,MS",BRADIS,,,,,,,,,1,FL,,,,,,,,,,,,,1,FL,
20230425,1324,"MK,RFB,MS",SANLAC,,,,,,,,,2,FL,1,FL,,,,,,,,,,,,,
20230425,1324,"MK,RFB,MS",RANOCC,,,,,,,,,,,2,FL,,,1,FL,,,1,FR,3,V,1,V,
20230425,1324,"MK,RFB,MS",SCAPEC,,,,,,,,,,,1,V,,,,,,,,,,,,,
20230425,1324,"MK,RFB,MS",CARCAL,,,,,,,,,,,1,V,,,1,V,1,FR,1,FR,1,V,,,
20230425,1324,"MK,RFB,MS",LYSARV,,,,,,,,,,,,,,,,,,,1,V,,,,,
20230425,1324,"MK,RFB,MS",MELGEY,,,,,,,,,,,,,,,,,,,,,4,FL,,,
20230425,1324,"MK,RFB,MS",CLAPER,,,,,,,,,,,,,,,,,,,,,2,FL,1,FL,
20230425,1324,"MK,RFB,MS",TRIBIF,,,,,,,,,,,,,,,,,,,,,,,1,FL,
20230425,1324,"MK,RFB,MS",CYNECH,,,,,,,,,,,,,,,,,,,,,,,,,
20230425,1324,"MK,RFB,MS",ACHMIL,,,,,,,,,,,,,,,,,,,,,,,,,
20230425,1324,"MK,RFB,MS",ACMPAR,,,,,,,,,,,,,,,,,,,,,,,,,
20230425,1324,"MK,RFB,MS",ANIMAD,,,,,,,,,,,,,,,,,,,,,,,,,
20230425,1324,"MK,RFB,MS",BRY_SP,,,,,,,,,,,,,,,,,,,,,,,,,
20230425,1324,"MK,RFB,MS",CARPYC,,,,,,,,,,,,,,,,,,,,,,,,,
20230425,1324,"MK,RFB,MS",ELYGLA,,,,,,,,,,,,,,,,,,,,,,,,,
20230425,1324,"MK,RFB,MS",GALPAR,,,,,,,,,,,,,,,,,,,,,,,,,
20230425,1324,"MK,RFB,MS",LONHIS,,,,,,,,,,,,,,,,,,,,,,,,,
20230425,1324,"MK,RFB,MS",LUZCOM,,,,,,,,,,,,,,,,,,,,,,,,,
20230425,1324,"MK,RFB,MS",MELTOR,,,,,,,,,,,,,,,,,,,,,,,,,
20230425,1324,"MK,RFB,MS",POASEC,,,,,,,,,,,,,,,,,,,,,,,,,
20230425,1324,"MK,RFB,MS",SILLAC,,,,,,,,,,,,,,,,,,,,,,,,,
20230425,1324,"MK,RFB,MS",TRIHIR,,,,,,,,,,,,,,,,,,,,,,,,,
20230425,1324,"MK,RFB,MS",VICAME,,,,,,,,,,,,,,,,,,,,,,,,,
20230425,1324,"MK,RFB,MS",BROLAE,,,,,,,,,,,,,,,,,,,,,,,,,
20230425,1324,"MK,RFB,MS",HYPGLA,,,,,,,,,,,,,,,,,,,,,,,,,
20230425,1324,"MK,RFB,MS",CYNGRA,,,,,,,,,,,,,,,,,,,,,,,,,
