Plot ID,PPW1332,,Sampler(s),"MK,MO,AC",,,,,Date ,20180710,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,Notes
A4,TR,2598,,,QUEGAR ,1,0,0,1,3,,,,40.8,,,NO,
A3,TR,2597,,,QUEGAR ,1,0,0,1,3,,,,25.4,,,NO,
A3,TR,2596,,,QUEKEL ,1,0,0,1,3,,,,25.8,,,NO,
A2,TR,2594,,,QUEGAR ,1,0,0,1,3,,,,28.3,,,NO,
A2,TR,2567,,,UMBCAL ,1,1,1,1,4,,,,21.6,110.8,8,NO,
A2,TR,2585,,,UMBCAL ,1,1,1,1,4,,,,25.1,77.3,4,NO,
A2,TR,2595,,,UMBCAL ,1,1,0,1,5,,,,19.4,139.4,6,NO,
B1,TR,2607,,,QUEGAR ,1,0,1,1,2,,,,37.6,,,NO,
B1,SA,2608,,,UMBCAL ,1,0,0,0,0,84.3,0.93,1,,,,NO,
B2,TR,2606,,,UMBCAL ,1,1,0,1,4,,,,25.3,74,4,NO,
B2,TR,2605,,,QUEGAR ,1,0,0,1,3,,,,35.5,,,NO,
B2,TR,2604,,,UMCAL,1,1,1,1,4,,,,16,118.7,7,NO,
B3,TR,2601,,,QUEGAR ,1,1,0,1,2,,,,27.7,,,NO,
B3,SA,2603,,,AESCAL,1,0,0,1,0,,0.5,,,,,NO,
B3,SA,2602,,,UMBCAL ,0,1,0,0,0,,1.58,,,91,6,NO,OG DEAD
B3,TR,2599,,,QUEGAR ,0,0,0,0,2,,,,35.8,,,NO,
B3,TR,2600,,,UMBCAL ,1,1,1,1,4,,,,19.3,59.3,1,NO,
B3,TR,2600.1,,,UMBCAL ,1,0,1,1,4,,,,25.3,,,NO,
C4,TR,2617,,,UMBCAL ,1,1,0,1,4,,,,13,135,6,NO,
C4,TR,2618,,,UMBCAL ,1,1,1,1,2,,,,15.9,97.1,6,NO,
C4,TR,2619,,,UMBCAL ,1,1,1,1,2,,,,17.2,67.4,1,NO,
C4,TR,2021,,,UMBCAL ,1,1,1,1,4,,,,17.3,55,1,NO,
D4,TR,2026,,,QUEGAR ,1,0,0,1,3,,,,28.5,,,NO,
D4,TR,2627,,,QUEGAR ,0,1,0,0,0,,,,25,,,NO,
D4,TR,2625,,,UMBCAL ,1,1,1,1,4,,,,16.2,125.1,2,NO,
D4,TR,2024,,,UMBCAL ,1,1,0,1,3,,,,12.8,78.4,5,NO,
D4,TR,2011,,,UMBCAL ,0,0,0,0,0,,,,1.81,,,NO,
D4,TS,2011.1,,,UMBCAL ,0,1,0,0,0,,1.87,,,96.8,1,NO,
C4,SA,2609,,,UMBCAL ,0,1,0,0,0,,,,,35.1,,NO,OG DEAD 
C4,SA,2610,,,UMBCAL ,0,0,0,0,0,,,,,,,NO,GONE TAG NOT FOUND 
D3,TR,2623,,,QUEGAR ,1,0,0,1,4,,,,29.5,,,NO,
D2,TR,2628,,,AESCAL,1,1,1,1,2,,,,15.4,69.7,1,NO,
D1,SA,999.1,,,UMBCAL ,0,0,0,0,0,0.45,,,,,,NO,
D2,TR,2622,,,AESCAL,1,1,1,1,2,,,,14.5,104.6,2,NO,
D2,TR,2622.1,,,AESCAL,1,1,1,1,2,,,,11,68.1,2,NO,
D2,TS,2622.2,,,AESCAL,0,1,0,0,0,,,,,82.5,1,NO,
D2,TR,2630,,,QUEGAR ,1,0,0,1,2,,,,20.1,,,NO,
D1,TR,2629,,,QUEGAR ,1,0,0,1,3,,,,34.6,,,NO,
D1,SA,5683,104,168,UMBCAL ,0,1,0,0,0,0.64,,,,24.9,,NO,OG DEAD NEW SA
D1,SA,5682,111,376,UMBCAL ,0,1,0,0,0,0.48,,,,24,,NO,
C1,TR,2616,,,QUEGAR ,1,0,0,1,3,,,,33.7,,,NO,
C1,TR,2612,,,AESCAL,1,1,0,1,2,,,,15.2,108.2,5,NO,
C1,TR,2612.4,,,AESCAL,1,0,0,1,2,,,,12.9,,,NO,
C1,TR,2612.1,,,AESCAL,0,1,0,0,0,,,,15.5,127,2,NO,
C1,TR,2612.2,,,AESCAL,1,1,1,1,3,,,,16.1,100.5,6,NO,
C1,TS,2612.3,,,AESCAL,0,0,0,0,0,,,,,,,NO,
C1,SA,2612.5,,,AESCAL,1,0,0,0,0,1.34,,,,101.8,2,NO,
C1,TR,5684,93,230,UMBCAL ,0,1,0,0,0,0.5,,,,15.1,,NO,
C1,TR,2613,,,QUEGAR ,1,1,0,1,3,,,,18.9,,,NO,
C2,TR,2614,,,QUEGAR ,1,0,0,1,3,,,,24,,,NO,
C2,TR,2615,,,QUEGAR ,1,0,0,1,3,,,,39.8,,,NO,
C3,,2620,,,UMBCAL ,1,0,1,1,2,,,,19.3,,,NO,
