Plot ID,PPW1336,,Sampler(s),"MK,MO,KO,AC",,,,,Date ,20180716,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,Notes
A3,TR,2905,,,QUEAGR,1,1,1,1,2,,,,10.1,,,NO,
A3,TR,2903,,,QUEAGR,1,0,0,1,3,,,,22.4,,,NO,
A3,TR,2902,,,QUEGAR,1,0,0,1,2,,,,38.1,,,NO,
A3,TR,2902.1,,,QUEAGR,1,0,0,1,1,,,,31.6,,,NO,TAG MISSING
A3,SA,2906,,,PSEMEN,1,0,0,0,0,,1.82,,,,,NO,
A4,TR,2911,,,QUEAGR,1,0,1,1,4,,,,38.8,,,NO,
A3,TR,2904,,,QUEAGR,0,0,0,0,0,,,,,,,NO,GONE
A4,TR,2910,,,QUEGAR,1,1,1,1,3,,,,14.3,,,NO,
A4,TR,2910.1,,,UMBCAL,0,0,0,0,0,,1.03,,1.41,,,NO,
A4,TR,2909,,,QUEAGR,1,0,1,1,3,,,,24.3,,,NO,
A4,SA,2907,,,QUEAGR,0,0,0,0,0,,,,,,,NO,
A4,TR,2908,,,QUEAGR,0,0,0,0,0,,,,11.5,,,NO,
A4,TR,2908.1,,,QUEAGR,0,0,0,0,0,,,,1.13,,,NO,
A4,TR,2908.2,,,QUEGAR,0,0,0,0,0,,,,2.1,,,NO,
A4,TR,2908.3,,,QUEGAR,0,0,0,0,0,,,,1.66,,,NO,
B4,TR,2913,,,QUEGAR,0,0,0,0,0,,,,9.34,,,NO,
B4,TR,2912,,,QUEGAR,1,0,1,1,4,,,,39.3,,,NO,
C4,SA,2925,,,UMBCAL,0,1,0,0,0,,2.09,,,52.1,,NO,OG DEAD
D4,TR,2926,,,QUEAGR,1,0,1,1,3,,16.6,,,,,NO,
D3,TR,2927,,,QUEAGR,1,1,1,1,4,,,,15.2,57,1,NO,
D1,SA,5717,132,115,UMBCAL,0,1,0,0,0,,1.49,,,47,,NO,OG DEAD 
D1,SA,5718,45,40,UMBCAL,0,1,0,0,0,,1.36,,,30.5,,NO,OG DEAD 
D1,SA,5719,90,40,UMBCAL,0,1,0,0,0,,1.45,,,65.5,,NO,OG DEAD 
B1,SA,5699,325,112,UMBCAL,0,1,0,0,0,,0.46,,,57.6,2,NO,"OG DEAD, DD@ 8.5"
C1,SA,5720,390,240,UMBCAL,0,1,0,0,0,,0.83,,,51,,NO,OG DEAD 
C1,TR,2920,,,QUEGAR,1,0,0,1,2,,,,27.9,,,NO,
C1,TR,2919,,,QUEAGR,1,0,1,1,2,,,,33.5,,,NO,
C1,TR,2918,,,QUEGAR,1,1,0,1,2,,,,25.4,71.4,3,NO,NEW TAG
B1,TR,2917,,,QUEAGR,0,1,0,0,0,,,,8.42,,,NO,OG DEAD
B1,,2917.1,,,QUEAGR,0,0,0,0,0,,,,6.1,,,NO,
B1,,2917.2,,,QUEAGR,0,0,0,0,0,,,,,,,NO,GONE
B1,,2916,,,QUEGAR,0,0,0,0,0,,,,13.1,,,NO,NEW TAG 
C3,SA,5591,280,440,UMBCAL,0,1,0,0,0,,0.48,2,29.1,,,NO,OG DEAD
B1,TR,2915,,,QUEAGR,1,0,0,1,2,,,,20.5,,,NO,NEW TAG 
B1,TR,2915.1,,,QUEAGR,1,0,1,1,1,,,,15.3,,,NO,NEW TAG 
A2,TR,2901,,,QUEAGR,0,0,0,0,0,,,,,,,NO,NEW TAG 
A2,SA,5721,366,232,UMBCAL,0,1,0,0,0,,0.95,1,,,,NO,OG DEAD
B3,SA,2914,,,PSEMEN,0,0,0,0,0,,2.25,0,,,,NO,
C3,TR,2923,,,QUEAGR,0,0,0,0,0,,,,,,,NO,GONE 
C3,TR,2923.1,,,QUEAGR,0,0,0,0,0,,,,,,,NO,GONE 
C3,TR,2922,,,QUEAGR,0,0,0,0,0,,,,48.9,,,NO,
C3,SA,2924,,,UMBCAL,0,0,0,0,0,,2.91,0,,,,NO,
C2,TR,2921,,,QUEAGR,0,0,1,0,0,,,,36.1,,,NO,"NEW TAG, SNAG"
C2,SA,2928,,,PSEMEN,0,0,0,0,0,,,,,,,NO,GONE
