Plot ID,PPW1329,,Sampler(s),"MK,MO,KO,AC",,,,,Date ,20180702,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,Notes
A2,TR,2631,,,QUEGAR,1,1,0,1,4,,,,39.8,,,NO,
A2,TR,2632,,,QUEGAR,0,0,0,0,0,,,,33.6,,,NO,
A2,SA,2633,,,UMBCAL,0,1,0,0,0,0.95,,,,50,,NO,
A2,TR,2634,,,QUEGAR,1,0,0,1,4,,,,38,,,NO,
A2,TR,2634.1,,,QUEGAR,1,0,0,1,4,,,,30.6,,,NO,
A4,TR,2635,,,QUEGAR,1,0,0,1,3,,,,24.9,,,NO,
A4,TR,2636,,,QUEGAR,1,0,0,1,2,,,,21.3,,,NO,DBH TAKEN AT H 7M TO AVOID 
B4,TR,2638,,,QUEGAR,1,0,0,1,2,,,,27.1,,,NO,NEW TAG ***
B4,TR,2638.1,,,QUEGAR,1,0,0,1,2,,,,17.7,,,NO,
B4,TR,2638.2,,,QUEGAR,1,0,0,1,4,,,,26.9,,,NO,
B4,TR,2637,,,QUEGAR,1,0,0,1,2,,,,15.5,,,NO,
B3,TR,2639,,,AESCAL,1,1,1,1,0,,,,15,108.4,13,NO,DECIDUOUS DYING LEAVES?
B3,TR,2639.1,,,AESCAL,0,0,0,0,0,,,,3.65,,,NO,
B3,TR,2640,,,QUEGAR,1,0,0,1,3,,,,24.6,,,NO,
B3,TR,2640.1,,,QUEGAR,1,1,0,1,3,,,,27.2,,,NO,
B3,TR,2640.2,,,QUEGAR,1,1,0,1,3,,,,22.8,,,NO,
C2,TR,2641,,,QUEGAR,1,1,1,1,1,,,,26.4,,,NO,
C2,TR,2642,,,QUEGAR,0,0,0,0,0,,,,,,,NO,DEAD/GONE
B2,SA,5694,430,350,QUEGAR,0,1,0,0,0,,0.86,2,,28.2,,NO,OG DEAD
C3,TR,2643,,,QUEGAR,1,0,1,1,4,,,,22.4,,,NO,
C4,TR,2644,,,QUEGAR,1,1,0,1,4,,,,25.3,,,NO,
C4,TR,2645,,,QUEGAR,1,0,0,1,2,,,,23.5,,,NO,
D3,SA,5695,345,20,QUEGAR,0,1,0,0,0,,1.1,,,23.6,,NO,OG DEAD
D4,TR,2646,,,QUEGAR,1,0,1,1,3,,,,20.5,,,NO,
D4,TR,2647,,,QUEGAR,1,0,0,1,3,,,,20.4,,,NO,
D3,TR,2648,,,QUEGAR,1,1,0,1,4,,,,23.4,,,NO,
D3,SA,5696,71,255,QUEGAR,0,1,0,0,0,,0.26,2,,26.6,,NO,OG DEAD 
D3,SA,5697,47,261,QUEGAR,0,1,0,0,0,,0.53,2,,38.6,,NO,OG DEAD 
D3,TR,2649,,,QUEGAR,1,1,0,1,3,,,,22.9,,,NO,
D3,TR,2650,,,QUEGAR,1,0,1,1,3,,,,23.9,,,NO,
D2,TR,2651,,,QUEGAR,1,0,0,1,4,,,,18.9,,,NO,
D2,TR,2652,,,QUEGAR,1,1,0,1,3,,,,19.1,,,NO,
D2,TR,2653,,,QUEGAR,1,0,0,1,4,,,,30.1,,,NO,
D1,TR,2654,,,QUEGAR,1,0,0,1,4,,,,38.9,,,NO,
D1,TR,2655,,,AESCAL,1,1,0,1,3,,,,16.2,88.5,9,NO,
D1,TR,2655.1,,,AESCAL,1,1,0,0,0,,,,7.3,136.3,2,NO,
D1,TR,2656,,,QUEGAR,0,0,0,0,0,,,,,,,NO,DEAD AND GONE 
D1,TR,2657,,,QUEGAR,1,0,1,1,3,,,,34.6,,,NO,
D1,TR,2658,,,QUEGAR,0,0,0,0,0,,,,22.9,,,NO,COMPLETELY DEAD 
D1,TR,2659,,,QUEGAR,1,0,0,1,5,,,,34.4,20.4,,NO,
B2,SA,5698,310,420,QUEGAR,0,1,0,0,0,,0.2,1,,,,NO,OG DEAD
