Plot ID,1304,,Sampler(s),AC/MO/MK/KO,,,,,Date ,20180723,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,Notes
A1,TR,1101,,,QUEGAR,1,0,0,1,3,NA,NA,NA,74,NA,NA,NO,NA
A1,TR,1101.1,,,QUEGAR,1,0,1,0,1,NA,NA,NA,51.3,NA,NA,NO,NA
B3,SA,1103,,,QUEAGR,0,1,NA,NA,NA,NA,2.38,0,NA,58.2,NA,NO,OG DEAD
B4,TR,1102,,,QUEAGR,1,0,0,1,3,NA,NA,NA,66.7,NA,NA,NO,NA
C3,SA,1105,,,QUEAGR,0,1,NA,NA,NA,NA,1.62,NA,NA,33,NA,NO,OG DEAD
C2,TR,1104,,,AESCAL,1,1,1,1,2,NA,NA,NA,15.9,NA,NA,NO,NA
C2,TR,1104.1,,,AESCAL,0,1,0,0,0,NA,NA,NA,14.4,175.5,2,NO,NA
D3,TR,1107,,,QUEAGR,1,1,1,0,1,NA,NA,NA,31.3,98.3,3,NO,DBH TREE BURNED 
D3,TR,1106,,,AESCAL,1,1,1,1,2,NA,NA,NA,17.4,55.5,1,NO,NA
D3,TR,1106.1,,,AESCAL,1,0,1,1,2,NA,NA,NA,15.4,NA,NA,NO,NA
A1,SA,9999.1,,,,0,0,NA,NA,NA,NA,0.63,NA,NA,NA,NA,NO,NA
D1,SA,5865,360,190,QUEAGR,0,1,NA,NA,NA,NA,0.73,1,NA,38.3,NA,NO,OG DEAD
C1,SA,5829,340,192,QUEAGR,1,NA,NA,NA,NA,52,0.42,1,NA,NA,NA,NO,NEW SA
B3,SA,5830,25,90,QUEDOU,1,NA,NA,NA,NA,NA,0.77,1,NA,61.5,NA,NO,OG DEAD
