Plot ID,1323,,Sampler(s),AC MO MK KO,,,,,Date ,20180627,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,Notes
D1,TR,1965,,,QUEGAR,1,0,0,1,4,,,,31,,,NO,
C2,TR,1964,,,QUEAGR,1,0,0,1,4,,,,41.7,,,NO,
C2,TR,1964.1,,,QUEAGR,1,0,0,1,4,,,,33.7,,,NO,
C2,TR,1964.2,,,QUEAGR,1,0,0,1,3,,,,24.7,,,NO,
B2,TR,1925,,,QUEDOU,1,0,0,1,4,,,,25.8,,,NO,
B2,TR,1924,,,QUEDOU,1,0,0,1,2,,,,19.6,,,NO,
A2,TR,1909,,,QUEAGR,1,0,0,1,4,,,,30.2,,,NO,
A2,TR,1909.1,,,QUEAGR,1,0,0,1,4,,,,23.7,,,NO,
A2,TR,1907,,,QUEAGR,1,0,0,1,3,,,,19.2,,,NO,
B2,TR,1931,,,QUEAGR,1,0,0,1,4,,,,37.9,,,NO,
C3,TR,1923,,,QUEAGR,1,0,0,1,3,,,,43.1,,,NO,
C3,TR,1922,,,QUEDOU,1,0,0,1,3,,,,39.4,,,NO,
C1,TR,1963,,,QUEDEC,0,,,,,,,,,,,NO,DEAD AND GONE
