Plot ID,PPW1310,,Sampler(s),"MK,MO,KO,AC",,,,,Date ,20180619,,,,,,,,
Notes,RETURN TO OFFLOAD HOBO AND LICHEN  AND DO HECTARE DOT AND C.C. 96 OR 16,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,Notes
B1,TR,1230,,,QUEGAR,1,0,0,1,4,,,,33.5,,,NO,
A1,TR,1222,,,QUEGAR,1,0,1,1,3,,,,29,,,NO,
D1,TR,1242,,,QUEDOU,1,0,0,1,2,,,,7.5,,,NO,
C1,TR,1232,,,QUEGAR,1,0,0,1,2,,,,25.5,,,NO,
C1,TR,1232.1,,,QUEGAR,1,0,1,1,2,,,,26.5,,,NO,
B2,TR,1233,,,QUEGAR,1,0,0,1,3,,,,24,,,NO,
D2,TR,1240,,,QUEGAR,1,0,0,1,2,,,,16,,,NO,
A4,TR,1223,,,QUEGAR,1,0,1,1,2,,,,19.2,,,NO,
A4,TR,1224,,,QUEGAR,1,0,1,1,3,,,,18.3,,,NO,
D3,TR,1239,,,QUEDOU,1,0,1,1,3,,,,10.5,,,NO,
D1,TR,1243,,,QUEDOU,0,0,0,0,0,,,,2.5,,,NO,
B4,TR,1225,,,QUEGAR,1,0,1,1,3,,,,36,,,NO,
A1,TR,1222.1,,,QUEGAR,1,0,1,1,2,,,,18.2,,,NO,
D3,TR,1237,,,QUEDOU,1,0,1,1,2,,,,5.5,,,NO,
C3,TR,1238,,,QUEDOU,1,0,1,1,2,,,,9.3,,,NO,
C4,,1236,,,QUEGAR,1,0,1,1,4,,,,26.7,,,NO,
C1,SA,1231,,,CERBET,0,0,0,0,0,80.4,0.62,,,,,NO,
B2,TR,1228,,,ARCMAN,0,0,0,0,0,,,,9.3,,,NO,
B2,SA,1228.1,,,ARCMAN,0,0,0,0,0,,,,4.2,,,NO,
B2,SA,1228.2,,,ARCMAN,0,0,0,0,0,,,,6.5,,,NO,BARK SPLIT-DBH COULD BE UNDERESTIMATED
B2,SA,1228.3,,,ARCMAN,0,0,0,0,0,,,,3.1,,,NO,
B2,SA,1229,,,CERBET ,0,0,0,0,0,216.5,1.95,,,,,NO,
C2,SA,1241,,,CERBET ,0,0,0,0,0,66.6,0.86,,,,,NO,
B2,SA,1235,,,CERBET ,1,0,0,0,0,38.2,0.23,,,,,NO,TOP IS DEAD SO UNDER 50CM
B2,SA,1234,,,CERBET ,1,0,0,0,0,63.5,0.54,,,,,NO,
A2,SA,1227,,,ARCMAN ,0,0,0,0,0,101.3,2.21,,,,,NO,
,,,,,,,,,,,,,,,,,NO,MORE IN A2 IN B2
