Plot ID,   PPW1350,,,,Sampler(s),"MO, MK, MF, CM",,,Date ,20210113
Notes,,,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A1,FRACAL,,,1,,,,,,
C1,,,,,,,,,,
A1,HETARB,2,,,,,,,,
B1,UMBCAL,,,1,,,,,,
D1,UMBCAL,,,2,,,,,,
D1,HETARB,1,,,,,,,,
D2,UMBCAL,,,2,,,,,,
D3,UMBCAL,,,5,,,,,,
A2,HETARB,1,,,,,,,,
A3,HETARB,,,2,,,,,,
B4,UMBCAL,,,1,,,,,,
B4,HETARB,,,1,,,,,,
A4,HETARB,1,,1,,,,,,
B3,HETARB,3,,1,,,,,,
B2,HETARB,12,,1,,,,,,
B2,ARBMEN,2,,,,,,,,
B2,QUEAGRI,,,1,,,,,,
C4,UMBCAL,,,2,,,,,,
C4,HETARB,2,,,,,,,,
D4,UMBCAL,,,1,,,,,,
C3,,,,,,,,,,
C2,,,,,,,,,,
