Plot ID,   PPW1319,,,,Sampler(s),MK MO TT CM MF,,,Date ,20201113
Notes,,,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
C4,QUEAGRI,,,1,,,,,,
C3,QUEGAR,,,1,,,,,,
D3,QUEGAR,,,6,,,,,,
D3,UMBCAL,,,,,1,QUE OR UMBCAL,,,
A3,QUEGAR,,,4,,,,,,
A4,QUEGAR,,,1,,,,,,
D2,QUEGAR,,,1,,,,,,
C2,QUEGAR,,,1,,,,,,
C2,UMBCAL,,,1,,,,,,
D1,QUEAGRI,,,1,,,,,,
D1,QUEGAR,,,1,,,,,,
C1,UMBCAL,,,1,,,,,,
B1,QUEAGRI,,,1,,,,,,
B4,,,,,,,,,,
D4,,,,,,,,,,
B2,QUEAGRI,,,1,,,,,,
A1,QUEGAR,,,3,,,,,,
B3,,,,,,,,,,
A2,QUEGAR,,,17,,,,,,
A2,QUEAGRI,,,4,,,,,,
