Plot ID,   PPW1339,,,,Sampler(s),"CM, MK, MF",,,Date ,20210120
Notes,,,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A1,,,,,,,,,,
A2,,,,,,,,,,
A3,,,,,,,,,,
A4,,,,,,,,,,
B1,,,,,,,,,,
B2,UMBCAL,,,1,,,,,,
B3,UMBCAL,,,1,,,,,,
B4,QUEAGRI,,,2,,,,,,
C1,QUEAGRI,1,,1,,,,,,
C2,QUEAGRI,,,1,,,,,,
C3,UMBCAL,,,4,,,,,,
C4,UMBCAL,1,,,,1,,,,
D1,UMBCAL,,,1,,,,,,
D2,QUEDOU,,,3,,,,,,
D2,UMBCAL,,,1,,,,,,
D2,QUEAGRI,,,1,,,,,,
D3,QUEAGRI,1,,1,,,,,,
D3,UMBCAL,,,1,,,,,,
D1,QUEDOU,,,1,,,,,,
C4,QUEAGRI,1,,,,1,,,,
D4,QUEAGRI,,,,,1,,,,
