Plot ID,   PPW1332,,,,Sampler(s),"MK, MF, RF, BM",,,Date 
Notes,,,,,,,,,
,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,
A1,UMBCAL,,,1,,,,,
A2,QUEGAR,,,1,,,,,
B4,AESCAL,,,1,,,,,
D1,UMBCAL,,,1,,,,,
D1,QUEGAR,,,2,,,,,
A3,UMBCAL,,,3,,,,,
A3,QUEGAR,,,1,,,,,
B4,UMBCAL,,,1,,,,,
D2,UMBCAL,,,4,,,,,
A4,QUEGAR,,,3,,,,,
A4,UMBCAL,,,2,,,,,
C4,QUEGAR,,,1,,,,,
C4,UMBCAL,,,2,,,,,
D3,UMBCAL,,,2,,,,,
B3,UMBCAL,1,,,,,,,
C3,UMBCAL,1,,1,,,,,
D4,UMBCAL,,,3,,,,,
B2,UMBCAL,,,5,,,,,
B2,QUEGAR,,,1,,,,,
B1,UMBCAL,,,6,,,,,
C1,UMBCAL,,,5,,,,,
C2,UMBCAL,,,1,,,,,
