Plot ID,   PPW1335,,,,Sampler(s),"MK, CM, RF",,,Date ,20201202
Notes,,,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A1,UMBCAL,2,,6,,,,,,
A2,UMBCAL,,,5,,,,,,
A2,QUEGAR,,,1,,,,,,
A3,,,,,,,,,,
A4,UMBCAL,,,4,,,,,,
B4,UMBCAL,,,1,,,,,,
B3,UMBCAL,,,2,,,,,,
B2,UMBCAL,,,9,,,,,,
B1,UMBCAL,,,10,,,,,,
C1,UMBCAL,,,6,,,,,,
C2,UMBCAL,,,5,,,,,,
C3,UMBCAL,,,1,,,,,,
C4,,,,,,,,,,
D4,UMBCAL,,,7,,,,,,
D3,UMBCAL,,,2,,,,,,
D2,UMBCAL,,,12,,,,,,
D1,UMBCAL,,,7,,,,,,
