Plot ID,   PPW1323,,,,Sampler(s),MK MF CM RF,,,Date ,20201105
Notes,,,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A1,,,,,,,,,,
A2,,,,,,,,,,
A3,QUEDOU,1,,,,,,,,
B1,,,,,,,,,,
C1,,,,,,,,,,
B2,,,,,,,,,,
C2,,,,,,,,,,
A4,UMBCAL,1,,,,,,,,
A4,QUEAGRI,1,,,,,,,,
A4,QUEDOU,1,,,,,,,,
B3,,,,,,,,,,
B4,QUEDOU,,,3,,,,,,
C3,QUEDOU,1,,,,,,,,
D4,QUEDOU,,,3,,,,,,
D4,QUEGAR,,,1,,,,,,
D3,QUEDOU,4,,8,,,,,,
D2,QUEDOU,1,,,,,,,,
D1,QUEDOU,3,,,,,,,,
C4,QUEDOU,13,,4,,,,,,
