Plot ID,PPW1327,,,,Sampler(s),"TT, CM, MK, MF",,,Date ,11/20/20,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,,,,,,,,,,,,,,,,
A1,QUEBER,,,1,,,,,,,,,,,,,,,,,,,,,
A1,QUEBEGA,1,,,,,,,,,,,,,,,,,,,,,,,
B1,UMBCAL,,,1,,,,,,,,,,,,,,,,,,,,,
B1,QUEAGRI,,,1,,,,,,,,,,,,,,,,,,,,,
C1,ARCMAN,1,,1,,,,,,,,,,,,,,,,,,,,,
C1,ARBMEN,3,,5,,,,,,,,,,,,,,,,,,,,,
C1,QUEBEGA,,,3,,,,,,,,,,,,,,,,,,,,,
D1,ARBMEN,11,,1,,,,,,,,,,,,,,,,,,,,,
D1,RHACRO,,,8,,,,,,,,,,,,,,,,,,,,,
D1,QUEBEGA,,,1,,,,,,,,,,,,,,,,,,,,,
A2,ARCMAN,1,,2,,,,,,,,,,,,,,,,,,,,,
B2,QUEAGRI,,,1,,,,,,,,,,,,,,,,,,,,,
B2,QUEBER,,,1,,,,,,,,,,,,,,,,,,,,,
C2,BACOIL,,,1,,,,,,,,,,,,,,,,,,,,,
C2,ARBMEN,,,3,,,,,,,,,,,,,,,,,,,,,
C2,ARCMAN,2,,1,,,,,,,,,,,,,,,,,,,,,
C2,QUEBEGA,,,1,,,,,,,,,,,,,,,,,,,,,
D2,QUEBEGA,,,2,,,,,,,,,,,,,,,,,,,,,
D2,ARBMEN,3,,,,,,,,,,,,,,,,,,,,,,,
D2,ARCMAN,1,,,,,,,,,,,,,,,,,,,,,,,
D3,FRACAL,2,,,,,,,,,,,,,,,,,,,,,,,
D3,QUEBEGA,,,1,,,,,,,,,,,,,,,,,,,,,
D3,QUEAGRI,1,,,,,,,,,,,,,,,,,,,,,,,
D3,UMBCAL,,,1,,,,,,,,,,,,,,,,,,,,,
C3,,,,,,,,,,,,,,,,,,,,,,,,,
B3,QUEBEGA,,,3,,,,,,,,,,,,,,,,,,,,,
A3 ,QUEBER,,,2,,,,,,,,,,,,,,,,,,,,,
A3 ,UMBCAL,,,1,,,,,,,,,,,,,,,,,,,,,
A3 ,HETARB,,,1,,,,,,,,,,,,,,,,,,,,,
B4,UMBCAL,,,1,,,,,,,,,,,,,,,,,,,,,
B4,QUEBEGA,,,4,,,,,,,,,,,,,,,,,,,,,
C4,,,,,,,,,,,,,,,,,,,,,,,,,
D4,,,,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
