Plot ID,   PPW1326,,,,Sampler(s),"MK, KO, MO, AC",,,Date ,20180709
Notes,,,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A1,UMBCAL,0,,1,,0,,,,
A1,QUEAGR,0,,2,,0,,,,
B2,UMBCAL,0,,1,,0,,,,
C1,UMBCAL,0,,2,,0,,,,
D1,BACPIL,0,,2,,1,,,,
D1,ARBMEN,0,,1,,0,,,,
D3,UMBCAL,0,,2,,0,,,,
D3,BACPIL,1,,0,,0,,,,
D4,QUEGAR,0,,1,,0,,,,
D4,UMBCAL,0,,1,,0,,,,
B3,UMBCAL,0,,3,,0,,,,
A3,UMBCAL,0,,4,,0,,,,
C4,UMBCAL,0,,2,,0,,,,
C4,QUEAGR,1,,0,,0,,,,
C3,UMBCAL,0,,2,,0,,,,
B4,QUEAGR,1,,0,,0,,,,
