Plot ID,   PPW1320,,,,Sampler(s),"MO,MK,AC,KO",,,Date ,20180730
Notes,,,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
C2,QUEAGR,0,,1,,0,,,,
D4,HETARB,1,,0,,0,,,,
D5,UMBCAL,0,,2,,0,,,,
B1,PSEMEN,0,,1,,0,,,,
C4,UMBCAL,0,,1,,0,,,,
C4,PSEMEN,1,,0,,0,,,,
B4,HETARB,4,,0,,0,,,,
B4,BACPIL,1,,0,,0,,,,
C3,UMBCAL,1,,1,,0,,,,
B3,BACPIL,0,,1,,1,,,,
B3,ARBMEN,2,,0,,0,,,,
B2,HETARB,1,,2,,0,,,,
B2,BACPIL,0,,1,,0,,,,
A1,HETARB,1,,2,,0,,,,
A1,FRACAL,0,,1,,0,,,,
A4,HETARB,2,,0,,0,,,,
A3,HETARB,2,,0,,0,,,,
A1,QUEAGR,1,,0,,0,,,,
A2,QUEAGR,1,,0,,0,,,,
