Plot ID,   PPW1343,,,,Sampler(s),"MK,MO,AC,KO",,,Date ,20180626/20180627
Notes,,,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
D4,UMBCAL,8,,8,,1,,,,
D4,QUEKEL,0,,1,,0,,,,
D2,QUEAGR,0,,2,,0,,,,
D2,UMBCAL,0,,1,,0,,,,
D3,UMBCAL,1,,0,,0,,,,
D1,QUEAGR,0,,1,,1,,,,
D1,UMBCAL,0,,1,,0,,,,
C2,UMBCAL,1,,0,,0,,,,
C3,UMBCAL,2,,1,,0,,,,
C4,UMBCAL,2,,2,,0,,,,
C1,UMBCAL,1,,2,,0,,,,
B1,ARBMEN,2,,6,,0,,,,
B1,UMBCAL,1,,0,,0,,,,
B2,UMBCAL,1,,0,,0,,,,
B3,UMBCAL,1,,2,,0,,,,
B3,QUEAGR,1,,0,,0,,,,
B3,QUEKEL,1,,1,,0,,,,
B4,UMBCAL,4,,8,,1,,,,
B4,ARBMEN,2,,0,,0,,,,
B4,QUEAGR,1,,0,,0,,,,
A4,UMBCAL,1,,0,,0,,,,
A3,UMBCAL,0,,0,,1,,,,
A3,QUEAGR,1,,0,,0,,,,
A2,UMBCAL,1,,1,,0,,,,
A1,UMBCAL,0,,1,,1,,,,
A1,ARBMEN,1,,1,,0,,,,
