Plot ID,   PPW1333,,,,Sampler(s),"MK, MO, AC",,,Date ,20180710
Notes,,,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
B1,NONE,0,,0,,0,,,,
B2,QUEAGR,0,,1,,0,,,,
B2,QUEGAR,0,,1,,0,,,,
B2,UMBCAL,1,,0,,0,,,,
A1,UMBCAL,0,,9,,0,,,,
D4,QUEKEL,0,,3,,0,,,,
D4,QUEGAR,0,,1,,0,,,,
A1,QUEAGR,0,,1,,0,,,,
A2,UMBCAL,0,,4,,0,,,,
A3,UMBCAL,2,,3,,0,,,,
A3,QUEKEL,0,,1,,0,,,,
A4,NONE,0,,0,,0,,,,
B4,UMBCAL,2,,2,,0,,,,
B4,QUEKEL,1,,6,,0,,,,
B4,QUEGAR,2,,1,,0,,,,
C4,QUEKEL,8,,15,,0,,,,
D4,UMBCAL,0,,1,,0,,,,
C4,UMBCAL,1,,1,,0,,,,
C4,QUEGAR,0,,1,,0,,,,
C3,UMBCAL,1,,1,,0,,,,
C3,QUEKEL,1,,3,,0,,,,
D3,UMBCAL,0,,1,,0,,,,
D3,QUEKEL,1,,2,,0,,,,
D2,QUEKEL,4,,20,,0,,,,
C2,BACPIL,1,,1,,0,,,,
D1,NONE,0,,0,,0,,,,
C1,NONE,0,,0,,0,,,,
B3,QUEKEL,0,,1,,0,,,,
B3,UMBCAL,5,,5,,0,,,,
B3,QUEAGR,1,,0,,0,,,,
