Plot ID,   PPW1338,,,,Sampler(s),"MO,MK,KO,AC",,,Date ,20180725
Notes,,,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A1,PSEMEN,0,,6,,0,,,,
A1,ACEMAC,3,,1,,0,,,,
A1,QUEAGR,3,,4,,0,,,,
A2,ACEMAC,2,,0,,0,,,,
A2,QUEAGR,3,,4,,0,,,,
A2,ARBMEN,1,,1,,0,,,,
A2,UMBCAL,0,,1,,1,,,,
A3,ACEMAC,2,,0,,0,,,,
A3,QUEAGR,1,,2,,0,,,,
A3,UMBCAL,0,,3,,1,,,,
A4,UMBCAL,0,,4,,0,,,,
B4,QUEAGR,4,,2,,1,,,,
B4,QUEAGR,0,,2,,0,,,,
B4,ACEMAC,1,,0,,0,,,,
B4,UMBCAL,1,,0,,0,,,,
B3,UMBCAL,0,,1,,0,,,,
B3,QUEAGR,0,,3,,0,,,,
B3,ACEMAC,2,,0,,0,,,,
B2,QUEAGR,2,,2,,0,,,,
B2,UMBCAL,0,,1,,0,,,,
B1,QUEAGR,2,,2,,1,,,,
B1,ARBMEN,1,,0,,0,,,,
B1,UMBCAL,0,,1,,0,,,,
B1,ACEMAC,3,,0,,0,,,,
C1,ARCMAN,1,,0,,0,,,,
C1,ACEMAC,1,,0,,0,,,,
C1,UMBCAL,0,,1,,0,,,,
C2,QUEAGR,0,,3,,0,,,,
C2,ACEMAC,1,,0,,0,,,,
C4,UMBCAL,0,,1,,0,,,,
C4,ACEMAC,1,,0,,0,,,,
C4,PSEMEN,0,,1,,0,,,,
C4,QUEAGR,1,,0,,0,,,,
