Plot ID,   PPW1312,,,,Sampler(s),"MO,AC,MK,KO",,,Date ,20180620
Notes,,,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
B4,UMBCAL,0,,5,,0,,,,
B4,FRALAT,0,,7,,0,,,,
B4,HETARB,0,,3,,0,,,,
B4,QUEKEL,0,,2,,0,,,,
B4,PSEMEN,0,,2,,0,,,,
B4,ARBMEN,0,,1,,0,,,,
B4,QUEAGR,3,,11,,0,,,,
A4,QUEAGR,2,,15,,0,,,,
A4,HETARB,0,,2,,0,,,,
A4,UMBCAL,0,,2,,0,,,,
A4,FRALAT,1,,1,,0,,,,
A4,QUEKEL,0,,1,,0,,,,
A4,ARBMEN,0,,1,,0,,,,
B3,QUEAGR,1,,16,,1,,,,
B3,UMBCAL,1,,6,,0,,,,
B3,HETARB,2,,0,,0,,,,
B3,ARBMEN,2,,1,,0,,,,
A3,UMBCAL,0,,4,,0,,,,
A3,QUEAGR,6,,47,,1,,,,
A3,QUEKEL,0,,2,,0,,,,
A3,FRALAT,0,,1,,0,,,,
A3,HETARB,5,,6,,0,,,,
A3,ARBMEN,0,,0,,0,,,,
D4,UMBCAL,1,,16,,0,,,,
D4,QUEAGR,3,,7,,0,,,,
D4,HETARB,1,,0,,0,,,,
D4,QUEKEL,0,,4,,0,,,,
C4,FRALAT,0,,2,,0,,,,
C4,UMBCAL,0,,13,,0,,,,
C4,QUEAGR,0,,8,,0,,,,
C4,HETARB,0,,3,,0,,,,
C4,QUEKEL,0,,3,,0,,,,
D3,UMBCAL,2,,15,,0,,,,
D3,QUEKEL,2,,0,,0,,,,
D3,QUEAGR,1,,0,,0,,,,
C3,UMBCAL,0,,11,,0,,,,
C3,QUEKEL,0,,1,,0,,,,
C3,QUEAGR,1,,12,,1,,,,
D2,QUEAGR,0,,10,,0,,,,
D2,UMBCAL,0,,19,,0,,,,
D2,QUEKEL,0,,3,,0,,,,
D2,HETARB,0,,2,,0,,,,
D1,FRALAT,0,,1,,0,,,,
D1,UMBCAL,0,,14,,0,,,,
D1,QUEAGR,1,,13,,0,,,,
D1,QUEKEL,0,,3,,0,,,,
C2,UMBCAL,0,,6,,0,,,,
C2,QUEAGR,0,,8,,0,,,,
C2,QUEGAR,0,,1,,0,,,,
C2,QUEKEL,0,,1,,0,,,,
C2,HETARB,2,,1,,0,,,,
C1,UMBCAL,0,,28,,0,,,,
C1,QUEKEL,0,,1,,0,,,,
C1,QUEAGR,0,,22,,0,,,,
C1,HETARB,1,,0,,0,,,,
B2,HETARB,0,,1,,0,,,,
B2,ARBMEN,0,,1,,0,,,,
B2,QUEAGR,0,,14,,0,,,,
B2,QUEKEL,0,,3,,0,,,,
B2,UMBCAL,0,,10,,0,,,,
B2,QUEGAR,0,,3,,0,,,,
B1,UMBCAL,1,,15,,0,,,,
B1,QUEKEL,0,,3,,0,,,,
B1,QUEAGR,1,,9,,0,,,,
B1,HETARB,0,,1,,0,,,,
A2,QUEAGR,4,,30,,19,,,,
A2,UMBCAL,0,,5,,5,,,,
A2,HETARB,0,,1,,1,,,,
A1,UMBCAL,0,,6,,0,,,,
A1,QUEAGR,0,,6,,0,,,,
