Plot ID,   PPW1339,,,,Sampler(s),AC MO MK KO,,,Date ,20180725
Notes,,,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
D4,QUEAGR,0,,7,,0,,,,
D4,QUEGAR,0,,1,,0,,,,
D4,QUEDOU,2,,1,,0,,,,
D3,QUEAGR,7,,7,,0,,,,
D3,QUEDOU,1,,0,,0,,,,
D3,UMBCAL,0,,1,,0,,,,
D2,QUEAGR,1,,11,,0,,,,
D2,QUEGAR,0,,1,,0,,,,
D2,QUEDOU,0,,1,,0,,,,
D1,QUEGAR,1,,1,,0,,,,
D1,QUEAGR,2,,5,,0,,,,
D1,UMBCAL,1,,3,,0,,,,
C1,QUEAGR,2,,13,,0,,,,
C1,UMBCAL,0,,3,,1,,,,
C2,UMBCAL,0,,1,,0,,,,
C2,QUEAGR,0,,4,,0,,,,
C3,QUEAGR,3,,3,,0,,,,
C3,UMBCAL,0,,7,,0,,,,
C3,ARBMEN,0,,1,,0,,,,
C3,QUEDOU,3,,1,,0,,,,
C4,UMBCAL,0,,4,,0,,,,
C4,QUEAGR,6,,6,,1,,,,
C4,QUEDOU,3,,1,,0,,,,
C4,QUEGAR,2,,2,,0,,,,
B4,QUEAGR,0,,7,,0,,,,
B4,QUEGAR,2,,5,,0,,,,
B4,QUEDOU,0,,2,,0,,,,
B3,QUEAGR,2,,2,,0,,,,
B3,QUEGAR,1,,1,,0,,,,
B3,QUEDOU,1,,1,,0,,,,
B3,UMBCAL,0,,1,,0,,,,
B2,UMBCAL,0,,2,,0,,,,
B2,QUEAGR,0,,8,,0,,,,
B1,QUEAGR,3,,4,,0,,,,
B1,UMBCAL,0,,1,,0,,,,
A1,QUEAGR,3,,4,,0,,,,
A2 ,QUEAGR,0,,3,,0,,,,
A2 ,UMBCAL,0,,2,,0,,,,
A2 ,QUEGAR,1,,1,,0,,,,
A3,QUEAGR,1,,2,,0,,,,
A3,QUEDOU,0,,2,,0,,,,
A3,QUEGAR,0,,2,,0,,,,
A4,QUEAGR,0,,1,,0,,,,
A4,QUEGAR,0,,1,,0,,,,
