Plot ID,   PPW1317,,,,Sampler(s),"MO,MK,KO,AC",,,Date ,20180705
Notes,,,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A4,QUEGAR,4,,7,,0,,,,
C1,QUEGAR,2,,7,,0,,,,
A3,QUEGAR,2,,2,,0,,,,
A2,QUEGAR,2,,3,,0,,,,
A1,QUEGAR,9,,4,,0,,,,
B1,QUEGAR,5,,18,,3,,,,
B2,QUEGAR,2,,6,,0,,,,
D1,QUEGAR,3,,3,,1,,,,
D2,QUEGAR,0,,1,,0,,,,
D3,QUEGAR,4,,1,,0,,,,
B3,QUEGAR,3,,2,,0,,,,
B4,QUEGAR,1,,2,,0,,,,
C3,QUEGAR,1,,1,,0,,,,
C4,QUEGAR,4,,1,,0,,,,
C2,QUEGAR,3,,3,,0,,,,
C2,QUEKEL,1,,0,,0,,,,
