Plot ID,   PPW1315,,,,Sampler(s),"MK,MO,AC,KO",,,Date ,20180705
Notes,,,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A4,QUEGAR,2,,6,,0,,,,
A3,QUEGAR,11,,8,,0,,,,
A2,QUEGAR,7,,11,,0,,,,
A1,QUEGAR,14,,10,,0,,,,
B1,QUEGAR,16,,7,,1,,,,
B2,QUEGAR,3,,12,,1,,,,
B2,UMBCAL,1,,0,,0,,,,
B3,QUEGAR,9,,31,,2,,,,
B3,ARCMAN,1,,0,,0,,,,
B3,UMBCAL,0,,1,,0,,,,
B4,QUEGAR,13,,27,,0,,,,
B4,UMBCAL,0,,1,,0,,,,
C4,QUEGAR,5,,13,,0,,,,
C3,QUEGAR,11,,25,,0,,,,
C2,QUEGAR,6,,23,,0,,,,
C1,QUEGAR,8,,14,,0,,,,
D3,QUEGAR,7,,23,,0,,,,
D3,QUEKEL,0,,1,,0,,,,
D2,QUEGAR,13,,32,,1,,,,
D4,QUEGAR,3,,17,,0,,,,
D1,QUEGAR,26,,27,,1,,,,
