Plot ID,   PPW1316,,,,Sampler(s),"MO,MK,KO,AC",,,Date ,20180703
Notes,,,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A1,QUEAGR,0,,2,,0,,,,
B1,QUEAGR,0,,3,,0,,,,
B1,QUEKEL,0,,1,,0,,,,
B2,QUEKEL,0,,1,,0,,,,
B3,QUEGAR,1,,0,,0,,,,
D2,QUEAGR,0,,1,,0,,,,
A3,QUEAGR,0,,1,,0,,,,
D3,UMBCAL,0,,1,,0,,,,
A4,UMBCAL ,1,,3,,0,,,,
A4,QUEKEL,1,,2,,0,,,,
D4,UMBCAL,1,,0,,0,,,,
A4,QUEAGR,1,,0,,0,,,,
D4,QUEAGR,1,,0,,0,,,,
C4,QUEKEL,0,,4,,0,,,,
B4,QUEKEL,0,,2,,0,,,,
B2,QUEAGR,1,,0,,0,,,,
C4,QUEGAR,0,,1,,0,,,,
B3,QUEAGR,0,,1,,0,,,,
B4,QUEAGR,1,,0,,0,,,,
B4,QUEGAR,0,,1,,0,,,,
