Plot ID,   PPW1328,,,,Sampler(s),"MK, MO, AC, KO",,,Date ,20180724
Notes,,,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A1,FRACAL,0,,1,,0,,,,
A1,PSEMEN,0,,2,,0,,,,
A2,PSEMEN,0,,4,,3,,,,
A2,QUEAGR,2,,2,,1,,,,
A2,FRACAL,0,,3,,0,,,,
A3,QUEAGR,0,,0,,1,,,,
A3,FRACAL,5,,1,,0,,,,
A4,FRACAL,2,,1,,0,,,,
A4,QUEAGR,1,,0,,0,,,,
A4,UMBCAL,1,,0,,0,,,,
B4,QUEAGR,8,,5,,1,,,,
B4,FRACAL,1,,4,,0,,,,
B4,PSEMEN,0,,0,,2,,,,
D4,QUEAGR,1,,0,,0,,,,
D4,ARBMEN,1,,0,,0,,,,
D4,UMBCAL,2,,0,,0,,,,
B3,PSEMEN,0,,2,,1,,,,
B3,FRACAL,2,,1,,0,,,,
B3,QUEAGR,0,,0,,1,,,,
B3,ARCMAN,1,,0,,0,,,,
D3,FRACAL,0,,2,,0,,,,
D3,PSEMEN,0,,0,,2,,,,
D3,UMBCAL,0,,1,,0,,,,
D3,QUEAGR,1,,7,,0,,,,
D2,FRACAL,3,,4,,0,,,,
D2,QUEAGR,1,,1,,1,,,,
D2,PSEMEN,1,,2,,1,,,,
D2,UMBCAL,0,,1,,0,,,,
D2,ARCMAN,1,,0,,0,,,,
D1,QUEAGR,1,,1,,0,,,,
D1,UMBCAL,0,,1,,0,,,,
B2,PSEMEN,0,,6,,6,,,,
B2,FRACAL,0,,2,,0,,,,
B2,QUEAGR,1,,3,,0,,,,
C1,PSEMEN,0,,0,,3,,,,
C1,QUEAGR,0,,1,,0,,,,
C2,PSEMEN,0,,9,,1,,,,
C2,QUEAGR,0,,1,,1,,,,
C2,UMBCAL,0,,0,,0,,,,
C2,FRACAL,1,,9,,0,,,,
C2,QUEGAR,0,,1,,0,,,,
C2,ARCMAN,1,,0,,0,,,,
C3,QUEAGR,2,,0,,0,,,,
C3,FRACAL,2,,4,,0,,,,
C3,PSEMEN,0,,1,,3,,,,
C3,UMBCAL,3,,2,,0,,,,
C4,QUEGAR,1,,0,,0,,,,
C4,UMBCAL,0,,1,,0,,,,
C4,FRACAL,2,,4,,0,,,,
C4,QUEAGR,1,,1,,0,,,,
B1,PSEMEN,0,,1,,2,,,,
B1,FRACAL,3,,0,,0,,,,
B1,UMBCAL,1,,0,,0,,,,
B2,QUEGAR,2,,0,,0,,,,
