Plot ID,   PPW1348,,,,Sampler(s),"MK,DK,MO,AK",,,Date ,20180807
Notes,,,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
D4,QUEAGRI,3,,3,,1,,,,
D4,AMOCAL,0,,5,,0,,,,
D4,UMBCAL,0,,1,,0,,,,
C4,AMOCAL,0,,13,,0,,,,
C4,QUEAGRI,0,,1,,0,,,,
C3,UMBCAL,0,,2,,0,,,,
C3,QUEGAR,1,,5,,0,,,,
C3,AMOCAL,0,,9,,0,,,,
D2,UMBCAL,1,,5,,0,,,,
D2,QUEAGRI,1,,4,,0,,,,
D2,HETARB,0,,1,,0,,,,
D2,AMOCAL,0,,9,,0,,,,
A4,UMBCAL,0,,2,,0,,,,
A4,AMOCAL,0,,2,,0,,,,
A3,AMOCAL,0,,1,,0,,,,
A3,UMBCAL,0,,2,,0,,,,
A3,QUEGAR,0,,6,,0,,,,
A2,AMOCAL,0,,3,,0,,,,
A2,QUEGAR,0,,2,,0,,,,
A1,QUEGAR,1,,0,,0,,,,
A1,QUEAGRI,1,,1,,0,,,,
B1,AMOCAL,1,,5,,0,,,,
B1,QUEGAR,0,,1,,0,,,,
B2,AMOCAL,0,,17,,0,,,,
B1,QUEAGRI,1,,0,,0,,,,
B1,UMBCAL,0,,1,,0,,,,
B3,UMBCAL,0,,2,,0,,,,
B3,QUEAGRI,1,,0,,0,,,,
B3,AMOCAL,0,,2,,0,,,,
B4,AMOCAL,0,,10,,0,,,,
D1,QUEAGRI,1,,4,,0,,,,
D1,QUEGAR,0,,1,,0,,,,
C1,QUEGAR,1,,3,,0,,,,
C1,QUEAGRI,1,,2,,0,,,,
C1,UMBCAL,0,,1,,0,,,,
C2,QUEGAR,0,,1,,0,,,,
C2,UMBCAL,0,,1,,0,,,,
C2,AMOCAL,0,,26,,0,,,,
C2,QUEAGRI,0,,1,,0,,,,
C3,QUEAGRI,0,,1,,0,,,,
C3,AMOCAL,0,,28,,0,,,,
D3,QUEGAR,0,,2,,0,,,,
D3,AMOCAL,0,,4,,0,,,,
