Plot ID,   PPW1324,,,,Sampler(s),AC MO MK KO,,,Date ,20180702
Notes,,,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
D1,UMBCAL,0,,1,,0,,,,
D2,QUEKEL,0,,2,,0,,,,
B2,QUEKEL,1,,4,,0,,,,
B2,QUEGAR,3,,0,,0,,,,
C1,QUEGAR,1,,1,,0,,,,
C1,QUEKEL,0,,1,,0,,,,
C1,ARCMAN,1,,0,,0,,,,
D3,QUEKEL,1,,2,,0,,,,
D3,ARBMEN,0,,1,,0,,,,
C2,QUEKEL,2,,4,,0,,,,
C2,ARCMAN,14,,0,,0,,,,
A3,ARBMEN,4,,5,,0,,,,
D4,QUEKEL,0,,2,,0,,,,
D4,ARBMEN,0,,1,,0,,,,
C2,QUEGAR,3,,1,,0,,,,
B4,QUEKEL,1,,1,,0,,,,
C4,QUEKEL,1,,2,,0,,,,
C3,QUEKEL,6,,3,,0,,,,
C3,QUEGAR,2,,2,,0,,,,
 B3,QUEGAR,2,,2,,0,,,,
B3,QUEKEL,2,,1,,0,,,,
