Plot ID,   PPW1337,,,,Sampler(s),"MK,MO,KO,AC",,,Date ,20180718
Notes,,,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
D2,BACPIL,1,,9,,0,,,,
D2,PSEMEN,1,,1,,0,,,,
D3,BACPIL,1,,2,,0,,,,
D3,PSEMEN,1,,0,,0,,,,
D4,ARCMAN,0,,1,,0,,,,
C4,ARCMAN,1,,0,,0,,,,
C4,BACPIL,1,,2,,0,,,,
C3,PSEMEN,4,,1,,0,,,,
C3,BACPIL,0,,3,,0,,,,
C2,ARCMAN,0,,2,,0,,,,
C2,BACPIL,1,,4,,0,,,,
C1,PSEMEN,1,,0,,0,,,,
C1,ARCMAN,1,,0,,0,,,,
C1,BACPIL,2,,1,,0,,,,
B1,BACPIL,0,,2,,0,,,,
B2,ARCMAN,0,,1,,0,,,,
B3,ARBMEN,0,,1,,0,,,,
B4,ACEMAC,0,,1,,0,,,,
B4,PSEMEN,2,,2,,0,,,,
B4,BACPIL,0,,3,,0,,,,
A4,BACPIL,1,,2,,0,,,,
A4,PSEMEN,1,,2,,0,,,,
A3,BACPIL,0,,6,,0,,,,
A3,ACEMAC,0,,1,,0,,,,
A3,QUEGAR,0,,1,,0,,,,
A2,BACPIL,0,,2,,0,,,,
A1,ARCMAN,1,,1,,0,,,,
A1,BACPIL,0,,1,,0,,,,
