Plot ID,   PPW1852,,,,Sampler(s),"MK,KO,MO,AC",,,Date ,20180813
Notes,,,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A1,BACPIL,0,,1,,0,,,,
A1,CEACUN,1,,0,,0,,,,
A1,CEATHY,0,,1,,0,,,,
B1,BACPIL,1,,0,,0,,,,
D1,UMBCAL,0,,1,,0,,,,
D3,ARCMAN,1,,0,,0,,,,
D3,BACPIL,0,,1,,0,,,,
D4,ARCMAN,4,,0,,0,,,,
C4,BACPIL,0,,1,,0,,,,
C4,UMBCAL,0,,1,,0,,,,
B4,UMBCAL,0,,3,,0,,,,
B4,CEACUN,1,,2,,0,,,,
B4,BACPIL,0,,1,,0,,,,
B4,ARIMAN,0,,1,,0,,,,
A4,CEACUN,0,,5,,0,,,,
A4,BACPIL,0,,1,,0,,,,
A4,PSEMEN,1,,1,,0,,,,
A4,ARCMAN,0,,1,,0,,,,
A2,BACPIL,0,,4,,0,,,,
A2,ARCMAN,4,,0,,0,,,,
A2,UMBCAL,0,,1,,0,,,,
A3,BACPIL,0,,3,,0,,,,
A3,UMBCAL,2,,0,,0,,,,
A3,CEACUN,0,,7,,0,,,,
C2,BACPIL,0,,1,,0,,,,
B2,PACPIL,0,,2,,0,,,,
B2,CEACUN,0,,2,,0,,,,
B3,UMBCAL,0,,3,,0,,,,
B3,ARCMAN,0,,1,,0,,,,
B3,BACPIL,0,,1,,0,,,,
C2,ARCMAN,0,,10,,0,,,,
C2,BACPIL,0,,2,,0,,,,
C2,CEACUN,1,,0,,0,,,,
