Plot ID,   PPW1329,,,,Sampler(s),"MO,MK,KO,AC",,,Date ,20180702
Notes,,,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A4,QUEAGR,2,,1,,0,,,,
B4,QUEGAR,2,,3,,0,,,,
C4,QUEGAR,8,,2,,0,,,,
C4,QUEAGR,2,,1,,0,,,,
D4,QUEAGR,2,,5,,0,,,,
D4,UMBCAL,0,,2,,1,,,,
D4,QUEGAR,1,,2,,0,,,,
D3,QUEAGR,10,,10,,0,,,,
C3,QUEAGR,4,,6,,0,,,,
C3,QUEGAR,1,,0,,0,,,,
B3,QUEAGR,0,,2,,0,,,,
A3,QUEAGR,2,,0,,0,,,,
A2,QUEAGR,0,,3,,0,,,,
A2,QUEGAR,1,,1,,0,,,,
A1,QUEAGR,9,,13,,1,,,,
A1,ARCMAN,3,,0,,0,,,,
A1,UMBCAL,0,,1,,0,,,,
B1,QUEAGR,1,,8,,0,,,,
B2,QUEAGR,2,,3,,0,,,,
C2,QUEAGR,4,,2,,0,,,,
D2,QUEAGR,23,,20,,1,,,,
D2,QUEGAR,1,,0,,0,,,,
D1,QUEAGR,25,,14,,0,,,,
C1,QUEAGR,3,,1,,0,,,,
