Plot ID,   PPW1344,,,,Sampler(s),"MK,AC,MO",,,Date 
Notes,,,,,,,,,
,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,
A4,QUEKEL,1,,7,,0,,,
A4,QUEDOU,0,,2,,0,,,
A4,QUEGAR,0,,2,,0,,,
A3,QUEGAR,5,,8,,0,,,
A3,QUEAGR,1,,0,,0,,,
A3,QUEKEL,0,,1,,0,,,
A2,QUEAGR,3,,2,,0,,,
A2,QUEAGR,3,,12,,0,,,
A2,QUEKEL,0,,1,,0,,,
A2,QUEDOU,4,,4,,0,,,
A1,QUEAGR,1,,0,,0,,,
A1,QUEDOU,0,,3,,0,,,
B4,QUEDOU,1,,6,,0,,,
B4,QUEGAR,1,,3,,0,,,
B4,QUEAGR,0,,11,,0,,,
B3,QUEAGR,1,,4,,0,,,
B3,QUEGAR,0,,7,,0,,,
B3,QUEDOU,0,,1,,0,,,
B3,QUEKEL,0,,1,,0,,,
B2,QUEAGR,2,,1,,0,,,
B2,QUEGAR,4,,6,,0,,,
B2,QUEDOU,2,,13,,0,,,
B2,QUEKEL,1,,3,,0,,,
B1,QUEAGR,0,,1,,0,,,
B1,QUEKEL,2,,8,,0,,,
B1,QUEGAR,1,,8,,0,,,
B1,QUEDOU,1,,9,,0,,,
C1,ARCMAN,0,,1,,0,,,
C1,QUEAGR,0,,0,,0,,,
C1,QUEKEL,7,,5,,0,,,
C1,QUEGAR,1,,10,,0,,,
C1,QUEDOU,6,,55,,0,,,
C2,QUEKEL,0,,5,,0,Seeds roll downhill!,,
C2,QUEGAR,1,,0,,0,,,
C2,QUEDOU,1,,5,,0,,,
C2,QUEAGR,1,,1,,0,,,
C3,QUEKEL,3,,1,,0,,,
C3,QUEDOU,1,,9,,1,,,
C3,QUEGAR,0,,0,,0,,,
C4,QUEKEL,1,,2,,0,,,
C4,QUEDOU,1,,13,,0,,,
C4,QUEGAR,0,,2,,0,,,
D4,QUEKEL,1,,5,,0,,,
D4,QUEDOU,0,,5,,2,,,
D4,QUEAGR,0,,1,,0,,,
D4,ARCMAN,0,,1,,0,,,
D3,QUEKEL,3,,9,,0,,,
D3,QUEGAR,5,,16,,0,,,
D3,QUEDOU,7,,14,,0,,,
D1,QUEDOU,4,,12,,0,,,
D1,QUEKEL,1,,5,,0,,,
D1,QUEGAR,1,,9,,0,,,
D2,QUEDOU,1,,4,,0,,,
D2,QUEGAR,3,,1,,0,,,
D2,QUEKEL,0,,2,,0,,,
