Plot: 1321,Date,20191125,,Surveyors:,"MO, MK",Severity:,MOD/MOD
,,,,,,,
Dominant Species,% Leaf Scorch,Living < 1m?   ,,Fire-induced  Mortality?,New Wounds?,Post-Fire Seeds Present?   ,B-sprouts
QUEGAR,0,N,,N,N,Y        N,S A G
QUEKEL,0,N,,N,N,Y        N,NA
UMBCAL,0,Y,,N,N,Y        N,S A G 
ARBMEN,0,N,,N,N,Y        N,A G 
QUEAGR,0,N,,N,N,Y        N,NA
AMOCAL,100,N,,Y,Y        N,Y        N,NA
,,,,,,,
% Ground Charred:,15/ 3,,,H'wood Trunk Char Height (m):,,0.5,
,,,,Doug Fir Trunk Char Height (m):,,NA,
Leaf Freeze Direction: N,,,,Doug Fir Needle Scorch Height (m):,,NA,
,,,,,,,
Hobo Damaged: N,,,,Hobo Downloaded: Y,,,
,,,,,,,
"Notes:  MORTALITY OF QUEKEL, QUEGAR, AMOCAL FROM HEAVT DOZER ACTIVITY, WOUNDS TO TREES CAUSED BY DOZER; 1328 DID NOT BURN",,,,,,,FOR MH:
,,,,,,,NO
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
