PLOT,PPR1322S,NORTHING,38.57377,EASTING,122.71177,DATE,20170607
QUAD,CANOPY,CANOPY-ID,% ROCK,% HERB,# RECRUITS,NOTES,
5,1,8888,0,3,0,,
6,1,8888,1,3,0,,
7,1,8888,1,3,0,,
8,1,8888,0,3,0,,
9,1,8888,0,3,0,,
10,NA,NA,NA,NA, NA,road - not sampled,
11,NA,NA,NA,NA,NA,road - not sampled,
12,NA,NA,NA,NA,NA,road - not sampled,
13,NA,NA,NA,NA,NA,road - not sampled,
14,1,8887,1,3,0,,
15,1,8882,0,3,0,,
16,1,8882,0,3,0,trunk,
17,1,8882,1,3,0,,
18,1,8881,1,2,0,,
19,1,8881,1,2,0,,
20,1,8881,1,2,1,,
21,1,8881,0,3,0,,
22,1,8881,0,3,0,,
23,1,8881,1,3,1,,
24,1,8881,0,2,1,,
25,1,8881,0,3,1,,
26,1,8881,1,2,1,,
27,1,8881,0,2,0,,
28,0,,0,3,0,,
29,0,,0,3,0,,
30,0,,0,3,0,,
31,1,8877,0,3,0,,
32,1,8877,0,2,0,,
33,1,8877,1,3,0,,
34,1,8877,1,2,0,,
